window_name,start,end,design,window,threshold,cash_yield,baseline_return,overlay_return,baseline_max_drawdown,overlay_max_drawdown,drawdown_depth_delta,cash_days,cash_segments,states_seen
2022,2022-01-01,2022-12-31,design1_rank_then_gate,200,point,0.0,0.2282291014130471,-0.04451831077749169,-0.13769507655338997,-0.1255695946014197,0.012125481951970274,108,9,"513100.SH,518880.SH,CASH"
2024-10-08_2024-11-15,2024-10-08,2024-11-15,design1_rank_then_gate,200,point,0.0,-0.10377796070504575,-0.1074692592321087,-0.25504107542942467,-0.1098641893547817,0.14517688607464296,2,1,"159915.SZ,518880.SH,CASH"
2020Q1,2020-01-01,2020-03-31,design1_rank_then_gate,200,point,0.02,-0.004916116196572284,-0.004916116196572284,-0.21739980673590276,-0.21739980673590276,0.0,0,0,"159915.SZ,510300.SH,513100.SH,518880.SH"
2022,2022-01-01,2022-12-31,design1_rank_then_gate,200,point,0.02,0.2282291014130471,-0.03576867591761579,-0.13769507655338997,-0.11950171947877564,0.018193357074614336,108,9,"513100.SH,518880.SH,CASH"
2024-10-08_2024-11-15,2024-10-08,2024-11-15,design1_rank_then_gate,200,point,0.02,-0.10377796070504575,-0.10725881703451623,-0.25504107542942467,-0.10979423087229201,0.14524684455713266,2,1,"159915.SZ,518880.SH,CASH"
2020Q1,2020-01-01,2020-03-31,design1_rank_then_gate,250,point,0.0,-0.004916116196572284,-0.004916116196572284,-0.21739980673590276,-0.21739980673590276,0.0,0,0,"159915.SZ,510300.SH,513100.SH,518880.SH"
2022,2022-01-01,2022-12-31,design1_rank_then_gate,250,point,0.0,0.2282291014130471,-0.09224244676577309,-0.13769507655338997,-0.16070401868765727,-0.023008942134267296,122,6,"513100.SH,518880.SH,CASH"
2024-10-08_2024-11-15,2024-10-08,2024-11-15,design1_rank_then_gate,250,point,0.0,-0.10377796070504575,-0.1074692592321087,-0.25504107542942467,-0.1098641893547817,0.14517688607464296,2,1,"159915.SZ,518880.SH,CASH"
2020Q1,2020-01-01,2020-03-31,design1_rank_then_gate,250,point,0.02,-0.004916116196572284,-0.004916116196572284,-0.21739980673590276,-0.21739980673590276,0.0,0,0,"159915.SZ,510300.SH,513100.SH,518880.SH"
2022,2022-01-01,2022-12-31,design1_rank_then_gate,250,point,0.02,0.2282291014130471,-0.08306563404745149,-0.13769507655338997,-0.15567653351706645,-0.01798145696367648,122,6,"513100.SH,518880.SH,CASH"
