year,window,lambda,insample_annualized_return,insample_sharpe,insample_max_drawdown
2018,expanding,0.25,0.03138260337494403,4.5032029998572165,-0.009439826719853106
2018,expanding,0.5,0.03138260337494403,4.5032029998572165,-0.009439826719853106
2018,expanding,0.6,0.03138260337494403,4.5032029998572165,-0.009439826719853106
2018,expanding,0.65,0.03138260337494403,4.5032029998572165,-0.009439826719853106
2018,expanding,0.7,0.03138260337494403,4.5032029998572165,-0.009439826719853106
2018,expanding,0.75,0.03138260337494403,4.5032029998572165,-0.009439826719853106
2018,expanding,0.8,0.03138260337494403,4.5032029998572165,-0.009439826719853106
2018,expanding,0.9,0.03138260337494403,4.5032029998572165,-0.009439826719853106
2018,expanding,1.0,0.03138260337494403,4.5032029998572165,-0.009439826719853106
2018,expanding,1.25,0.03138260337494403,4.5032029998572165,-0.009439826719853106
2018,expanding,1.5,0.03138260337494403,4.5032029998572165,-0.009439826719853106
2018,expanding,2.0,0.03138260337494403,4.5032029998572165,-0.009439826719853106
2018,trailing_36m,0.25,0.026105605301433465,3.611091235256543,-0.009351158903817325
2018,trailing_36m,0.5,0.026105605301433465,3.611091235256543,-0.009351158903817325
2018,trailing_36m,0.6,0.026105605301433465,3.611091235256543,-0.009351158903817325
2018,trailing_36m,0.65,0.026105605301433465,3.611091235256543,-0.009351158903817325
2018,trailing_36m,0.7,0.026105605301433465,3.611091235256543,-0.009351158903817325
2018,trailing_36m,0.75,0.026105605301433465,3.611091235256543,-0.009351158903817325
2018,trailing_36m,0.8,0.026105605301433465,3.611091235256543,-0.009351158903817325
2018,trailing_36m,0.9,0.026105605301433465,3.611091235256543,-0.009351158903817325
2018,trailing_36m,1.0,0.026105605301433465,3.611091235256543,-0.009351158903817325
2018,trailing_36m,1.25,0.026105605301433465,3.611091235256543,-0.009351158903817325
2018,trailing_36m,1.5,0.026105605301433465,3.611091235256543,-0.009351158903817325
2018,trailing_36m,2.0,0.026105605301433465,3.611091235256543,-0.009351158903817325
2019,expanding,0.25,0.03526143754826894,4.1302690214667095,-0.009439826719853106
2019,expanding,0.5,0.03526143754826894,4.1302690214667095,-0.009439826719853106
2019,expanding,0.6,0.03526143754826894,4.1302690214667095,-0.009439826719853106
2019,expanding,0.65,0.03526143754826894,4.1302690214667095,-0.009439826719853106
2019,expanding,0.7,0.03526143754826894,4.1302690214667095,-0.009439826719853106
2019,expanding,0.75,0.03526143754826894,4.1302690214667095,-0.009439826719853106
2019,expanding,0.8,0.03526143754826894,4.1302690214667095,-0.009439826719853106
2019,expanding,0.9,0.03526143754826894,4.1302690214667095,-0.009439826719853106
2019,expanding,1.0,0.03526143754826894,4.1302690214667095,-0.009439826719853106
2019,expanding,1.25,0.03526143754826894,4.1302690214667095,-0.009439826719853106
2019,expanding,1.5,0.03526143754826894,4.1302690214667095,-0.009439826719853106
2019,expanding,2.0,0.03526143754826894,4.1302690214667095,-0.009439826719853106
2019,trailing_36m,0.25,0.03340907819015704,3.19444508586272,-0.009172316324707164
2019,trailing_36m,0.5,0.03340907819015704,3.19444508586272,-0.009172316324707164
2019,trailing_36m,0.6,0.03340907819015704,3.19444508586272,-0.009172316324707164
2019,trailing_36m,0.65,0.03340907819015704,3.19444508586272,-0.009172316324707164
2019,trailing_36m,0.7,0.03340907819015704,3.19444508586272,-0.009172316324707164
2019,trailing_36m,0.75,0.03340907819015704,3.19444508586272,-0.009172316324707164
2019,trailing_36m,0.8,0.03340907819015704,3.19444508586272,-0.009172316324707164
2019,trailing_36m,0.9,0.03340907819015704,3.19444508586272,-0.009172316324707164
2019,trailing_36m,1.0,0.03340907819015704,3.19444508586272,-0.009172316324707164
