tau,fee_one_side,fee_bps_one_side,fee_note,start,end,trading_days,total_return,annual_return,sharpe,max_drawdown,annual_turnover_sum_abs,annual_turnover_single_side,avg_holding_days,switch_count
0.0025,0.0001,1.0,,2014-02-07,2026-05-19,2985,14.626115709850419,0.2612100539322455,1.0179602812597204,-0.3355183331756183,38.58090452261307,19.290452261306534,13.034934497816593,228
0.0025,0.0003,2.9999999999999996,,2014-02-07,2026-05-19,2985,13.26081266544928,0.2515127994286339,0.9883270579073139,-0.3395119996816415,38.58090452261307,19.290452261306534,13.034934497816593,228
0.0025,0.0005,5.0,,2014-02-07,2026-05-19,2985,12.014324542331405,0.24188627178106903,0.9586615040577642,-0.3434832550887219,38.58090452261307,19.290452261306534,13.034934497816593,228
0.0025,0.001,10.0,stress only; ETF no stamp duty,2014-02-07,2026-05-19,2985,9.352505342969316,0.2181261888541144,0.8843807185256483,-0.3533141103291061,38.58090452261307,19.290452261306534,13.034934497816593,228
0.005,5e-05,0.5,,2014-02-07,2026-05-19,2985,35.5746960595793,0.35508649184141405,1.3008846706155723,-0.2550410754294248,33.00904522613065,16.504522613065326,15.229591836734693,195
0.005,0.0001,1.0,,2014-02-07,2026-05-19,2985,34.867249255729654,0.3528538827144927,1.2945186842297245,-0.2550410754294249,33.00904522613065,16.504522613065326,15.229591836734693,195
0.005,0.0003,2.9999999999999996,,2014-02-07,2026-05-19,2985,32.17103187779447,0.34395795689841036,1.2690260956561839,-0.2550410754294248,33.00904522613065,16.504522613065326,15.229591836734693,195
0.005,0.0005,5.0,,2014-02-07,2026-05-19,2985,29.676537092214378,0.33511700863843696,1.243489788324175,-0.25504107542942467,33.00904522613065,16.504522613065326,15.229591836734693,195
0.005,0.001,10.0,stress only; ETF no stamp duty,2014-02-07,2026-05-19,2985,24.22698311926079,0.31325308211951675,1.1794763134120758,-0.25566974650548346,33.00904522613065,16.504522613065326,15.229591836734693,195
0.0075,5e-05,0.5,,2014-02-07,2026-05-19,2985,30.730192366123394,0.33892883538811014,1.249063274837727,-0.2759409034365944,30.645226130653267,15.322613065326633,16.4010989010989,181
0.0075,0.0001,1.0,,2014-02-07,2026-05-19,2985,30.160523695162052,0.33688258253539605,1.2432121267710388,-0.2760828001154906,30.645226130653267,15.322613065326633,16.4010989010989,181
0.0075,0.0003,2.9999999999999996,,2014-02-07,2026-05-19,2985,27.981781115088328,0.3287267688083011,1.2197796646175134,-0.276673729425689,30.645226130653267,15.322613065326633,16.4010989010989,181
0.0075,0.0005,5.0,,2014-02-07,2026-05-19,2985,25.9545963526347,0.32061748534520684,1.196304384542643,-0.2775291082654019,30.645226130653267,15.322613065326633,16.4010989010989,181
0.0075,0.001,10.0,stress only; ETF no stamp duty,2014-02-07,2026-05-19,2985,21.482634591589974,0.3005462283130438,1.1374444785896114,-0.27966460506198754,30.645226130653267,15.322613065326633,16.4010989010989,181
0.01,5e-05,0.5,,2014-02-07,2026-05-19,2985,40.84299209793559,0.3705687128733761,1.3379091548428976,-0.2759409034365943,26.592964824120603,13.296482412060302,18.89240506329114,157
0.01,0.0001,1.0,,2014-02-07,2026-05-19,2985,40.189553005423186,0.36874874284910253,1.3328056783648647,-0.2760828001154907,26.592964824120603,13.296482412060302,18.89240506329114,157
0.01,0.0003,2.9999999999999996,,2014-02-07,2026-05-19,2985,37.67565166547199,0.3614911916115049,1.3123683923567753,-0.27667372942568846,26.592964824120603,13.296482412060302,18.89240506329114,157
0.01,0.0005,5.0,,2014-02-07,2026-05-19,2985,35.314266329651915,0.35426924572695406,1.2918950654896437,-0.27752910826540145,26.592964824120603,13.296482412060302,18.89240506329114,157
0.01,0.001,10.0,stress only; ETF no stamp duty,2014-02-07,2026-05-19,2985,30.01905035961119,0.33636910239765383,1.2405660995080943,-0.2796646050619873,26.592964824120603,13.296482412060302,18.89240506329114,157
