rank,experiment,factor,mechanism,annualized_return,volatility,sharpe,max_drawdown,sortino,calmar,worst_calendar_return,best_calendar_return,final_nav,total_deposits,trades,traded_notional,estimated_transaction_cost,meets_5pct_return_floor,delta_annualized_return_vs_baseline,delta_volatility_vs_baseline,delta_sharpe_vs_baseline,delta_max_drawdown_vs_baseline,delta_sortino_vs_baseline,delta_calmar_vs_baseline
30,low_vol_60__global_blend_050,low_vol_60,global_blend_050,0.043681824849076234,0.027871774159700314,1.5480387001074463,-0.03450907571470563,1.9911231502502245,1.2658068622354248,0.004998238552772261,0.11097277387597848,4338942.601635417,3220000.0,619,14621835.472931698,7310.917736465849,False,-0.008594946743031073,-0.014890596233835766,0.3349274826155073,0.0198058812758507,0.42401106459519666,0.3033321685484428
31,low_vol_20__global_tilt_025,low_vol_20,global_tilt_025,0.04809024993867039,0.03487624336885046,1.3643128727598133,-0.0430646349783842,1.7582432437872606,1.1166993511685108,0.003976591765821658,0.1246698796157586,4458496.549580037,3220000.0,661,15198579.727234056,7599.2898636170285,False,-0.004186521653436914,-0.007886127024685621,0.15120165526787432,0.011250322012172131,0.1911311581322328,0.1542246574815288
32,low_vol_60__global_tilt_025,low_vol_60,global_tilt_025,0.04801745568083171,0.03493677723074346,1.3600206789148512,-0.04335725061190665,1.7573186789917374,1.1074838695524962,0.005217443765890284,0.12453755537155309,4467756.669018724,3220000.0,621,11222731.65251546,5611.36582625773,False,-0.004259315911275596,-0.007825593162792618,0.14690946142291228,0.010957706378649679,0.19020659333670964,0.1450091758655142
33,low_vol_20__global_blend_025,low_vol_20,global_blend_025,0.0481613762193025,0.03514647794026754,1.3560232919733908,-0.04365975371581554,1.7443553716390894,1.103106914729486,0.004093532540228484,0.12492245951081404,4461988.556363084,3220000.0,665,15380439.117966605,7690.219558983303,False,-0.004115395372804809,-0.00761589245326854,0.14291207448145182,0.010655203274740788,0.17724328598406158,0.14063222104250406
34,low_vol_60__global_blend_025,low_vol_60,global_blend_025,0.04800209534032107,0.035211711877160795,1.3492591239213332,-0.043904259160430725,1.7403316299148488,1.093335732301425,0.005203532920470932,0.12472879204236653,4469523.570795712,3220000.0,624,11274158.221713837,5637.079110856918,False,-0.004274676251786236,-0.007550658516375285,0.13614790642939423,0.010410697830125604,0.173219544259821,0.13086103861444298
35,low_vol_20__sleeve_tilt_050,low_vol_20,sleeve_tilt_050,0.04979057176746027,0.03932002893373965,1.2555471056599106,-0.05131027107890851,1.5806335527569697,0.9703821617096674,0.006325796398595207,0.13910810972700105,4553123.512106484,3220000.0,638,25378937.988436826,12689.468994218412,False,-0.0024861998246470396,-0.0034423414597964316,0.042435888167971614,0.0030046859116478197,0.013521467101941909,0.007907468022685382
36,low_vol_60__sleeve_tilt_050,low_vol_60,sleeve_tilt_050,0.04955530385398621,0.03941974495195148,1.2467837333855356,-0.05199308837011285,1.571165064175597,0.9531132965448548,0.006120615997430079,0.1386047466193414,4561937.02478887,3220000.0,613,15392283.258276494,7696.1416291382475,False,-0.002721467738121097,-0.003342625441584597,0.033672515893596655,0.002321868620443479,0.004052978520569184,-0.009361397142127248
37,low_vol_20__sleeve_tilt_100,low_vol_20,sleeve_tilt_100,0.04519683874591496,0.03645564454448811,1.2308997938968316,-0.04555665774517059,1.4326173639968274,0.9921017252567484,0.00820892900675596,0.1461902507794246,4457027.186234255,3220000.0,509,71968557.71555471,35984.27885777736,False,-0.007079932846192349,-0.00630672584904797,0.01778857640489262,0.008758299245385737,-0.13449472165820042,0.029627031569766427
38,low_vol_60__sleeve_tilt_100,low_vol_60,sleeve_tilt_100,0.045062116633548976,0.03663187773745935,1.221634118215735,-0.04826739329499363,1.4372897189292613,0.933593334078451,0.0060804385925108395,0.14413467154687387,4487277.8464741185,3220000.0,489,35349489.31007,17674.744655035,False,-0.007214654958558331,-0.006130492656076729,0.008522900723796134,0.006047563695562697,-0.12982236672576652,-0.028881359608531
39,momentum_low_vol_60__global_tilt_025,momentum_low_vol_60,global_tilt_025,0.04924597537891273,0.040262443515463105,1.2142071088507962,-0.0533168072142608,1.535658517749672,0.9236482443708814,0.0018888295515340214,0.1290097499836491,4475529.3107579965,3220000.0,732,19988730.92917572,9994.36546458786,False,-0.0030307962131945754,-0.002499926878072975,0.0010958913588572372,0.0009981497762955316,-0.031453567905355806,-0.038826449316100575
