candidate,family,threshold,budget,D_sharpe,D_sharpe_delta,D_annual_return,D_annual_return_delta,D_top10_mean_depth,D_top10_mean_depth_delta,D_max_drawdown,D_max_drawdown_delta,D_annual_turnover,V_sharpe,V_sharpe_delta,V_annual_return,V_annual_return_delta,V_top10_mean_depth,V_top10_mean_depth_delta,V_max_drawdown,V_max_drawdown_delta,V_annual_turnover,robust_score,eligible_DV_triple,DV_sharpe_delta,DV_annual_delta,DV_top10_delta,DV_trigger_days,confidence_cap,beta,max_budget
P5_088_RA_CLOSE,RA_CLOSE,0.75,0.2,1.5183368349951516,0.08121175065383723,0.3889080130337055,0.02374294863303761,-0.11328867145712422,0.006202147026842672,-0.2579467007454497,4.440892098500626e-16,40.815737704918035,0.8981345061001185,-0.09587706045249689,0.20486262986067705,-0.03069895483643692,-0.11681181486012929,0.008063930637895914,-0.28332608709588947,-0.06592628035998682,45.940740740740736,-3.069895483643692,False,0.0023164930195931355,-0.002036038103288451,0.0003892715055812679,126,1.0,0.75,
P5_042_SAFE_CLOSE,SAFE_CLOSE,0.7,0.5,1.442718429463702,0.005593345122387738,0.33434480793582444,-0.030820256464843432,-0.11366107822588378,0.00582974025808311,-0.2245788915149003,0.03336780923054983,43.17049180327869,0.9863219262859796,-0.007689640266635767,0.22149207764473022,-0.014069507052383745,-0.11540842702617718,0.009467318471848021,-0.2615694727571888,-0.044169666021286136,47.18518518518518,-3.082025646484343,False,-0.004638913498275832,-0.02302693999694272,0.006562568128822055,231,1.5,,
P5_059_SAFE_POS,SAFE_POS,0.75,0.35,1.5611126075467099,0.12398752320539552,0.3702800411738272,0.005114976773159308,-0.11022669789140668,0.00926412059256021,-0.21344061426814154,0.04450608647730858,42.81934426229509,0.9283314608404555,-0.06568010571215988,0.20445895057006624,-0.031102634127047724,-0.11964441499325051,0.005231330504774687,-0.2724315358009203,-0.05503172906501763,46.2,-3.1102634127047724,False,0.03419165795415191,-0.011991883033658501,0.005243420120024239,332,,,
P5_164_RA_CLOSE,RA_CLOSE,0.8,0.35,1.3782357685220985,-0.05888931581921586,0.33347439068134266,-0.03169067371932521,-0.10908253178225405,0.010408286701712843,-0.20956809465473203,0.04837860609071809,43.54229508196722,1.0307124431572865,0.03670087660467114,0.23900836089846278,0.0034467762013488112,-0.1104109482592091,0.014464797238816107,-0.21739980673590265,0.0,47.34074074074074,-3.1690673719325213,False,-0.016165203246705007,-0.015369288357363065,0.012859679012952208,129,1.5,0.75,
P5_158_RA_CLOSE,RA_CLOSE,0.8,0.35,1.3782357685220985,-0.05888931581921586,0.33347439068134266,-0.03169067371932521,-0.10908253178225405,0.010408286701712843,-0.20956809465473203,0.04837860609071809,43.54229508196722,0.9831729333643627,-0.010838633188252622,0.22609365738945608,-0.009467927307657886,-0.11041094825920923,0.014464797238815968,-0.21739980673590265,0.0,47.522222222222226,-3.1690673719325213,False,-0.03804240170598838,-0.021352512781675603,0.012859679012952263,129,1.5,0.25,
P5_161_RA_CLOSE,RA_CLOSE,0.8,0.35,1.3782357685220985,-0.05888931581921586,0.33347439068134266,-0.03169067371932521,-0.10908253178225405,0.010408286701712843,-0.20956809465473203,0.04837860609071809,43.54229508196722,0.9831729333643627,-0.010838633188252622,0.22609365738945608,-0.009467927307657886,-0.11041094825920923,0.014464797238815968,-0.21739980673590265,0.0,47.522222222222226,-3.1690673719325213,False,-0.03804240170598838,-0.021352512781675603,0.012859679012952263,129,1.5,0.5,
P5_058_SAFE_POS,SAFE_POS,0.75,0.2,1.5960108759818519,0.1588857916405375,0.4007081360364275,0.03554307163575965,-0.11206002123709165,0.007430797246875245,-0.22139507519470625,0.03655162555074387,41.641967213114754,0.9040599537885525,-0.08995161276406283,0.2033225981927147,-0.03223898650439927,-0.11415201060519775,0.01072373489282745,-0.28332608709588947,-0.06592628035998682,45.73333333333333,-3.223898650439927,False,0.045271843473919215,0.003375898401265953,0.0037217854031097453,332,,,
P5_106_RA_CLOSE,RA_CLOSE,0.75,0.2,1.5227153473627821,0.08559026302146777,0.3844921883180714,0.019327123917403544,-0.11074764052185157,0.008743177962115323,-0.2153188384949939,0.04262786225045623,41.228852459016395,0.8947639761155265,-0.09924759043708886,0.20312499110707227,-0.032436593590041696,-0.11621932579531565,0.008656419702709556,-0.28332608709588947,-0.06592628035998682,47.08148148148148,-3.2436593590041696,False,0.0016011946682641387,-0.005178058694445875,0.00433182593640602,201,1.5,0.75,
P5_064_RA_CLOSE,RA_CLOSE,0.75,0.2,1.3628712178258768,-0.07425386651543753,0.33794217274570126,-0.027222891654966608,-0.12052712820344307,-0.0010363097194761722,-0.2579467007454499,2.220446049250313e-16,42.302950819672134,0.8816836312051803,-0.11232793534743502,0.20236815186994073,-0.03319343282717324,-0.11669062515761353,0.008185120340411675,-0.2821141900707319,-0.06471438333482926,46.148148148148145,-3.319343282717324,False,-0.09268469719755368,-0.030063024609374267,-0.005676270560172975,65,0.5,0.25,
P5_067_RA_CLOSE,RA_CLOSE,0.75,0.2,1.3628712178258768,-0.07425386651543753,0.33794217274570126,-0.027222891654966608,-0.12052712820344307,-0.0010363097194761722,-0.2579467007454499,2.220446049250313e-16,42.302950819672134,0.8816836312051803,-0.11232793534743502,0.20236815186994073,-0.03319343282717324,-0.11669062515761353,0.008185120340411675,-0.2821141900707319,-0.06471438333482926,46.148148148148145,-3.319343282717324,False,-0.09268469719755368,-0.030063024609374267,-0.005676270560172975,65,0.5,0.5,
