local_id,threshold,incumbent_momentum_floor,confidence_cap,event_days,D_sharpe_delta,D_annual_delta,D_top10_delta,V_sharpe_delta,V_annual_delta,V_top10_delta,T_sharpe_delta,T_annual_delta,T_top10_delta,FULL_sharpe_delta,FULL_annual_delta,FULL_top10_delta,all_segments_triple,FULL_5bp_sharpe_delta,FULL_5bp_annual_delta
9,0.725,0.075,1.2,9,0.04103048268008025,0.012039431919315557,4.163336342344337e-17,0.08944935012001876,0.02892237271233533,0.00560372443883668,0.0,0.0,0.0,0.040661425222869196,0.01452021695668071,-0.0012176381860944385,False,0.04173779353442564,0.014601860567108993
18,0.75,0.075,1.2,9,0.04103048268008025,0.012039431919315557,4.163336342344337e-17,0.08944935012001876,0.02892237271233533,0.00560372443883668,0.0,0.0,0.0,0.040661425222869196,0.01452021695668071,-0.0012176381860944385,False,0.04173779353442564,0.014601860567108993
24,0.775,0.05,1.2,19,-0.000639547001766605,-0.004647032431545517,0.01862553434555425,0.0017752674752952169,0.0003143999613837156,0.005567823638357922,0.13046116089485715,0.058072686282792274,-0.00797094854021102,0.043070982582985584,0.013767053905732407,0.00946018905236859,False,0.04506628954211189,0.014225291182949684
7,0.725,0.075,0.8,8,0.04103048268008025,0.012039431919315557,4.163336342344337e-17,0.0747424326590006,0.024379823828628355,0.004481404355663202,0.0,0.0,0.0,0.03628847249017553,0.012983003831020135,-0.0023399582692681387,False,0.03739571758618454,0.013094840481359338
8,0.725,0.075,1.0,8,0.04103048268008025,0.012039431919315557,4.163336342344337e-17,0.0747424326590006,0.024379823828628355,0.004481404355663202,0.0,0.0,0.0,0.03628847249017553,0.012983003831020135,-0.0023399582692681387,False,0.03739571758618454,0.013094840481359338
16,0.75,0.075,0.8,8,0.04103048268008025,0.012039431919315557,4.163336342344337e-17,0.0747424326590006,0.024379823828628355,0.004481404355663202,0.0,0.0,0.0,0.03628847249017553,0.012983003831020135,-0.0023399582692681387,False,0.03739571758618454,0.013094840481359338
17,0.75,0.075,1.0,8,0.04103048268008025,0.012039431919315557,4.163336342344337e-17,0.0747424326590006,0.024379823828628355,0.004481404355663202,0.0,0.0,0.0,0.03628847249017553,0.012983003831020135,-0.0023399582692681387,False,0.03739571758618454,0.013094840481359338
19,0.775,0.025,0.8,17,-0.003498000379738686,-0.004798585548426715,0.01890020486805885,0.07024260306590546,0.019279502038908714,0.004445503555184485,0.024949245265420084,0.010650309179592865,0.0027071754927252834,0.027205146973036998,0.007569903879610651,0.010866021214250149,False,0.028621102335578907,0.00803857445407119
11,0.75,0.025,1.0,30,-0.016456916638334373,-0.010746140097805945,0.015889364883568333,0.14293671704661326,0.044243672021179625,0.003212457191552956,-0.020812580142159032,-0.01292296450830488,0.002707175492725214,0.028669933939651893,0.0071870904394502055,0.01010266024153253,False,0.03167819343606948,0.008198854687433421
21,0.775,0.025,1.2,30,-0.055049485288535926,-0.022436810584125944,0.015614694361063608,0.008111680140327038,0.0027133190821191366,0.00074216950800432,0.1265736221918452,0.05635302860307867,-0.007970948540210965,0.02387460393673524,0.007103667083758758,0.007816527154045183,False,0.02680314685277496,0.008019162457905349
2,0.725,0.025,1.0,32,-0.028853009821297793,-0.014652507135678006,0.015889364883568305,0.14293671704661326,0.044243672021179625,0.003212457191552956,-0.024749159884506655,-0.01451190815811687,0.0027071754927252834,0.02288490905908236,0.005211084247840558,0.010102660241532557,False,0.025875559834676043,0.006255837419262944
23,0.775,0.05,1.0,15,-0.003498000379738686,-0.004798585548426715,0.01890020486805885,-0.013048980643899921,-0.004125377262847785,0.004445503555184374,0.044523388978016776,0.019251716065099345,0.002707175492725228,0.008894234518151078,0.0018928328771199432,0.010866021214250232,False,0.010258491796370617,0.002381778318122141
22,0.775,0.05,0.8,14,-0.003498000379738686,-0.004798585548426715,0.01890020486805885,-0.013048980643899921,-0.004125377262847785,0.004445503555184374,0.03609816477696137,0.015535766550270447,0.0027071754927252834,0.0060529591998088605,0.0008985718464369352,0.010866021214250121,False,0.00741338923336321,0.001405255290064078
27,0.775,0.075,1.2,7,0.0,0.0,0.0,-0.03101772638289957,-0.00917785914665492,0.005567823638357963,0.0,0.0,0.0,-0.009188991438668248,-0.003148445852424686,-0.0012535389865734603,False,-0.009242287359399803,-0.003095362087161879
25,0.775,0.075,0.8,6,0.0,0.0,0.0,-0.045822561073817325,-0.013583536253789052,0.004445503555184513,0.0,0.0,0.0,-0.01356491424173667,-0.004665524769445817,-0.002375859069746855,False,-0.013588440135115398,-0.004582246126313194
26,0.775,0.075,1.0,6,0.0,0.0,0.0,-0.045822561073817325,-0.013583536253789052,0.004445503555184513,0.0,0.0,0.0,-0.01356491424173667,-0.004665524769445817,-0.002375859069746855,False,-0.013588440135115398,-0.004582246126313194
20,0.775,0.025,1.0,24,-0.05781119405699475,-0.022586382032064867,0.015889364883568305,-0.005512387048268508,-0.001398320614782289,0.0015267773533094164,0.03337524698414063,0.014353507057643045,0.0027071754927251723,-0.01239193137764416,-0.0054562616217272986,0.008416980403288976,False,-0.010137544695943523,-0.004503271246929286
