candidate,period,days,annual_return,sharpe,max_drawdown,annual_turnover_sum_abs,top10_count,top10_mean_depth,top10_worst_depth,top10_mean_recovery_days
RANGE_25,D,1220,0.36516506440066787,1.4371250843413144,-0.2579467007454501,44.20327868852459,10,-0.11949081848396689,-0.2579467007454501,49.77777777777778
RANGE_25,V,972,0.23556158469711397,0.9940115665526154,-0.21739980673590265,47.7037037037037,10,-0.1248757454980252,-0.21739980673590265,49.0
RANGE_25,T_pseudo_oos,876,0.4081334660239546,1.2648281117085953,-0.25505250836130944,48.32876712328767,10,-0.12239415339535265,-0.25505250836130944,45.111111111111114
RANGE_25,FULL,3068,0.3344526118113791,1.2383242854200656,-0.2579467007454501,46.49022164276402,10,-0.19594385552375493,-0.2579467007454501,90.6
RANGE_50,D,1220,0.18248399230361367,0.8707181951563061,-0.29290738531904836,47.09508196721312,10,-0.09089526652396804,-0.29290738531904836,10.0
RANGE_50,V,972,0.2194036162301134,0.9882748142832694,-0.21739980673590265,50.2962962962963,10,-0.12027634906984938,-0.21739980673590265,56.333333333333336
RANGE_50,T_pseudo_oos,876,0.38029056396664274,1.2047354362378524,-0.2894125256176463,50.630136986301366,10,-0.1106961973681853,-0.2894125256176463,38.888888888888886
RANGE_50,FULL,3068,0.24797509089879433,1.011732969838432,-0.29290738531904836,49.118644067796616,10,-0.18860713880865113,-0.29290738531904836,143.33333333333334
LIQUIDITY_25,D,1220,0.36516506440066787,1.4371250843413144,-0.2579467007454501,44.20327868852459,10,-0.11949081848396689,-0.2579467007454501,49.77777777777778
LIQUIDITY_25,V,972,0.23689918720035408,1.0023710686845615,-0.21739980673590265,47.18518518518518,10,-0.1164830099453169,-0.21739980673590265,57.77777777777778
LIQUIDITY_25,T_pseudo_oos,876,0.4081334660239546,1.2648281117085953,-0.25505250836130944,48.32876712328767,10,-0.12239415339535265,-0.25505250836130944,45.111111111111114
LIQUIDITY_25,FULL,3068,0.3349101382619173,1.241021908144456,-0.2579467007454501,46.325945241199484,10,-0.19503298483140258,-0.2579467007454501,115.22222222222223
LIQUIDITY_50,D,1220,0.342603405507782,1.3529857064180346,-0.25794670074544956,44.61639344262295,10,-0.11949081848396685,-0.25794670074544956,58.0
LIQUIDITY_50,V,972,0.2784812120751643,1.2088968243384282,-0.21739980673590265,52.37037037037037,10,-0.10862170340951342,-0.21739980673590265,39.7
LIQUIDITY_50,T_pseudo_oos,876,0.45388046809776905,1.3703430133669008,-0.25659710388182766,52.35616438356164,10,-0.1191279878872841,-0.25659710388182766,37.55555555555556
LIQUIDITY_50,FULL,3068,0.3523468784525323,1.3070934499372007,-0.25794670074544956,49.28292046936115,10,-0.1947508125327935,-0.25794670074544956,102.11111111111111
FLOW_PREMIUM_25,D,1220,0.36516506440066787,1.4371250843413144,-0.2579467007454501,44.20327868852459,10,-0.11949081848396689,-0.2579467007454501,49.77777777777778
FLOW_PREMIUM_25,V,972,0.23556158469711397,0.9940115665526154,-0.21739980673590265,47.7037037037037,10,-0.1248757454980252,-0.21739980673590265,49.0
FLOW_PREMIUM_25,T_pseudo_oos,876,0.4081334660239546,1.2648281117085953,-0.25505250836130944,48.32876712328767,10,-0.12239415339535265,-0.25505250836130944,45.111111111111114
FLOW_PREMIUM_25,FULL,3068,0.3344526118113791,1.2383242854200656,-0.2579467007454501,46.49022164276402,10,-0.19594385552375493,-0.2579467007454501,90.6
FLOW_PREMIUM_50,D,1220,0.2581441160293354,1.0905469862804014,-0.4014572212757015,60.31475409836066,10,-0.11927603423132598,-0.4014572212757015,72.9
FLOW_PREMIUM_50,V,972,0.2285979419187072,0.9603114674410953,-0.21739980673590253,53.407407407407405,10,-0.11723631554066113,-0.21739980673590253,54.0
FLOW_PREMIUM_50,T_pseudo_oos,876,0.5074238792003007,1.483705383327417,-0.25504107542942467,61.56164383561644,10,-0.11980451577532829,-0.25504107542942467,34.666666666666664
FLOW_PREMIUM_50,FULL,3068,0.3148493824523628,1.1764472629516936,-0.4014572212757015,58.48239895697523,10,-0.19178689094898063,-0.4014572212757015,133.11111111111111
MULTIFIELD_25,D,1220,0.36516506440066787,1.4371250843413144,-0.2579467007454501,44.20327868852459,10,-0.11949081848396689,-0.2579467007454501,49.77777777777778
MULTIFIELD_25,V,972,0.23689918720035408,1.0023710686845615,-0.21739980673590265,47.18518518518518,10,-0.1164830099453169,-0.21739980673590265,57.77777777777778
MULTIFIELD_25,T_pseudo_oos,876,0.4081334660239546,1.2648281117085953,-0.25505250836130944,48.32876712328767,10,-0.12239415339535265,-0.25505250836130944,45.111111111111114
MULTIFIELD_25,FULL,3068,0.3349101382619173,1.241021908144456,-0.2579467007454501,46.325945241199484,10,-0.19503298483140258,-0.2579467007454501,115.22222222222223
MULTIFIELD_50,D,1220,0.336827771969221,1.3571738015696644,-0.2816570959243777,45.029508196721316,10,-0.10296165313380082,-0.2816570959243777,52.666666666666664
MULTIFIELD_50,V,972,0.22854090819953865,0.9799144081264142,-0.21739980673590265,48.22222222222222,10,-0.11861695592766357,-0.21739980673590265,58.666666666666664
MULTIFIELD_50,T_pseudo_oos,876,0.4081334660239546,1.2648281117085953,-0.25505250836130944,48.32876712328767,10,-0.12239415339535265,-0.25505250836130944,45.111111111111114
MULTIFIELD_50,FULL,3068,0.32098107879253424,1.2050750186720722,-0.2816570959243777,46.983050847457626,10,-0.18729100743022392,-0.2816570959243777,120.22222222222223
MULTIFIELD_VETO80,D,1220,0.18631726404556193,0.8987916160610965,-0.30832798640190373,52.05245901639345,10,-0.1192154867224456,-0.30832798640190373,67.0
MULTIFIELD_VETO80,V,972,0.34501012288191557,1.4178916904626675,-0.20822212678994745,48.22222222222222,10,-0.11894143477817258,-0.20822212678994745,43.888888888888886
MULTIFIELD_VETO80,T_pseudo_oos,876,0.35470784204134675,1.1878375826714642,-0.250446011998233,63.28767123287671,10,-0.1144882954562827,-0.250446011998233,45.44444444444444
MULTIFIELD_VETO80,FULL,3068,0.28213721052820473,1.1438589170496032,-0.30832798640190373,54.04693611473273,10,-0.19436997492408822,-0.30832798640190373,107.3
MULTIFIELD_VETO90,D,1220,0.27046516725418956,1.1597239487278086,-0.26213474299625916,49.98688524590164,10,-0.11449379153326329,-0.26213474299625916,54.0
MULTIFIELD_VETO90,V,972,0.3922662313748613,1.5525863052787432,-0.20052959239301715,49.77777777777778,10,-0.11216799974273939,-0.20052959239301715,47.111111111111114
MULTIFIELD_VETO90,T_pseudo_oos,876,0.4002193364598339,1.276916769409515,-0.29704526995955005,59.83561643835616,10,-0.12371398459052776,-0.29704526995955005,41.44444444444444
MULTIFIELD_VETO90,FULL,3068,0.3446774456612265,1.3052061744503907,-0.2970452699595506,52.73272490221643,10,-0.18928478024057957,-0.2970452699595506,108.0
