candidate,threshold,delay_days,incumbent_momentum_floor,confidence_cap,minimum_risk_spread,event_days,D_sharpe_delta,D_annual_delta,D_top10_delta,D_event_days,V_sharpe_delta,V_annual_delta,V_top10_delta,V_event_days,robust_score,eligible_DV_triple
P12_26,0.8,1,0.0,1.0,0.1,16,-0.010773611981383047,-0.0037779661026162703,-0.0031915753153642923,4,-0.0024174642761667364,-0.0021771370133010226,0.004478682426510394,9,-0.6383150630728585,False
P12_05,0.75,1,0.05,1.0,0.0,12,0.029151513911954252,0.0081440340801342,-0.003191575315364348,3,0.132786139378953,0.04100083844234259,-0.0006192783396651719,5,-0.6383150630728696,False
P12_06,0.75,1,0.05,1.0,0.1,12,0.029151513911954252,0.0081440340801342,-0.003191575315364348,3,0.132786139378953,0.04100083844234259,-0.0006192783396651719,5,-0.6383150630728696,False
P12_04,0.75,1,0.0,1.5,0.1,40,0.0020544376154072452,-0.0010988713531108196,-0.003466245837868767,15,0.08193182123435683,0.02455313415951821,0.004514583226989319,12,-0.6932491675737534,False
P12_31,0.8,1,0.05,1.5,0.0,13,-0.009056988429773094,-0.0037096869939912125,-0.003466245837868795,4,0.012030376192793235,0.0025366697045021702,-0.0006551791401439994,4,-0.693249167573759,False
P12_32,0.8,1,0.05,1.5,0.1,13,-0.009056988429773094,-0.0037096869939912125,-0.003466245837868795,4,0.012030376192793235,0.0025366697045021702,-0.0006551791401439994,4,-0.693249167573759,False
P12_27,0.8,1,0.0,1.5,0.0,26,-0.0025060592369530177,-0.001864745627471187,-0.003466245837868809,10,-0.0024174642761667364,-0.0021771370133010226,0.004478682426510394,9,-0.6932491675737618,False
P12_03,0.75,1,0.0,1.5,0.0,42,0.002701466697427213,-0.000977557654716632,-0.003466245837868809,16,0.08957258048215955,0.028132238262219778,0.0035748286610632896,13,-0.6932491675737618,False
P12_28,0.8,1,0.0,1.5,0.1,25,-0.0031499555119260947,-0.0019859804305120132,-0.0034662458378688366,9,-0.0024174642761667364,-0.0021771370133010226,0.004478682426510394,9,-0.6932491675737673,False
P12_07,0.75,1,0.05,1.5,0.0,16,0.03203727368596243,0.00829702908372365,-0.0034662458378688643,5,0.132786139378953,0.04100083844234259,-0.0006192783396651719,5,-0.6932491675737729,False
P12_08,0.75,1,0.05,1.5,0.1,16,0.03203727368596243,0.00829702908372365,-0.0034662458378688643,5,0.132786139378953,0.04100083844234259,-0.0006192783396651719,5,-0.6932491675737729,False
P12_63,0.825,3,0.05,1.5,0.0,17,-0.010491042560678343,-0.007401398926492275,0.018625534345554293,4,0.0017752674752952169,0.0003143999613837156,0.005567823638357922,8,-0.7401398926492275,False
P12_64,0.825,3,0.05,1.5,0.1,17,-0.010491042560678343,-0.007401398926492275,0.018625534345554293,4,0.0017752674752952169,0.0003143999613837156,0.005567823638357922,8,-0.7401398926492275,False
P12_71,0.825,5,0.05,1.5,0.0,20,-0.010491042560678343,-0.007401398926492275,0.018625534345554293,4,-0.015417318612250264,-0.005472518614843658,0.004353071189271682,9,-0.7401398926492275,False
P12_72,0.825,5,0.05,1.5,0.1,20,-0.010491042560678343,-0.007401398926492275,0.018625534345554293,4,-0.015417318612250264,-0.005472518614843658,0.004353071189271682,9,-0.7401398926492275,False
