candidate,period,days,annual_return,sharpe,max_drawdown,annual_turnover_sum_abs,top10_count,top10_mean_depth,top10_worst_depth,top10_mean_recovery_days
COND_SAFE_T75_W25,D,1220,0.34979219668161066,1.4702472313432968,-0.2096014177851958,43.79016393442623,10,-0.1079712062447431,-0.2096014177851958,60.0
COND_SAFE_T75_W25,V,972,0.2651627884880643,1.1334938449054952,-0.22202560306878427,45.5,10,-0.11438015616720221,-0.22202560306878427,52.2
COND_SAFE_T75_W25,T_pseudo_oos,876,0.37358024907335174,1.2266115715738097,-0.26412562635377146,47.321917808219176,10,-0.10167644050769394,-0.26412562635377146,38.55555555555556
COND_SAFE_T75_W25,FULL,3068,0.3289974460896661,1.2763098114332165,-0.26412562635377146,45.34028683181226,10,-0.18509880917525937,-0.26412562635377146,112.88888888888889
COND_SAFE_T75_W50,D,1220,0.31586409553892514,1.440108004566219,-0.21345189661862907,45.855737704918035,10,-0.10252365220203456,-0.21345189661862907,66.0
COND_SAFE_T75_W50,V,972,0.25862075315168687,1.1506397936652055,-0.21552406980794092,45.888888888888886,10,-0.11058215151757718,-0.21552406980794092,51.4
COND_SAFE_T75_W50,T_pseudo_oos,876,0.38526068094937016,1.294559622782948,-0.2364020527220878,50.342465753424655,10,-0.09513939720538007,-0.2364020527220878,36.44444444444444
COND_SAFE_T75_W50,FULL,3068,0.31663209794513403,1.290403534110589,-0.23640205272208825,47.14732724902217,10,-0.17693713581996104,-0.23640205272208825,119.66666666666667
COND_QM2_T80_W25,D,1220,0.3426758659498348,1.405617665148579,-0.20523740568945703,43.99672131147541,10,-0.10973116546654618,-0.20523740568945703,54.55555555555556
COND_QM2_T80_W25,V,972,0.2735352104416804,1.1383562105021077,-0.21739980673590276,46.01851851851852,10,-0.11562813555785394,-0.21739980673590276,48.3
COND_QM2_T80_W25,T_pseudo_oos,876,0.3963929786588638,1.2443023200851906,-0.28172595246471743,48.18493150684932,10,-0.12087059621298901,-0.28172595246471743,40.77777777777778
COND_QM2_T80_W25,FULL,3068,0.33524617598580386,1.260326804398865,-0.28172595246471743,45.83311603650587,10,-0.19460149320239495,-0.28172595246471743,114.33333333333333
COND_QM2_T80_W50,D,1220,0.2943616365246038,1.289649134404819,-0.20179537778346046,45.442622950819676,10,-0.11009471666266282,-0.20179537778346046,53.77777777777778
COND_QM2_T80_W50,V,972,0.2796936898594653,1.180151900666355,-0.21739980673590253,46.407407407407405,10,-0.10525423975064467,-0.21739980673590253,50.111111111111114
COND_QM2_T80_W50,T_pseudo_oos,876,0.37387905688604484,1.208005821180918,-0.29108648570480466,50.342465753424655,10,-0.10775817734825388,-0.29108648570480466,38.22222222222222
COND_QM2_T80_W50,FULL,3068,0.3118393244180837,1.2171879341736005,-0.29108648570480466,47.14732724902217,10,-0.18722583944338272,-0.29108648570480466,109.55555555555556
COND_SAFE_T80_W25,D,1220,0.37510565396805373,1.5167151436721422,-0.20298297066489812,44.20327868852459,10,-0.10841194119368366,-0.20298297066489812,48.111111111111114
COND_SAFE_T80_W25,V,972,0.2384957431765442,1.0343328115614505,-0.21739980673590242,47.96296296296296,10,-0.12023512987991669,-0.21739980673590242,42.7
COND_SAFE_T80_W25,T_pseudo_oos,876,0.4305059537873548,1.3321710484274076,-0.26412562635377146,47.465753424657535,10,-0.11741993368634251,-0.26412562635377146,38.55555555555556
COND_SAFE_T80_W25,FULL,3068,0.345355832627511,1.2999669792631086,-0.26412562635377135,46.325945241199484,10,-0.18889271183589945,-0.26412562635377135,95.33333333333333
COND_SAFE_T80_W50,D,1220,0.3587473081663006,1.5244672997760293,-0.18274472406926956,45.855737704918035,10,-0.10737381904462633,-0.18274472406926956,36.888888888888886
COND_SAFE_T80_W50,V,972,0.2460709317055647,1.084682679092281,-0.21739980673590265,48.22222222222222,10,-0.10937248011010337,-0.21739980673590265,48.77777777777778
COND_SAFE_T80_W50,T_pseudo_oos,876,0.45666131935003995,1.421463858972359,-0.2539861673721674,50.054794520547944,10,-0.11557782166688953,-0.2539861673721674,34.77777777777778
COND_SAFE_T80_W50,FULL,3068,0.34851637901532495,1.3456514901146603,-0.2539861673721674,47.80443285528032,10,-0.1803378449497886,-0.2539861673721674,71.44444444444444
