local_id,threshold,momentum_cap,budget,trigger_days,D_sharpe_delta,D_annual_delta,D_top10_delta,V_sharpe_delta,V_annual_delta,V_top10_delta,T_sharpe_delta,T_annual_delta,T_top10_delta,FULL_sharpe_delta,FULL_annual_delta,FULL_top10_delta,all_segments_triple,FULL_5bp_sharpe_delta,FULL_5bp_annual_delta
26,0.825,0.25,0.25,224,0.06709294089666407,0.011167606294101962,0.006738658286220084,-0.03473768476893846,-0.0179182612326505,0.014632577515666392,0.07744072416921965,0.030462667177608926,0.008536660692984158,0.03955056762840958,0.006317009536943807,0.006988246204326809,False,0.0385375365209073,0.006390139982062504
27,0.825,0.25,0.3,224,0.05262305800221401,0.0037071678120152995,0.00682849965418697,-0.02980074378384001,-0.017720452872701076,0.014735400699900883,0.07307320832307984,0.02748974173902985,0.008697136885178397,0.0339022212076896,0.0027010735572519096,0.007236673019378637,False,0.03213439665662343,0.0027063811169603103
19,0.825,0.15,0.2,144,-0.05866460896153036,-0.023993203382163264,0.004053921465405841,0.07478397359443323,0.02012854175904799,0.008213787846175769,-0.016650972242609807,-0.009487680954821442,0.006545498055860424,-0.00539342338532367,-0.0051432530821011735,0.003446512596459589,False,-0.005406986058515972,-0.004811533631208675
4,0.775,0.2,0.2,313,0.08085500399490164,0.01863626092337256,0.0034430855828963824,-0.0808798270458162,-0.02568904347460732,0.017110889495009607,-0.02337084764031161,-0.01748103428472092,0.006745058245573671,-0.0033062574028988045,-0.006432004760792864,-0.0029172538649394064,False,-0.003003881178145651,-0.005728641425336134
20,0.825,0.15,0.25,144,-0.05640651749856662,-0.025273142221706957,0.004266090641373593,0.06861301886603577,0.017211239294199654,0.00802011549695951,-0.01903862758354813,-0.011171126974468093,0.006725341148438119,-0.00752970142554954,-0.007083246652080488,0.0031810917807270356,False,-0.008063387341925354,-0.006805542246574703
21,0.825,0.15,0.3,144,-0.05466656887497634,-0.02658191007576871,0.0044697479423175535,0.06208775094827945,0.01427992131305933,0.015615666831803779,-0.021570443188230648,-0.012866807455709672,0.006521266904615103,-0.00999093624536962,-0.009043095001460832,0.003951065717114899,False,-0.01103131224648668,-0.00881885247552705
5,0.775,0.2,0.25,313,0.06684363393294235,0.010322459693837827,0.003938337567868655,-0.07929961198285518,-0.026504922274780185,0.0169239694464155,-0.014219325890480139,-0.015232504323585916,0.00819705355175615,-0.00538328168515112,-0.009282470811964316,-0.0017866856866829706,False,-0.005989100847525686,-0.008673798772282248
10,0.8,0.15,0.2,205,-0.09258661079270136,-0.03683467457410239,-1.7773805224635675e-05,0.07633319261058913,0.019760062399211353,0.00801322325971994,-0.006211969558482799,-0.009795458147650038,0.00646313494768036,-0.013330093359446904,-0.010425537758018466,-0.0012997084879741438,False,-0.013685248831928787,-0.009901931349549198
11,0.8,0.15,0.25,205,-0.09186441533126044,-0.038755605171650886,-2.2630194267986292e-05,0.07037804943680481,0.016740235384209434,0.007769870883358357,0.006003754477952317,-0.00591570346440129,0.00784464942938945,-0.010949119660795592,-0.011150140812166587,-0.000769791795968755,False,-0.011893124898305407,-0.010698347499540128
12,0.8,0.15,0.3,205,-0.0917046194704274,-0.04070576128170944,-2.7648481691372462e-05,0.06399447182989626,0.013702303929182369,0.015315930114160145,0.018018129517512138,-0.002053771051505615,0.009008621438375747,-0.008942338585146814,-0.01190324153381539,0.0008088101217265387,False,-0.010456903056484057,-0.011522634714451252
6,0.775,0.2,0.3,313,0.05154609130929133,0.002005525578663514,0.0026945616549376578,-0.07819507836434847,-0.02736023045179037,0.016740777734092965,-0.005344438720466416,-0.013016518744744854,0.009431506385215838,-0.008087939585959658,-0.012170887001995645,-0.0006474123197290627,False,-0.009577967228510342,-0.011655590044874042
1,0.775,0.15,0.2,253,0.0030766216274187297,-0.00235302800785564,0.0016870166281113819,-0.08765831204475694,-0.027440688387551537,0.00920921657552927,-0.010886772568776903,-0.011937848740241064,0.006463134947680402,-0.02802927509458053,-0.013585193915920835,-0.006848197491202995,False,-0.02731208375512284,-0.012730331210103696
2,0.775,0.15,0.25,253,0.00025123613069122364,-0.006073652147537301,0.001653402942976931,-0.08847991864656513,-0.028937261477370413,0.009329347781340758,0.00012282338134750326,-0.008603220644007425,0.007844649429389533,-0.02589317032340288,-0.014639741768726289,-0.005954797217024271,False,-0.025993209954452867,-0.01390650906334523
3,0.775,0.15,0.3,253,-0.0032747738295733075,-0.009821079752829975,0.0016194374572336273,-0.08973351456790857,-0.030466120882299386,0.009449943167748567,0.010916339595751223,-0.0052902019120752986,0.009008621438375747,-0.02418509307193406,-0.015727522232302116,-0.005057176824685039,False,-0.02508373233631289,-0.015115036755780409
7,0.775,0.25,0.2,358,0.038106218407324866,0.011508339911609822,0.00404150920186247,-0.20077723201254194,-0.0630966310673926,0.007652362595038986,0.005494856364786527,-0.00714148741840126,0.007367254613536184,-0.04037787764745038,-0.0194997687743097,-0.005752915780239259,False,-0.040656174016290514,-0.018716970530831434
8,0.775,0.25,0.25,358,0.027150170380889183,0.00285522970989871,0.005062343813727402,-0.18940072138972674,-0.061312215306711604,0.008049611757646527,0.011414502217495182,-0.006334058889817085,0.008560392514867995,-0.039844167062303315,-0.0219446530813312,-0.0033937962012917933,False,-0.041217551463229585,-0.02127867869195832
9,0.775,0.25,0.3,358,0.01467257492792906,-0.005815138905276518,0.004345653434629171,-0.17830258303238233,-0.05956731105173407,0.008444454782053537,0.01701562273434787,-0.005563471731233394,0.009757366759800767,-0.03998328585734989,-0.024437300713390453,-0.0010309614858181049,False,-0.0424271091725863,-0.02388661570299533
