candidate,date,threshold,leg,budget,winner,winner_risk,diversifier,diversifier_risk
COND_QM2_T75_W25,2015-05-11,0.75,QM2,0.25,159915.SZ,0.90625,510300.SH,0.625
COND_QM2_T75_W25,2015-05-12,0.75,QM2,0.25,159915.SZ,0.90625,510300.SH,0.625
COND_QM2_T75_W25,2015-05-13,0.75,QM2,0.25,159915.SZ,0.828125,510300.SH,0.578125
COND_QM2_T75_W25,2015-05-14,0.75,QM2,0.25,159915.SZ,0.828125,510300.SH,0.578125
COND_QM2_T75_W25,2015-05-15,0.75,QM2,0.25,159915.SZ,0.84375,513100.SH,0.625
COND_QM2_T75_W25,2015-05-18,0.75,QM2,0.25,159915.SZ,0.875,518880.SH,0.515625
COND_QM2_T75_W25,2015-05-19,0.75,QM2,0.25,159915.SZ,0.84375,513100.SH,0.46875
COND_QM2_T75_W25,2015-05-20,0.75,QM2,0.25,159915.SZ,0.90625,510300.SH,0.6875
COND_QM2_T75_W25,2015-05-21,0.75,QM2,0.25,159915.SZ,0.90625,513100.SH,0.421875
COND_QM2_T75_W25,2015-05-22,0.75,QM2,0.25,159915.SZ,0.8125,510300.SH,0.78125
COND_QM2_T75_W25,2015-05-25,0.75,QM2,0.25,159915.SZ,0.796875,510300.SH,0.78125
COND_QM2_T75_W25,2015-05-26,0.75,QM2,0.25,159915.SZ,0.90625,510300.SH,0.71875
COND_QM2_T75_W25,2015-05-27,0.75,QM2,0.25,159915.SZ,0.8125,510300.SH,0.734375
COND_QM2_T75_W25,2015-05-29,0.75,QM2,0.25,159915.SZ,0.8125,513100.SH,0.390625
COND_QM2_T75_W25,2015-06-01,0.75,QM2,0.25,159915.SZ,0.8125,510300.SH,0.8125
COND_QM2_T75_W25,2015-06-02,0.75,QM2,0.25,159915.SZ,0.84375,510300.SH,0.78125
COND_QM2_T75_W25,2015-06-03,0.75,QM2,0.25,159915.SZ,0.84375,510300.SH,0.75
COND_QM2_T75_W25,2015-06-04,0.75,QM2,0.25,159915.SZ,0.8125,510300.SH,0.78125
COND_QM2_T75_W25,2015-06-05,0.75,QM2,0.25,159915.SZ,0.8125,510300.SH,0.71875
COND_QM2_T75_W25,2015-06-10,0.75,QM2,0.25,159915.SZ,0.890625,510300.SH,0.625
COND_QM2_T75_W25,2015-06-11,0.75,QM2,0.25,159915.SZ,0.859375,510300.SH,0.65625
COND_QM2_T75_W25,2015-06-12,0.75,QM2,0.25,159915.SZ,0.890625,510300.SH,0.640625
COND_QM2_T75_W25,2015-08-04,0.75,QM2,0.25,159915.SZ,0.890625,513100.SH,0.421875
COND_QM2_T75_W25,2015-08-05,0.75,QM2,0.25,159915.SZ,0.828125,513100.SH,0.453125
COND_QM2_T75_W25,2015-09-28,0.75,QM2,0.25,159915.SZ,0.90625,518880.SH,0.46875
COND_QM2_T75_W25,2015-09-29,0.75,QM2,0.25,159915.SZ,0.859375,518880.SH,0.421875
COND_QM2_T75_W25,2015-09-30,0.75,QM2,0.25,159915.SZ,0.8125,518880.SH,0.46875
COND_QM2_T75_W25,2015-10-08,0.75,QM2,0.25,159915.SZ,0.8125,513100.SH,0.515625
COND_QM2_T75_W25,2015-10-09,0.75,QM2,0.25,159915.SZ,0.875,513100.SH,0.59375
COND_QM2_T75_W25,2015-10-12,0.75,QM2,0.25,159915.SZ,0.84375,510300.SH,0.703125
COND_QM2_T75_W25,2015-10-13,0.75,QM2,0.25,159915.SZ,0.90625,518880.SH,0.375
COND_QM2_T75_W25,2015-10-14,0.75,QM2,0.25,159915.SZ,0.84375,518880.SH,0.453125
COND_QM2_T75_W25,2015-10-15,0.75,QM2,0.25,159915.SZ,0.90625,518880.SH,0.390625
COND_QM2_T75_W25,2015-10-16,0.75,QM2,0.25,159915.SZ,0.84375,518880.SH,0.359375
COND_QM2_T75_W25,2015-10-19,0.75,QM2,0.25,159915.SZ,0.8125,510300.SH,0.75
