candidate,period,days,annual_return,sharpe,max_drawdown,annual_turnover_sum_abs,top10_count,top10_mean_depth,top10_worst_depth,top10_mean_recovery_days
FIT_T70_W60,D,1220,0.29660259644546194,1.4558483518123024,-0.20996831863891818,42.71606557377049,10,-0.0933716797784028,-0.20996831863891818,56.888888888888886
FIT_T70_W60,V,972,0.31865740263733144,1.396883686391794,-0.19278299332523452,46.87407407407407,10,-0.10191340310497177,-0.19278299332523452,62.333333333333336
FIT_T70_W60,T_pseudo_oos,876,0.3190249557100382,1.3626847207986095,-0.2562879279035014,48.098630136986294,10,-0.0907371119012873,-0.2562879279035014,27.444444444444443
FIT_T70_W60,FULL,3068,0.30994689737796444,1.4056402444630993,-0.2562879279035021,45.57027379400261,10,-0.15345643522159957,-0.2562879279035021,107.22222222222223
FIT_T75_W40,D,1220,0.33032084395477534,1.492092248213618,-0.22257251481440254,42.05508196721312,10,-0.1077233921996719,-0.22257251481440254,59.55555555555556
FIT_T75_W40,V,972,0.2508981272672446,1.101438286028291,-0.268807004726633,45.83703703703704,10,-0.1180854541952365,-0.268807004726633,51.0
FIT_T75_W40,T_pseudo_oos,876,0.36239529604874,1.3790885230358099,-0.25399208860908595,46.602739726027394,10,-0.09384728695090495,-0.25399208860908595,33.22222222222222
FIT_T75_W40,FULL,3068,0.3135321384848464,1.3279801232280128,-0.268807004726633,44.55176010430248,10,-0.18076366672888255,-0.268807004726633,112.55555555555556
FIT_T75_W50,D,1220,0.3131321382214003,1.469472395584383,-0.21734514233175262,42.55081967213115,10,-0.10705088944386376,-0.21734514233175262,60.44444444444444
FIT_T75_W50,V,972,0.2473023568118713,1.104828294882204,-0.2615694727571889,46.148148148148145,10,-0.11761600456216859,-0.2615694727571889,50.7
FIT_T75_W50,T_pseudo_oos,876,0.3433708665267847,1.377997275059593,-0.262302998370763,47.178082191780824,10,-0.09410207346896891,-0.262302998370763,31.77777777777778
FIT_T75_W50,FULL,3068,0.300333962037139,1.3197278124107348,-0.2623029983707631,45.011734028683186,10,-0.17806004086822255,-0.2623029983707631,112.44444444444444
FIT_T75_W60,D,1220,0.2957781925064624,1.4352540510780827,-0.21892105175396404,43.046557377049176,10,-0.0938597196719791,-0.21892105175396404,56.55555555555556
FIT_T75_W60,V,972,0.2434653943394951,1.1040690771754105,-0.25434849189827846,46.459259259259255,10,-0.11715689598833516,-0.25434849189827846,49.6
FIT_T75_W60,T_pseudo_oos,876,0.3239021276177547,1.3651383140731201,-0.2705970884909713,47.75342465753425,10,-0.09349856936005495,-0.2705970884909713,27.77777777777778
FIT_T75_W60,FULL,3068,0.2868359421214297,1.3022816654977476,-0.27059708849097164,45.47170795306389,10,-0.16956382756093108,-0.27059708849097164,98.77777777777777
FIT_T80_W40,D,1220,0.36057482432182186,1.5598785625531855,-0.2066305194830479,43.70754098360656,10,-0.10251203664704564,-0.2066305194830479,48.0
FIT_T80_W40,V,972,0.2633351496800591,1.1461118764953777,-0.21739980673590253,45.733333333333334,10,-0.10769795747713255,-0.21739980673590253,54.1
FIT_T80_W40,T_pseudo_oos,876,0.44624041686183946,1.4088336892496587,-0.2299143224896416,48.21369863013698,10,-0.11435389261785964,-0.2299143224896416,37.0
FIT_T80_W40,FULL,3068,0.3523568230944183,1.3700943822152736,-0.22991432248964128,45.63598435462843,10,-0.1741551376495532,-0.22991432248964128,104.22222222222223
FIT_T80_W50,D,1220,0.3489461468861108,1.5547609096359192,-0.19920130907510836,44.40983606557377,10,-0.1042272382505468,-0.19920130907510836,35.666666666666664
FIT_T80_W50,V,972,0.2604731092440793,1.1498977158291914,-0.21739980673590276,45.629629629629626,10,-0.10771047802657038,-0.21739980673590276,53.7
FIT_T80_W50,T_pseudo_oos,876,0.4469659746275747,1.422901435086776,-0.23234877531471665,49.19178082191781,10,-0.1120942507916864,-0.23234877531471665,36.666666666666664
FIT_T80_W50,FULL,3068,0.34697348794776195,1.3724946525585806,-0.23234877531471676,46.16166883963494,10,-0.1705867125282314,-0.23234877531471676,85.55555555555556
FIT_T80_W60,D,1220,0.33703524554472986,1.5395177887960705,-0.1922186036427107,45.112131147540985,10,-0.10196730411483594,-0.1922186036427107,33.888888888888886
FIT_T80_W60,V,972,0.25741867184392464,1.1502904696691234,-0.2222815125101273,45.525925925925925,10,-0.10802835354485771,-0.2222815125101273,57.44444444444444
FIT_T80_W60,T_pseudo_oos,876,0.44741955141679224,1.4340994100656448,-0.23482531792489214,50.16986301369863,10,-0.10984050444087026,-0.23482531792489214,34.9
FIT_T80_W60,FULL,3068,0.34132007308526924,1.369871575816792,-0.2348253179248927,46.687353324641464,10,-0.1678466115480214,-0.2348253179248927,70.2
EQUAL_T75_W50,D,1220,0.31586409553892514,1.440108004566219,-0.21345189661862907,45.855737704918035,10,-0.10252365220203456,-0.21345189661862907,66.0
EQUAL_T75_W50,V,972,0.25862075315168687,1.1506397936652055,-0.21552406980794092,45.888888888888886,10,-0.11058215151757718,-0.21552406980794092,51.4
EQUAL_T75_W50,T_pseudo_oos,876,0.38526068094937016,1.294559622782948,-0.2364020527220878,50.342465753424655,10,-0.09513939720538007,-0.2364020527220878,36.44444444444444
EQUAL_T75_W50,FULL,3068,0.31663209794513403,1.290403534110589,-0.23640205272208825,47.14732724902217,10,-0.17693713581996104,-0.23640205272208825,119.66666666666667
