candidate,gate,threshold,mode,budget,momentum_cap,trigger_days,D_sharpe_delta,D_annual_delta,D_top10_delta,V_sharpe_delta,V_annual_delta,V_top10_delta,robust_score,eligible_DV_triple,minimum_drawdown
P7_085,BOTH,0.8,SAFE,0.3,0.1,31,0.013449192403159227,0.003055356280111665,0.0028275792914917303,0.10822346447132258,0.03143944851158409,0.009703949527137906,0.26898384806318454,True,0.05
P7_114,BOTH,0.8,RA,0.3,0.1,31,0.013449192403159227,0.003055356280111665,0.0028275792914917303,0.10822346447132258,0.03143944851158409,0.009703949527137906,0.26898384806318454,True,0.05
P7_107,DRAWDOWN,0.8,RA,0.35,,100,0.04832396191859645,0.006474462744568088,0.0009763416366966315,0.15014555904483917,0.03927771987631368,0.01062037202150802,0.1952683273393263,True,0.05
P7_100,DRAWDOWN,0.8,RA,0.25,,100,0.06393564194753165,0.015123861081360657,0.0009433541808289286,0.12874467009666557,0.034744244723451834,0.009197723862592433,0.18867083616578573,True,0.05
P7_093,DRAWDOWN,0.8,RA,0.15,,100,0.07698398262874417,0.02370754999226521,0.0009026707078710339,0.10662224814001198,0.030153776269455257,0.007774155958923903,0.18053414157420677,True,0.05
P7_071,DRAWDOWN,0.8,SAFE,0.25,,100,0.04251903362566889,0.005878477966230422,0.00087213948236399,0.11457451166194155,0.03004623355608471,0.009077864935909744,0.174427896472798,True,0.05
P7_064,DRAWDOWN,0.8,SAFE,0.15,,100,0.06464967928690735,0.01813462744239125,0.0008599418887921678,0.09823517005031002,0.02734735369089969,0.0077026499763103995,0.17198837775843356,True,0.05
P7_108,DRAWDOWN,0.8,RA,0.35,,66,0.11133899306844897,0.029148791067714175,0.003714443445206078,0.025882349702020968,0.0029228383019375137,-3.076409760041643e-05,-0.006152819520083286,False,0.08
P7_079,DRAWDOWN,0.8,SAFE,0.35,,66,0.0835104475844679,0.016789190282787247,0.003714443445206078,0.020053121124400497,0.0012771372086546329,-3.076409760048582e-05,-0.006152819520097164,False,0.08
P7_018,MOMCAP,0.7,SAFE,0.35,0.2,434,0.0688021475594951,-0.0004887121105090486,0.004338121708543752,0.06596024764546271,0.012459783324056062,0.01262813810549454,-0.04887121105090486,False,
P7_101,DRAWDOWN,0.8,RA,0.25,,66,0.11998783961146708,0.035467775280661584,0.0037093842898418827,0.015175768751672591,0.0008605041712961281,-0.0003431847918091008,-0.06863695836182016,False,0.08
P7_072,DRAWDOWN,0.8,SAFE,0.25,,66,0.10088538155305504,0.026614015330880036,0.0037093842898418827,0.011001511933183994,-0.0003156306160356781,-0.0003431847918091563,-0.06863695836183126,False,0.08
P7_033,MOMCAP,0.7,RA,0.15,0.2,434,0.055857367600797625,0.01609737968764402,0.0017703518733455936,-0.004076911058469634,-0.0007218379962468102,0.010747894866888208,-0.08153822116939269,False,
P7_023,BOTH,0.7,SAFE,0.2,0.1,54,-0.0014020534860990086,-0.0008412485047033513,0.0028209546752069464,0.06923331199714389,0.019529083637074063,0.009214741866680448,-0.08412485047033513,False,0.05
P7_052,BOTH,0.7,RA,0.2,0.1,54,-0.0014020534860990086,-0.0008412485047033513,0.0028209546752069464,0.06140902129105841,0.017202398314021705,0.009214741866680545,-0.08412485047033513,False,0.05
P7_094,DRAWDOWN,0.8,RA,0.15,,66,0.12624428051009806,0.04169941760826368,0.0037010496481954397,0.00400500190025066,-0.0012404115362640855,-0.0006606145836682425,-0.1321229167336485,False,0.08
P7_034,DRAWDOWN,0.7,RA,0.15,,246,-0.0069600279397359355,0.00429295139479291,0.00433297065739463,0.01465894244710142,0.001160675413438561,0.023754166675760843,-0.1392005587947187,False,0.02
P7_065,DRAWDOWN,0.8,SAFE,0.15,,66,0.11523665945763861,0.03637222264735507,0.0037010496481954397,0.00149630646079979,-0.0019464527509327478,-0.0006606145836681593,-0.19464527509327478,False,0.08
P7_040,MOMCAP,0.7,RA,0.25,0.2,434,0.027608189251036253,-0.0025953933960178865,0.0024639334163621407,0.033316641529209545,0.007180143482749202,0.011458952600518102,-0.25953933960178865,False,
P7_078,DRAWDOWN,0.8,SAFE,0.35,,100,0.017119159097673142,-0.006408382574299543,0.0007981297637123519,0.13004252707333486,0.03267179099868289,0.010451611899143079,-0.6408382574299543,False,0.05
P7_042,DRAWDOWN,0.7,RA,0.25,,130,0.015140136658609027,-0.0031747173024267994,0.0009433541808288454,-0.014995655512187733,-0.007429998617661582,0.00997416556752792,-0.7429998617661582,False,0.05
P7_027,BOTH,0.7,SAFE,0.3,0.1,54,-0.018675595907794884,-0.007604885778504933,0.0028275792914918413,0.07096493594412501,0.019016583276185717,0.009703949527137948,-0.7604885778504933,False,0.05
P7_056,BOTH,0.7,RA,0.3,0.1,54,-0.018675595907794884,-0.007604885778504933,0.0028275792914918413,0.05936075594345536,0.015541928527085691,0.009703949527137948,-0.7604885778504933,False,0.05
P7_013,DRAWDOWN,0.7,SAFE,0.25,,130,0.023438488176950933,-0.0007497986252078537,0.0008721394823639483,-0.019558747607332783,-0.009135787087601432,0.0098543066408453,-0.9135787087601432,False,0.05
P7_063,DRAWDOWN,0.8,SAFE,0.15,,175,-0.02310921312581904,-0.010402970983806492,0.0014677375385942354,-0.00404019065686767,-0.005876274217342825,0.006015071136772979,-1.0402970983806492,False,0.02
P7_112,BOTH,0.8,RA,0.2,0.15,47,-0.018326073155949585,-0.011085266981510689,-0.0009662915240633563,0.09245424152235315,0.02715192867937888,0.008523743422561084,-1.1085266981510689,False,0.05
P7_083,BOTH,0.8,SAFE,0.2,0.15,47,-0.018813649429604284,-0.01146182945165708,-0.001064661346541207,0.09581313206661257,0.02815512204619086,0.008523743422560986,-1.146182945165708,False,0.05
P7_035,DRAWDOWN,0.7,RA,0.15,,130,0.044687205143774555,0.012105022667053822,0.000902670707871131,-0.04640537696225777,-0.014192992566463003,0.0087277592686298,-1.4192992566463003,False,0.05
P7_020,DRAWDOWN,0.7,SAFE,0.35,,130,-0.0067242511812179995,-0.015100430976355605,0.0007981297637122686,0.008927176066262477,-0.0031699922115382417,0.011045926896152247,-1.5100430976355605,False,0.05
P7_006,DRAWDOWN,0.7,SAFE,0.15,,130,0.04972950273807619,0.013584538398703883,0.0008599418887921401,-0.04901170555700529,-0.015200961700794213,0.0086562532860162,-1.5200961700794213,False,0.05
P7_116,BOTH,0.8,RA,0.3,0.15,47,-0.02931875645066473,-0.01668363885331381,-0.0014465444141216754,0.0853095165697565,0.023888990211786254,0.01645594631740728,-1.668363885331381,False,0.05
P7_087,BOTH,0.8,SAFE,0.3,0.15,47,-0.030200004616974807,-0.017253309327820654,-0.001594023288738769,0.09036999258267298,0.025390027919680813,0.016455946317407252,-1.7253309327820654,False,0.05
P7_049,DRAWDOWN,0.7,RA,0.35,,130,-0.018165175293881175,-0.018438489389521973,0.0009763416366965899,0.015652172165380507,-0.0007455514560295029,0.011214687018517258,-1.8438489389521973,False,0.05
P7_054,BOTH,0.7,RA,0.2,0.15,72,-0.042853307589189926,-0.018561796009335607,-0.0009662915240633563,-0.05439993743926219,-0.015924981577023267,0.009719736738370163,-1.8561796009335607,False,0.05
P7_041,DRAWDOWN,0.7,RA,0.25,,246,-0.048524745055615215,-0.018815356650033532,0.005235848457804906,0.05596809362145494,0.010369020327279044,0.02605731910070959,-1.8815356650033532,False,0.02
P7_025,BOTH,0.7,SAFE,0.2,0.15,72,-0.04335552637622131,-0.01893627929608055,-0.001064661346541207,-0.043320010952771826,-0.012689052318274774,0.009719736738370163,-1.893627929608055,False,0.05
P7_070,DRAWDOWN,0.8,SAFE,0.25,,175,-0.033510561302038555,-0.020402742350157377,0.002539771832199708,0.026638322479722976,0.0008739022839387989,0.008112843136779915,-2.0402742350157377,False,0.02
P7_003,MOMCAP,0.7,SAFE,0.15,0.15,362,-0.05962596459965819,-0.021244018837732526,3.5412545641266835e-05,0.05527074687229161,0.016926230563426126,0.0020366355886366483,-2.1244018837732526,False,
P7_047,MOMCAP,0.7,RA,0.35,0.2,434,-0.0066990832811588685,-0.021288028252228752,0.002844823572645372,0.06935691045065517,0.014953546340802815,0.011924288959946017,-2.1288028252228752,False,
P7_091,MOMCAP,0.8,RA,0.15,0.2,260,-0.07441172910504901,-0.021291721189782287,0.0014206813561011833,0.13703484347674355,0.041263689649171376,0.008703917886965687,-2.1291721189782287,False,
P7_050,DRAWDOWN,0.7,RA,0.35,,86,0.05683203837609252,0.007724948105060525,0.0037144434452061476,-0.071799887334837,-0.024772282777168364,0.0029569118446588494,-2.4772282777168364,False,0.08
P7_021,DRAWDOWN,0.7,SAFE,0.35,,86,-0.0177698084668394,-0.018204077292956145,0.01890020486805881,-0.0775771539578799,-0.026381182526654,0.0029569118446588077,-2.6381182526654,False,0.08
P7_019,DRAWDOWN,0.7,SAFE,0.35,,246,-0.0368773238700455,-0.0263853133647991,0.00872111680885769,-0.02053942269676945,-0.01612947878795068,0.0286173706957972,-2.63853133647991,False,0.02
P7_012,DRAWDOWN,0.7,SAFE,0.25,,246,-0.00624261928685943,-0.007594218025488653,0.007330279737384884,-0.06497529604776298,-0.026475670155998943,0.026024325723864025,-2.6475670155998943,False,0.02
P7_058,BOTH,0.7,RA,0.3,0.15,72,-0.06198153360284708,-0.027190088099795062,-0.001446544414121495,-0.05194578911303105,-0.016783039357552765,0.010589959370995758,-2.7190088099795062,False,0.05
P7_029,BOTH,0.7,SAFE,0.3,0.15,72,-0.06288842736853373,-0.02775532008978554,-0.001594023288738644,-0.035355767784564285,-0.011941561679723822,0.010589959370995758,-2.775532008978554,False,0.05
P7_060,MOMCAP,0.8,SAFE,0.15,0.1,132,-0.08554108045656661,-0.027779248356628816,-0.00034034962720974615,0.12140517988998767,0.0355575827150274,0.008612443334267361,-2.7779248356628816,False,
P7_032,MOMCAP,0.7,RA,0.15,0.15,362,-0.08502507835957673,-0.02792869727152869,-0.0036892505738430476,-0.03682869778166775,-0.011081841891574351,0.010946699865882606,-2.792869727152869,False,
P7_067,MOMCAP,0.8,SAFE,0.25,0.1,132,-0.08274152441015836,-0.02860289421724249,-9.455502545735461e-05,0.13130735778076807,0.03677934313583986,0.008863125625637638,-2.860289421724249,False,
P7_043,DRAWDOWN,0.7,RA,0.25,,86,0.07508557627074719,0.01811880443606695,0.0037093842898417717,-0.09023366147659906,-0.028645476805055026,0.0019185196031267365,-2.8645476805055026,False,0.08
P7_074,MOMCAP,0.8,SAFE,0.35,0.1,132,-0.0808762755460799,-0.029480156258849144,-0.0001333613653926452,0.14022482062162867,0.03792850387672586,0.009110803083569222,-2.9480156258849144,False,
P7_014,DRAWDOWN,0.7,SAFE,0.25,,86,-0.005080977921988694,-0.010854447106521725,0.01724787250513754,-0.09435392852629942,-0.029793544307781472,0.0019185196031268337,-2.979354430778147,False,0.08
P7_077,DRAWDOWN,0.8,SAFE,0.35,,175,-0.04776848343446072,-0.030518474799477335,0.003611484524693176,0.0566692724558725,0.00757170417236841,0.010212249120240185,-3.0518474799477335,False,0.02
P7_080,BOTH,0.8,SAFE,0.2,0.1,63,-0.0993141450463575,-0.031870539532305564,0.00035513454933178146,0.10197710460427578,0.030264565092912976,0.008738160103259576,-3.1870539532305564,False,0.02
P7_082,BOTH,0.8,SAFE,0.2,0.15,94,-0.08897611764279567,-0.03195135636661295,-7.891790542294275e-05,0.09013418008576013,0.02623287180864642,0.008051207037305635,-3.195135636661295,False,0.02
P7_084,BOTH,0.8,SAFE,0.3,0.1,63,-0.09654668099516361,-0.032245313900201245,0.0006170545653268467,0.09964755913886447,0.02854624937692818,0.00898733993663793,-3.2245313900201245,False,0.02
P7_086,BOTH,0.8,SAFE,0.3,0.15,94,-0.08194558560438048,-0.03243122960491007,0.0003539379723436764,0.08175838035803118,0.022510642647810997,0.01574843735856643,-3.2431229604910072,False,0.02
P7_036,DRAWDOWN,0.7,RA,0.15,,86,0.09018139618151855,0.028447012990371112,0.0037010496481954536,-0.10933238516602328,-0.03258634858164711,0.000873813892571837,-3.2586348581647107,False,0.08
P7_007,DRAWDOWN,0.7,SAFE,0.15,,86,0.00508588679492239,-0.003585284361057317,0.002966836270924325,-0.11179706209442719,-0.03327445967897824,0.0008738138925719896,-3.327445967897824,False,0.08
P7_109,BOTH,0.8,RA,0.2,0.1,63,-0.10724700691258815,-0.03374381350047817,-0.00018457813744272855,0.10197710460427578,0.030264565092912976,0.008738160103259576,-3.374381350047817,False,0.02
P7_010,MOMCAP,0.7,SAFE,0.25,0.15,362,-0.07921398343732888,-0.03382514819016258,-1.756193219121238e-05,0.051680391656553915,0.011872898467513382,0.0027381302389420242,-3.382514819016258,False,
