local_id,threshold,momentum_cap,maximum_budget,signal_days,D_sharpe_delta,D_annual_delta,D_top10_delta,V_sharpe_delta,V_annual_delta,V_top10_delta,T_sharpe_delta,T_annual_delta,T_top10_delta,FULL_sharpe_delta,FULL_annual_delta,FULL_top10_delta,all_segments_triple,FULL_5bp_sharpe_delta,FULL_5bp_annual_delta
23,0.835,0.25,0.25,191,0.014188188201519125,0.007726299213836274,0.006270264945701209,0.11298809976538282,0.032415373923923685,0.00675468032610009,-0.008113211897977202,-0.0033165909445405095,0.00209644668977689,0.03676002065026496,0.01310904706701499,0.00577136568893849,False,0.0385761134525211,0.013480354053807098
24,0.835,0.25,0.3,191,0.013067290687090116,0.006218690554289585,0.006302899458783859,0.11589988354152292,0.0326628607459758,0.006907558717816231,-0.008115693616574937,-0.003805202568309518,0.0022572933292258623,0.037054179273904975,0.01246990284678584,0.005844873241344362,False,0.038575931828646715,0.012801652391575491
7,0.815,0.275,0.2,271,-0.039098158367214086,-0.011509170082570908,0.0029356418992191324,0.056362602277525764,0.015042103015777464,0.014878891802561536,0.04848369325608948,0.02168058350451707,0.0007514033166195616,0.019346622898855914,0.006460693485053515,0.0022568601020710177,False,0.021998068497028456,0.007278791824400166
8,0.815,0.275,0.25,271,-0.037699263039823405,-0.012727428694779386,0.0032328732055466602,0.05913877439598314,0.01504534342978836,0.01499055408171475,0.05078037426497439,0.021480133364883303,0.0013046754448754472,0.021304249444457746,0.005928120549506755,0.0028242279756245103,False,0.023520775264954663,0.006688414544566923
9,0.815,0.275,0.3,271,-0.03650961741537739,-0.01395765243114,0.0033948247382839386,0.061814613750637126,0.015039673795135933,0.015101902784279184,0.052976716087265396,0.021267476520892226,0.001776282353229977,0.023127374954853064,0.005384310099018963,0.003310018617198096,False,0.024913720552946605,0.0060870242050030665
19,0.835,0.225,0.2,176,-0.007227918324762328,-0.0012879150591740274,0.003657991873512914,0.08020021653861586,0.023299850045989112,0.006337357327994161,-0.08801436514225514,-0.036993746094835966,0.0077443784027037,-0.008299142781787117,-0.00274351545753726,-0.00022693562504816356,False,-0.006367805661690262,-0.0020143541400383658
20,0.835,0.225,0.25,176,-0.007549446208841681,-0.0023621738138641657,0.003845532344499622,0.07971605898944711,0.02253047761570981,0.006424337897579541,-0.08715184074395443,-0.037167909488492024,0.008024507971598566,-0.00836692274587203,-0.003466827700046693,0.00011938517535056703,False,-0.0067032963577400295,-0.0027670459203874564
21,0.835,0.225,0.3,176,-0.008012390688586724,-0.003443461399234904,0.0038464302458049715,0.07912987379199066,0.02175448399746216,0.006511247258484329,-0.0863345916321312,-0.03734745345262058,0.008304802112053603,-0.008525793909912371,-0.004196680259466179,0.0002789559831729016,False,-0.007126329497226802,-0.003526153518910613
4,0.815,0.25,0.2,264,-0.03779111279463754,-0.010130326981810489,0.0027144830137142972,0.05429404732786558,0.01486293210723133,0.014775439540021251,-0.049710888333623915,-0.022517450551468032,0.0006250795099178169,-0.013363295289133159,-0.005029703263154772,0.00200456875165983,False,-0.010564451198554314,-0.003970120880339989
10,0.825,0.225,0.2,209,-0.017705247249300227,-0.004453596211702715,0.00365778823209896,0.0224930768011119,0.006232172660199042,0.015437703889898818,-0.044515933022441834,-0.0201606770451217,0.0021476620623432086,-0.014077030141514069,-0.00509175570939302,0.004681980423924786,False,-0.011728870870511665,-0.004167130786477902
5,0.815,0.25,0.25,264,-0.03598781062195999,-0.01100026502685969,0.00295652925129046,0.05657923868871173,0.014824686895054784,0.014861426077310905,-0.04722498685379217,-0.02255769780701322,0.0011465945638320652,-0.011303663086374094,-0.005393066001304625,0.002509149645388231,False,-0.008898507416979173,-0.004385699296751033
6,0.815,0.25,0.3,264,-0.03435975979639361,-0.011880750104214854,0.003149317557535017,0.05877617156662651,0.014778855475688912,0.01494717460185975,-0.04482776721233117,-0.022609631889424664,0.0016684227019615055,-0.009359328089105778,-0.00576642009842665,0.0029642233713929045,False,-0.007343507371815328,-0.004811085342885102
11,0.825,0.225,0.25,209,-0.019153180303059347,-0.005936172129016315,0.0036554296062655672,0.019538660952562847,0.0047203384027594275,0.015384523569357197,-0.043923992620379604,-0.0206198211419113,0.0024328863971155024,-0.015335784870184055,-0.006306131505765089,0.004703336003254038,False,-0.01328734193377068,-0.005407463294343495
12,0.825,0.225,0.3,209,-0.02074979380380415,-0.007425021578705504,0.0036528126247894616,0.016471056077698276,0.0032030087168597454,0.015331317212526521,-0.04339599833438346,-0.021086087926926567,0.002718183753963016,-0.0166990938994378,-0.00752694047341973,0.004724279426951999,False,-0.014946649859058914,-0.006654065645796292
1,0.815,0.225,0.2,246,-0.06263527511637057,-0.02090524323155174,0.00019011381199186828,0.024201699252769937,0.006080829275571187,0.014652014065481125,-0.04944355484452401,-0.021920304055701223,0.0004707408802728519,-0.03204519178985121,-0.012036668958806951,-0.0015422521630541752,False,-0.029584793100818407,-0.010917400002682376
2,0.815,0.225,0.25,246,-0.0606438924559749,-0.021460418918113344,0.000367627449378502,0.02292193646605989,0.005025350982072574,0.014707316647712007,-0.04685643695664199,-0.02180683360261848,0.0009534736738259914,-0.030895858101695373,-0.012579176318775032,-0.0011086505817823333,False,-0.02878836552389119,-0.01150246293309487
3,0.815,0.225,0.3,246,-0.05879632557172787,-0.022024436407743986,0.0005350069270094182,0.02153002067201737,0.003962935661637079,0.014762450675696329,-0.044343312536494706,-0.021703283020430453,0.0014364414649495616,-0.029853565222476286,-0.013130357420773286,-0.000685369893340726,False,-0.02809492024683946,-0.012096035987553266
