local_id,family,threshold,confidence_cap,beta,budget,trigger_days,D_sharpe_delta,D_annual_delta,D_top10_delta,V_sharpe_delta,V_annual_delta,V_top10_delta,T_sharpe_delta,T_annual_delta,T_top10_delta,FULL_sharpe_delta,FULL_annual_delta,FULL_top10_delta,all_segments_triple,FULL_5bp_sharpe_delta,FULL_5bp_annual_delta
72,RA_CLOSE,0.825,1.0,1.0,0.25,91,-0.05701705121980849,-0.019600888414280204,0.004010726074007889,0.01285698340810193,0.0005888537938516514,0.006120529349957285,0.1667826982085152,0.07413286801638641,0.0038022001545204437,0.0398134654798985,0.012131270740955324,0.004223605465237423,False,0.04044486847429796,0.012304511880737445
68,RA_CLOSE,0.825,1.0,0.75,0.2,91,-0.05647960853831524,-0.018549567146198598,0.003992330906354327,0.009622913874769767,2.9211530146122655e-05,0.005694650016041386,0.15637582778806647,0.071070217488159,0.00311674774390773,0.03554572656073218,0.011561169738145916,0.003642731986109815,False,0.036468272541871904,0.011783239323573946
71,RA_CLOSE,0.825,1.0,1.0,0.2,91,-0.05647960853831524,-0.018549567146198598,0.003992330906354327,0.0030721518433641792,-0.0018479683542453884,0.005694650016041386,0.16120739920613736,0.07258176755764767,0.0034243334853851087,0.03529057523997037,0.01130535411492506,0.003950317727587055,False,0.03618314990152416,0.011532281495994834
67,RA_CLOSE,0.825,1.0,0.75,0.15,91,-0.05625679866365618,-0.017514626252730148,0.003793039926166461,-0.0019446242514489231,-0.002888277322804722,0.00526955606004216,0.15178462355978972,0.06987338573943092,0.002657971002644935,0.030733439964588216,0.010653485915687488,0.0032653598434528863,False,0.03192055327710808,0.01093061786905225
70,RA_CLOSE,0.825,1.0,1.0,0.15,91,-0.05625679866365618,-0.017514626252730148,0.003793039926166461,-0.006841460135646127,-0.0042929141758309974,0.00526955606004216,0.15541132655302303,0.07100775493295375,0.0028893970330457625,0.030547254635258092,0.010462274142097439,0.003386692707346761,False,0.031711725060302065,0.01074303648671382
64,RA_CLOSE,0.825,1.0,0.5,0.15,91,-0.05625679866365618,-0.017514626252730148,0.003793039926166461,-0.022165885587149714,-0.008438894450029322,0.003771976977809996,0.13520146308761105,0.06283171632845441,0.0017190213589284575,0.01906341445886084,0.006901282261389863,0.0009501639813978557,False,0.020280361251584278,0.00723285323525924
65,RA_CLOSE,0.825,1.0,0.5,0.2,91,-0.05647960853831524,-0.018549567146198598,0.003992330906354327,-0.01730256453789991,-0.00737428815365182,0.003695758854623407,0.13433897641835313,0.06169316856296647,0.0018624725763885658,0.02002886991687758,0.006563510128819061,0.001141927966677031,False,0.02098696323301752,0.006858205957604557
66,RA_CLOSE,0.825,1.0,0.5,0.25,91,-0.05701705121980849,-0.019600888414280204,0.004010726074007889,-0.012531832260195275,-0.006316961037644786,0.003619267098883938,0.13330250056697923,0.060538260910943276,0.001848171988104344,0.020804275601189692,0.0062116900498978556,0.001152449443345832,False,0.021511890401127776,0.0064696709534000085
54,RA_CLOSE,0.8,1.25,1.0,0.25,184,-0.014860374445149427,-0.010475664120822792,0.005201278776374413,0.14002964092080183,0.038669871176308934,0.009815490477743119,-0.03888097542978164,-0.020406790514867268,-0.002907928592855158,0.02243001635307862,0.0033834491881332696,0.008396915201993982,False,0.02429893992733123,0.004318518624149226
53,RA_CLOSE,0.8,1.25,1.0,0.2,184,-0.0046214679477185605,-0.00455897181412368,0.004900627391453069,0.1283674384797301,0.03605201500040445,0.009357076340595322,-0.057075888001888675,-0.0262726356413836,-0.004805210950078576,0.016790819348742048,0.0032121687355350925,0.006236777185931075,False,0.019135907752970915,0.004189342520268369
52,RA_CLOSE,0.8,1.25,1.0,0.15,184,0.00480664758948901,0.0013460032121745957,0.004599298931163634,0.1164687639025469,0.0334172364683929,0.00889864856991486,-0.07545565447535063,-0.0321550312628851,-0.0013810901007784426,0.010769847656793452,0.00300737110678706,0.004083225593633,False,0.01360981150065177,0.004027184525065675
7,RA_CLOSE,0.775,0.75,1.0,0.15,117,0.03515424478361173,0.01415612121480958,0.0005537722711840692,-0.10903061243122225,-0.03294341543895518,0.007841408405223863,0.07664623001738735,0.03278004029729242,0.003516546249515945,0.007448120849023576,0.0028199841077665155,-0.006299916230593228,False,0.010857417067275499,0.004002078527732156
8,RA_CLOSE,0.775,0.75,1.0,0.2,117,0.027296585695092856,0.009345549576210477,0.0007845591045930189,-0.0935231339279129,-0.029253830547443682,0.0080639306378959,0.08396182102692995,0.03473639547873475,0.009003333013150677,0.011406951979066937,0.0027780067049183454,-0.005245156641073528,False,0.014336988019307384,0.0038923871373490737
9,RA_CLOSE,0.775,0.75,1.0,0.25,117,0.01876120222843336,0.004520168553629578,0.0008417052440874567,-0.07818405247879823,-0.025578021034769582,0.008286187280829013,0.09105714197204184,0.036669104762553584,0.009584570911214896,0.015020370049388498,0.00270803160519395,-0.004363270796801183,False,0.017486906764525356,0.0037550934289389826
4,RA_CLOSE,0.775,0.75,0.75,0.15,117,0.03515424478361173,0.01415612121480958,0.0005537722711840692,-0.10903061243122225,-0.03294341543895518,0.007841408405223863,0.07307225251107385,0.03167498834623861,0.0032850461041218637,0.0062024466746370965,0.002527075254903366,-0.006531416375987309,False,0.009640430439558534,0.0037142919091874838
5,RA_CLOSE,0.775,0.75,0.75,0.2,117,0.027296585695092856,0.009345549576210477,0.0007845591045930189,-0.0935231339279129,-0.029253830547443682,0.0080639306378959,0.07919325599984717,0.03326347888413572,0.008694642746892023,0.00974306575528594,0.00238809659501249,-0.005553846907332127,False,0.012711460326554791,0.0035093161981769594
6,RA_CLOSE,0.775,0.75,0.75,0.25,117,0.01876120222843336,0.004520168553629578,0.0008417052440874567,-0.07818405247879823,-0.025578021034769582,0.008286187280829013,0.08509462246304,0.034828602118187835,0.009198682218244936,0.0129379676947603,0.002221447394717968,-0.004749159489771143,False,0.015452543646665484,0.0032770698664905673
27,RA_CLOSE,0.775,1.25,1.0,0.25,221,0.07187099898764138,0.016608472273338837,0.005099629839632969,0.0026997342917391975,-0.0014518957871509919,0.010591932182678523,-0.02166117104328813,-0.014206510579299003,-0.000824731151108371,0.01876559020296731,0.0020577346622669968,0.004512072029638131,False,0.020976812118550292,0.0031768421125515367
26,RA_CLOSE,0.775,1.25,1.0,0.2,221,0.08187891658475155,0.023236391572265758,0.004820223618492367,-0.014190616488951924,-0.005355463444403741,0.010222710814701358,-0.0409571662491206,-0.020484226360510505,-0.002811308941293722,0.011313958333565965,0.0015370425292600132,0.0023518313497835897,False,0.01420415592119273,0.0027554466734707184
34,RA_CLOSE,0.8,0.75,1.0,0.15,95,-0.04560117093444038,-0.012144669168488331,0.0006133886164628177,-0.0017267960360021206,-0.0035657943497944267,0.005331981865730917,0.061276800675294174,0.02716880399049426,0.0016170495211073471,0.004879538567932773,0.001318437759425306,-0.0012429925864808344,False,0.007353094199847643,0.0022005935050140035
24,RA_CLOSE,0.775,1.25,0.75,0.25,221,0.06892279243755195,0.015682194009678074,0.005099629839632969,0.001790103036255708,-0.0017402960559251834,0.010021903566741638,-0.027770827796021358,-0.015916948308353884,-0.002352198402225142,0.015204282218198584,0.0011341501118653508,0.0029846047785211383,False,0.017264794016869534,0.0022199674109040224
31,RA_CLOSE,0.8,0.75,0.75,0.15,95,-0.04560117093444038,-0.012144669168488331,0.0006133886164628177,-0.0017267960360021206,-0.0035657943497944267,0.005331981865730917,0.0577316331233082,0.02606805535646939,0.0013906084900229682,0.0036317639425331727,0.0010258577970363447,-0.0014694336175652134,False,0.006134230527211848,0.0019132014717659906
25,RA_CLOSE,0.775,1.25,1.0,0.15,221,0.09090893100775155,0.029851515308720877,0.004539682585884747,-0.031298137789111724,-0.009278111321082028,0.009852251879620882,-0.060435121058192154,-0.02677571826951497,0.0005238732948461555,0.0034430410694743507,0.0009771303343673043,0.00019730997992528643,False,0.007032044564031725,0.0022954322095549706
1,RA_CLOSE,0.775,0.75,0.5,0.15,117,0.03515424478361173,0.01415612121480958,0.0005537722711840692,-0.12858279673564266,-0.03797012504366126,0.007930714729043206,0.07298459164195803,0.03212173062222212,0.0033651353014564345,7.543762447004276e-05,0.0008723357851732061,-0.006362020854833311,False,0.003615615097882774,0.00208875260396435
35,RA_CLOSE,0.8,0.75,1.0,0.2,95,-0.052700852941962806,-0.016216522219918428,0.0008649628775538876,0.007680725178852543,-0.0014154659417959792,0.005642472934003176,0.06756230473092373,0.02871764011989497,0.007017512149679231,0.006975000689786848,0.0008669142312287548,-0.0006383494685461844,False,0.00909552543776937,0.0017182739911651979
63,RA_CLOSE,0.825,0.75,1.0,0.25,62,-0.02779702417027874,-0.009485178413749518,0.00401072607400782,0.013253193673668062,0.0008427608867453973,0.0061205293499573266,0.040141409795259264,0.01578115741540498,0.006072179636434763,0.008074053899993716,0.0008351477032524368,0.001721035985912639,False,0.009080017332232071,0.0013446927775040418
62,RA_CLOSE,0.825,0.75,1.0,0.2,62,-0.03010252099263777,-0.009442763770686868,0.003992330906354355,0.0033734385674157874,-0.0016467169383931335,0.005694650016041428,0.043049750592421,0.01787099221496269,0.0063766379820444224,0.005340547141792662,0.000558294323068198,0.00199180819411357,False,0.006624824432391652,0.0011202024954746204
32,RA_CLOSE,0.8,0.75,0.75,0.2,95,-0.052700852941962806,-0.016216522219918428,0.0008649628775538876,0.007680725178852543,-0.0014154659417959792,0.005642472934003176,0.06283383181193081,0.027250867616931185,0.006715859825064174,0.005310926966815233,0.0004775613582468363,-0.0009400017931611993,False,0.007469993582420509,0.0013358369760798627
23,RA_CLOSE,0.775,1.25,0.75,0.2,221,0.0795433233335976,0.022491960742315742,0.004820223618492325,-0.014933459463644438,-0.005586587832299372,0.00976643081796226,-0.04901084425172386,-0.023189553911713068,-0.004436131640182084,0.007391923184181692,0.0004286313085111182,0.0007270086508953111,False,0.010148445059996014,0.0016255632461605884
36,RA_CLOSE,0.8,0.75,1.0,0.25,95,-0.06035240139394804,-0.020303137358034462,0.0009433541808288592,0.016923850387548067,0.0007226082356099894,0.005953922346106769,0.07363044415220621,0.030242526701548034,0.007512289002967715,0.0087732244800931,0.00039261559623282594,-0.0002064082512231169,False,0.010554350420938885,0.0012135066979641618
60,RA_CLOSE,0.825,0.75,0.75,0.25,62,-0.02779702417027874,-0.009485178413749518,0.00401072607400782,0.013253193673668062,0.0008427608867453973,0.0061205293499573266,0.03429195286126774,0.0139672634739203,0.0056889234414108925,0.006000824714652575,0.0003492450232562838,0.001337779790888921,False,0.007055319480164135,0.0008675463367089353
61,RA_CLOSE,0.825,0.75,1.0,0.15,62,-0.03269076730002762,-0.009416366663889342,0.0037930399261662806,-0.006626783970195005,-0.00414337749959004,0.005269556060042216,0.045745437134710576,0.019943506779866116,0.001823422711612399,0.0024022335938262973,0.00026559877949927646,0.001970512941531777,False,0.0039745578214211985,0.0008800354070779282
2,RA_CLOSE,0.775,0.75,0.5,0.2,117,0.027296585695092856,0.009345549576210477,0.0007845591045930189,-0.11958453251902013,-0.03595651290377311,0.008185120340411758,0.07914676421801858,0.033867241679478965,0.0038964225607695385,0.0016299737588989505,0.0001898758429779157,-0.005324753723061043,False,0.004730314823190751,0.0013499548401596506
59,RA_CLOSE,0.825,0.75,0.75,0.2,62,-0.03010252099263777,-0.009442763770686868,0.003992330906354355,0.0033734385674157874,-0.0016467169383931335,0.005694650016041428,0.03835382556908984,0.016415292233590728,0.006069052240567058,0.0036791553933355203,0.000169031437572853,0.0016842224526362193,False,0.005002428068368925,0.0007379398650237956
58,RA_CLOSE,0.825,0.75,0.75,0.15,62,-0.03269076730002762,-0.009416366663889342,0.0037930399261662806,-0.006626783970195005,-0.00414337749959004,0.005269556060042216,0.04221218520589276,0.018848299303408478,0.00159199668121153,0.0011545208972676413,-2.675057481549281e-05,0.0018491800776380685,False,0.0027562031760515193,0.0005929326200921903
33,RA_CLOSE,0.8,0.75,0.75,0.25,95,-0.06035240139394804,-0.020303137358034462,0.0009433541808288592,0.016923850387548067,0.0007226082356099894,0.005953922346106769,0.06772004778679852,0.028410210735525077,0.007135562415078289,0.006693666895371875,-9.3126049158343e-05,-0.0005831348391124869,False,0.008522925217327337,0.0007364079945237911
22,RA_CLOSE,0.775,1.25,0.75,0.15,221,0.08917514840916607,0.029290642049556448,0.004539682585884747,-0.03186569074211765,-0.009451749901081552,0.009509849381422783,-0.07044332133726705,-0.030467464392353483,-0.006509284888240097,-0.0008403744853491268,-0.00031611904192918594,-0.0015220479269884568,False,0.002632276396895783,0.0009924919219814754
3,RA_CLOSE,0.775,0.75,0.5,0.25,117,0.01876120222843336,0.004520168553629578,0.0008417052440874567,-0.11073167343183132,-0.03395675065790238,0.008440337074249252,0.08512694248604857,0.035593495474899095,0.00933496013632873,0.002873096814674403,-0.0005161684468157901,-0.0044587317782669444,False,0.005546926144725184,0.0005879342036747559
28,RA_CLOSE,0.8,0.75,0.5,0.15,95,-0.04560117093444038,-0.012144669168488331,0.0006133886164628177,-0.022021735442450563,-0.009113360678732807,0.0038344027834987526,0.05766363529410068,0.026513057919091754,0.0014706976873575528,-0.0024585549920372873,-0.0007641499857640177,-0.002846090910257726,False,6.982232052910042e-05,0.0001417007131621073
55,RA_CLOSE,0.825,0.75,0.5,0.15,62,-0.03269076730002762,-0.009416366663889342,0.0037930399261662806,-0.02682580473472196,-0.009688343023510404,0.0037719769778097323,0.042158948172636324,0.019291061727601866,0.0016720858785461978,-0.004937369488253518,-0.0018153474946023263,0.0005530230566342664,False,-0.0033086689997681162,-0.0011767852081816521
29,RA_CLOSE,0.8,0.75,0.5,0.2,95,-0.052700852941962806,-0.016216522219918428,0.0008649628775538876,-0.019352245053871675,-0.008810309305686825,0.0036435817725851694,0.0628138074640201,0.027852111889532516,0.00191763963894169,-0.002770749094955338,-0.0019024600453854124,-0.002488440377739709,False,-0.0005803973382001448,-0.00101955192773584
56,RA_CLOSE,0.825,0.75,0.5,0.2,62,-0.03010252099263777,-0.009442763770686868,0.003992330906354355,-0.023513672282957532,-0.009040174676326673,0.003695758854623407,0.038365760395377535,0.01701199777221918,0.001362318773900112,-0.0043932120010146125,-0.0022104398939810643,0.0005455970824780332,False,-0.003037466537145539,-0.0016163750223723294
57,RA_CLOSE,0.825,0.75,0.5,0.25,62,-0.02779702417027874,-0.009485178413749518,0.00401072607400782,-0.02029182208578717,-0.008399249062060354,0.0036192670988838688,0.03441111254121276,0.014721098536244037,0.005825201359494797,-0.004024052687032764,-0.0026184165894258538,0.0003569298534973897,False,-0.002933499280852514,-0.0020686897363939583
51,RA_CLOSE,0.8,1.25,0.75,0.25,184,-0.06377588770614451,-0.025110950306535207,0.005201278776374385,0.13912762887748753,0.03837209481359505,0.009245461861806234,-0.04492851918160379,-0.02210962010298534,-0.004435395843971901,0.002501769975365997,-0.0029482327787280216,0.006869447950877211,False,0.0041918490474122105,-0.0019732695693175373
19,RA_CLOSE,0.775,1.25,0.5,0.15,221,0.08917514840916607,0.029290642049556448,0.004539682585884747,-0.05160686396816039,-0.014576650090137422,0.009599155705242293,-0.08031354661724222,-0.03380629342429464,-0.003797688178534181,-0.010412402425289624,-0.00300814775364433,-0.0020481798353553238,False,-0.00676255427668937,-0.0016392885425591253
30,RA_CLOSE,0.8,0.75,0.5,0.25,95,-0.06035240139394804,-0.020303137358034462,0.0009433541808288592,-0.016823824702723145,-0.008518503583065273,0.0034526600950334357,0.06778555321750646,0.029171701795642324,0.0072718403331621245,-0.0033558872152770203,-0.003059804139346811,-0.0023031200004129393,False,-0.0014917377710628177,-0.002199534315216356
20,RA_CLOSE,0.775,1.25,0.5,0.2,221,0.0795433233335976,0.022491960742315742,0.004820223618492325,-0.04127405162451658,-0.012420773952594333,0.00988762052047805,-0.06216609008909457,-0.02764883497644277,-0.0019278976663602149,-0.005354923950777968,-0.0031521857215066618,2.9397385340745874e-05,False,-0.0023655617306608256,-0.0018748624332882713
50,RA_CLOSE,0.8,1.25,0.75,0.2,184,-0.05168843880654306,-0.018824397720247577,0.004900627391453041,0.12762710093275487,0.03581311120225883,0.008900796343856321,-0.06507290755952888,-0.02896667824920285,-0.006430033648966937,-0.003090848653445777,-0.003203859315026536,0.004611954487042408,False,-0.0008987476041921738,-0.0021726341426444584
21,RA_CLOSE,0.775,1.25,0.5,0.25,221,0.06892279243755195,0.015682194009678074,0.005099629839632969,-0.031136864632638983,-0.010284093915044812,0.010176053360161932,-0.04419549826128466,-0.021500213053464057,-4.640958195653577e-05,-0.0006972339413930939,-0.003331064823065999,0.0021175084503178843,False,0.0016494811436120749,-0.002144686778267957
49,RA_CLOSE,0.8,1.25,0.75,0.15,184,-0.04040452240345993,-0.012545023820168755,0.004599298931163731,0.11590015086020944,0.03323755233716286,0.008556246071716858,-0.08541170017391697,-0.035832400908725415,-0.008414248283864695,-0.009061880731507044,-0.003492796206837623,0.002363867686719201,False,-0.006348851067577765,-0.002404779317526584
79,RA_CLOSE,0.825,1.25,1.0,0.15,135,-0.0728750808223646,-0.02449757247558293,0.0035492106636218768,0.11010790621623012,0.03257347406333033,0.008774348362402054,-0.05527557693259744,-0.024705484465700644,0.009472691734437017,-0.01241762692968873,-0.005341001635826181,0.0029426418567492507,False,-0.011347739396029954,-0.004743380223907634
80,RA_CLOSE,0.825,1.25,1.0,0.2,135,-0.07464061965548718,-0.02648467773540375,0.003666352447519755,0.12213842244715545,0.035481444492379666,0.00932728014274993,-0.05598926662012493,-0.02662837629019088,0.009803814485431522,-0.009732261730582836,-0.005688261510872872,0.003908786430123212,False,-0.009099649268930587,-0.0051402674607408105
81,RA_CLOSE,0.825,1.25,1.0,0.25,135,-0.07680938191955478,-0.028490264713763924,0.003782361520527841,0.13397664748043525,0.03837770449242317,0.009880284946481632,-0.05700146098552783,-0.028581145508626893,0.01010340674952423,-0.007339493364570071,-0.006058919289704923,0.004871404516646305,False,-0.00713025930561173,-0.00556016706794793
46,RA_CLOSE,0.8,1.25,0.5,0.15,184,-0.04040452240345993,-0.012545023820168755,0.004599298931163731,0.09550481912661535,0.027524263845476238,0.007058666989484652,-0.09521648346101652,-0.03915822780097988,-0.005702651574158835,-0.018590338087457914,-0.0063149706040572795,0.00025085037230071494,False,-0.01577652785872674,-0.005177327844910762
47,RA_CLOSE,0.8,1.25,0.5,0.2,184,-0.05168843880654306,-0.018824397720247577,0.004900627391453041,0.10043668837597497,0.028195199036013863,0.006901905182438342,-0.07813798315899523,-0.03340735796773986,-0.003921799675145082,-0.01578470509222818,-0.006959172603408836,0.0017942623575543382,False,-0.013461447682607597,-0.005861785003079101
48,RA_CLOSE,0.8,1.25,0.5,0.25,184,-0.06377588770614451,-0.025110950306535207,0.005201278776374385,0.10515714313495084,0.02884955650951193,0.006744199610732887,-0.06123728920651894,-0.02766805011465512,-0.0021296070237033227,-0.013343057169277639,-0.007632798871166413,0.003346939578180358,False,-0.011493389316621139,-0.006575141463086354
76,RA_CLOSE,0.825,1.25,0.75,0.15,135,-0.11807898558869923,-0.03812589120134979,0.0035492106636218768,0.10954139164418975,0.03239390940668252,0.008431945864204121,-0.06871779825153013,-0.029460893595329107,0.00774352638298878,-0.03347601342561868,-0.012090301601483278,0.00121347650530082,False,-0.03249872110388541,-0.011416881613743657
77,RA_CLOSE,0.825,1.25,0.75,0.2,135,-0.1215410477593537,-0.040520221139189294,0.003666352447519755,0.12140115072579583,0.035242647889895506,0.008871000146010957,-0.06857696738733288,-0.03072924986381187,0.0081614742017109,-0.031209449722688243,-0.012447182360281639,0.0022664461464025065,False,-0.03068471278494167,-0.011835671238393575
78,RA_CLOSE,0.825,1.25,0.75,0.25,135,-0.1253965996275792,-0.042930931501741876,0.0037823615205278827,0.13307868214694907,0.03807999640641979,0.009310256330544692,-0.06873151345504902,-0.0320291699854891,0.008548439624436369,-0.02923154543426043,-0.012827018792891165,0.0033164373915584855,False,-0.029145265334183712,-0.012277022530596593
73,RA_CLOSE,0.825,1.25,0.5,0.15,135,-0.11807898558869923,-0.03812589120134979,0.0035492106636218768,0.0892514002555641,0.026684419763297162,0.0069343667819718735,-0.07858255526756097,-0.03280216209213127,0.012034211818680543,-0.0429750268856115,-0.014894245801727823,-0.0008995408091177493,False,-0.0418940616761454,-0.014170319827357503
74,RA_CLOSE,0.825,1.25,0.5,0.2,135,-0.1215410477593537,-0.040520221139189294,0.003666352447519755,0.09437337781838873,0.02762815386577766,0.006872108984592937,-0.08164396193827983,-0.0351642544050661,0.0122487969015187,-0.043832310474757774,-0.016176421202550584,-0.0005512459830857297,False,-0.0431732915049321,-0.015497562120369457
75,RA_CLOSE,0.825,1.25,0.5,0.25,135,-0.1253965996275792,-0.042930931501741876,0.0037823615205278827,0.09933697585141144,0.028559641511344713,0.006808994079471345,-0.08495102436935831,-0.03754781920700023,0.01243331717069085,-0.04495093994288846,-0.017476828840419012,-0.00020607098113850641,False,-0.0447019908303008,-0.016842640985815782
