date,reason,asset,side,shares,notional
2024-06-04,rebalance,511260.SH,buy,100,12793.800000000001
2024-06-04,rebalance,511360.SH,buy,100,10985.9
2024-07-02,rebalance,511260.SH,sell,6800,875248.3999999999
2024-07-02,rebalance,511360.SH,sell,3300,363069.3
2024-07-02,rebalance,511880.SH,sell,1900,259128.55500000002
2024-07-02,rebalance,512890.SH,buy,686000,1511777.5764
2024-08-02,rebalance,511260.SH,sell,300,39203.4
2024-08-02,rebalance,511360.SH,sell,100,11022.7
2024-08-02,rebalance,511880.SH,sell,100,13653.8815
2024-08-02,rebalance,512890.SH,buy,36700,76672.54633999997
2024-09-03,rebalance,511360.SH,sell,1000,110332.0
2024-09-03,rebalance,511880.SH,sell,2600,355447.0192
2024-09-03,rebalance,512890.SH,sell,193600,398125.0415999999
2024-09-03,rebalance,511260.SH,buy,6500,847885.9999999999
2024-10-09,rebalance,512890.SH,sell,630600,1446464.1001199998
2024-10-09,rebalance,511260.SH,buy,6800,884788.8
2024-10-09,rebalance,511360.SH,buy,2700,298182.60000000003
2024-10-09,rebalance,511880.SH,buy,1300,177928.9967
2024-11-04,rebalance,511260.SH,sell,6000,785946.0000000001
2024-11-04,rebalance,511880.SH,buy,3500,479555.013
2024-11-04,rebalance,512890.SH,buy,110300,243751.5288
2024-11-04,rebalance,511360.SH,buy,2000,221370.0
2024-12-03,rebalance,511260.SH,sell,6900,915471.2999999999
2024-12-03,rebalance,511360.SH,sell,3400,377107.6
2024-12-03,rebalance,511880.SH,sell,2000,274290.828
2024-12-03,rebalance,512890.SH,buy,715900,1592318.6684599996
2025-01-03,rebalance,511260.SH,sell,200,27323.0
2025-01-03,rebalance,512890.SH,sell,6300,14193.057059999997
2025-01-03,rebalance,511880.SH,buy,100,13730.4272
2025-02-06,rebalance,511260.SH,sell,100,13663.0
2025-02-06,rebalance,511880.SH,sell,1300,178718.5036
2025-02-06,rebalance,511360.SH,buy,2100,233541.0
2025-02-06,rebalance,512890.SH,buy,6400,14104.047359999999
2025-03-04,rebalance,511360.SH,sell,3100,344890.5
2025-03-04,rebalance,511880.SH,sell,1500,206374.182
2025-03-04,rebalance,512890.SH,sell,409200,904289.4432
2025-03-04,rebalance,511260.SH,buy,10900,1477985.5
