start,trough,recovery,max_drawdown
2019-03-07,2019-03-08,2019-03-11,-0.03119266055045855
2019-03-13,2019-05-14,2019-08-26,-0.1504580545557579
2019-08-30,2019-09-02,2019-09-05,-0.01935483870967747
2019-09-10,2019-10-23,2019-12-25,-0.08099466729364357
2019-12-27,2019-12-27,2019-12-30,-0.016222479721900496
2020-01-03,2020-01-06,2020-01-07,-0.010230391721165022
2020-01-08,2020-01-08,2020-01-09,-0.011667178385016963
2020-01-13,2020-01-13,2020-01-14,-0.002079619726678472
2020-01-15,2020-01-15,2020-01-16,-0.001621621621621716
2020-01-21,2020-01-21,2020-01-22,-0.006824146981627366
2020-01-23,2020-02-03,2020-02-11,-0.12870303346288747
2020-02-14,2020-03-17,2020-07-09,-0.21739980673590242
2020-07-10,2020-07-10,2020-07-13,-0.017857142857142794
2020-07-14,2020-08-12,2020-08-27,-0.13097397083118778
2020-09-01,2020-09-01,2020-09-02,-0.013444049031237526
2020-09-04,2021-03-09,2022-07-22,-0.2420966979117376
2022-07-25,2022-07-26,2022-07-29,-0.02076124567474047
2022-08-01,2022-08-01,2022-08-04,-0.0022522522522521182
2022-08-08,2022-08-10,2022-08-11,-0.025136612021857685
2022-08-12,2022-08-12,2022-08-15,-0.00975081256771404
2022-08-17,2022-09-16,2022-11-29,-0.07469967745822048
2022-12-02,2022-12-23,2023-01-17,-0.046065482343577324
2023-01-18,2023-01-18,2023-01-19,-0.0008097165991902688
2023-01-31,2023-01-31,2023-02-01,-0.010264508487958901
2023-02-02,2023-02-13,2023-02-16,-0.034023552693566494
2023-02-17,2023-03-10,2023-05-29,-0.07959825814805521
2023-05-31,2023-06-01,2023-06-02,-0.004830917874396157
2023-06-08,2023-06-08,2023-06-12,-0.020912547528517123
2023-06-19,2023-06-20,2023-06-21,-0.004545454545454741
2023-06-26,2023-06-27,2023-06-30,-0.02181818181818196
2023-07-04,2023-07-10,2023-07-13,-0.020572450805009135
2023-07-20,2023-12-05,2024-03-18,-0.13708677668352542
2024-03-19,2024-03-22,2024-03-29,-0.01666701254029279
2024-04-11,2024-04-11,2024-04-12,-0.007423904974016349
2024-04-15,2024-04-23,2024-06-13,-0.04941860465116299
2024-06-14,2024-06-14,2024-06-17,-0.0006963788300834439
2024-06-21,2024-06-25,2024-06-28,-0.029211956521739246
2024-07-01,2024-07-01,2024-07-03,-0.0013559322033898091
2024-07-10,2024-09-09,2024-09-27,-0.1138641744412332
2024-10-09,2024-10-17,2025-07-22,-0.2550410754294248
2025-07-23,2025-07-23,2025-07-24,-0.000873743993010101
2025-07-25,2025-07-25,2025-07-28,-0.0030107526881721913
2025-07-30,2025-07-31,2025-08-12,-0.03441040704993703
2025-08-14,2025-08-14,2025-08-15,-0.010917913465426587
2025-08-19,2025-08-19,2025-08-20,-0.0027110766847402434
2025-08-21,2025-08-21,2025-08-22,-0.0061823802163832875
2025-08-26,2025-08-27,2025-08-28,-0.01497990500548041
2025-09-02,2025-09-04,2025-09-05,-0.060129825760164124
2025-09-08,2025-09-09,2025-09-11,-0.03362771739130421
2025-09-12,2025-09-12,2025-09-15,-0.009917355371900749
2025-09-18,2025-09-19,2025-09-23,-0.018275088169285247
2025-09-25,2025-09-25,2025-09-29,-0.005372405372405242
2025-10-13,2025-10-14,2025-10-17,-0.026881720430107503
2025-10-20,2026-04-03,,-0.25505250836131044
