date,from_asset,to_asset,traded_weight,cost
2020-12-15,510300.SH,159915.SZ,2.0,0.0002
2020-12-29,159915.SZ,518880.SH,2.0,0.0002
2021-01-06,518880.SH,159915.SZ,2.0,0.0002
2021-01-14,159915.SZ,510300.SH,2.0,0.0002
2021-01-21,510300.SH,159915.SZ,2.0,0.0002
2021-02-03,159915.SZ,513100.SH,2.0,0.0002
2021-02-10,513100.SH,159915.SZ,2.0,0.0002
2021-02-24,159915.SZ,513100.SH,2.0,0.0002
2021-03-04,513100.SH,510300.SH,2.0,0.0002
2021-03-11,510300.SH,513100.SH,2.0,0.0002
2021-03-19,513100.SH,518880.SH,2.0,0.0002
2021-03-29,518880.SH,513100.SH,2.0,0.0002
2021-04-22,513100.SH,159915.SZ,2.0,0.0002
2021-05-10,159915.SZ,518880.SH,2.0,0.0002
2021-05-17,518880.SH,159915.SZ,2.0,0.0002
2021-05-24,159915.SZ,518880.SH,2.0,0.0002
2021-05-31,518880.SH,159915.SZ,2.0,0.0002
2021-06-16,159915.SZ,513100.SH,2.0,0.0002
2021-07-22,513100.SH,159915.SZ,2.0,0.0002
2021-07-29,159915.SZ,518880.SH,2.0,0.0002
2021-08-05,518880.SH,159915.SZ,2.0,0.0002
2021-08-12,159915.SZ,513100.SH,2.0,0.0002
2021-08-25,513100.SH,510300.SH,2.0,0.0002
2021-09-01,510300.SH,513100.SH,2.0,0.0002
2021-09-08,513100.SH,518880.SH,2.0,0.0002
2021-09-15,518880.SH,510300.SH,2.0,0.0002
2021-10-12,510300.SH,159915.SZ,2.0,0.0002
2021-11-03,159915.SZ,513100.SH,2.0,0.0002
2021-11-26,513100.SH,159915.SZ,2.0,0.0002
2021-12-07,159915.SZ,510300.SH,2.0,0.0002
2021-12-30,510300.SH,518880.SH,2.0,0.0002
2022-03-23,518880.SH,513100.SH,2.0,0.0002
2022-04-18,513100.SH,518880.SH,2.0,0.0002
2022-05-19,518880.SH,159915.SZ,2.0,0.0002
2022-05-31,159915.SZ,510300.SH,2.0,0.0002
2022-06-08,510300.SH,159915.SZ,2.0,0.0002
2022-07-18,159915.SZ,513100.SH,2.0,0.0002
2022-08-25,513100.SH,518880.SH,2.0,0.0002
2022-09-01,518880.SH,510300.SH,2.0,0.0002
2022-09-08,510300.SH,518880.SH,2.0,0.0002
2022-11-04,518880.SH,159915.SZ,2.0,0.0002
2022-11-11,159915.SZ,518880.SH,2.0,0.0002
2022-11-28,518880.SH,510300.SH,2.0,0.0002
2022-12-05,510300.SH,518880.SH,2.0,0.0002
2022-12-12,518880.SH,510300.SH,2.0,0.0002
2022-12-22,510300.SH,518880.SH,2.0,0.0002
2023-01-13,518880.SH,159915.SZ,2.0,0.0002
2023-02-07,159915.SZ,513100.SH,2.0,0.0002
2023-03-03,513100.SH,510300.SH,2.0,0.0002
2023-03-10,510300.SH,518880.SH,2.0,0.0002
2023-03-31,518880.SH,513100.SH,2.0,0.0002
2023-04-10,513100.SH,518880.SH,2.0,0.0002
2023-04-17,518880.SH,159915.SZ,2.0,0.0002
2023-04-24,159915.SZ,513100.SH,2.0,0.0002
2023-05-05,513100.SH,518880.SH,2.0,0.0002
2023-05-12,518880.SH,513100.SH,2.0,0.0002
2023-07-24,513100.SH,518880.SH,2.0,0.0002
2023-07-31,518880.SH,510300.SH,2.0,0.0002
2023-08-14,510300.SH,518880.SH,2.0,0.0002
2023-08-21,518880.SH,510300.SH,2.0,0.0002
2023-08-28,510300.SH,518880.SH,2.0,0.0002
2023-09-18,518880.SH,513100.SH,2.0,0.0002
2023-09-25,513100.SH,518880.SH,2.0,0.0002
2023-10-11,518880.SH,513100.SH,2.0,0.0002
2023-10-19,513100.SH,518880.SH,2.0,0.0002
2023-11-14,518880.SH,513100.SH,2.0,0.0002
2023-11-21,513100.SH,159915.SZ,2.0,0.0002
2023-11-28,159915.SZ,513100.SH,2.0,0.0002
2023-12-08,513100.SH,518880.SH,2.0,0.0002
2023-12-15,518880.SH,513100.SH,2.0,0.0002
2024-01-11,513100.SH,518880.SH,2.0,0.0002
2024-01-22,518880.SH,513100.SH,2.0,0.0002
2024-02-27,513100.SH,510300.SH,2.0,0.0002
2024-03-05,510300.SH,159915.SZ,2.0,0.0002
2024-03-22,159915.SZ,518880.SH,2.0,0.0002
2024-05-07,518880.SH,510300.SH,2.0,0.0002
2024-05-21,510300.SH,513100.SH,2.0,0.0002
2024-07-15,513100.SH,518880.SH,2.0,0.0002
2024-07-22,518880.SH,510300.SH,2.0,0.0002
2024-07-29,510300.SH,518880.SH,2.0,0.0002
2024-09-02,518880.SH,513100.SH,2.0,0.0002
2024-09-09,513100.SH,518880.SH,2.0,0.0002
2024-09-26,518880.SH,159915.SZ,2.0,0.0002
2024-11-04,159915.SZ,518880.SH,2.0,0.0002
2024-11-11,518880.SH,159915.SZ,2.0,0.0002
2024-11-18,159915.SZ,513100.SH,2.0,0.0002
2024-12-13,513100.SH,518880.SH,2.0,0.0002
2024-12-20,518880.SH,513100.SH,2.0,0.0002
2025-01-13,513100.SH,518880.SH,2.0,0.0002
2025-02-18,518880.SH,159915.SZ,2.0,0.0002
2025-02-26,159915.SZ,518880.SH,2.0,0.0002
2025-03-06,518880.SH,159915.SZ,2.0,0.0002
2025-03-13,159915.SZ,510300.SH,2.0,0.0002
2025-03-20,510300.SH,518880.SH,2.0,0.0002
2025-05-09,518880.SH,159915.SZ,2.0,0.0002
2025-05-16,159915.SZ,513100.SH,2.0,0.0002
2025-06-13,513100.SH,518880.SH,2.0,0.0002
2025-06-20,518880.SH,513100.SH,2.0,0.0002
2025-06-27,513100.SH,159915.SZ,2.0,0.0002
2025-07-07,159915.SZ,513100.SH,2.0,0.0002
2025-07-14,513100.SH,159915.SZ,2.0,0.0002
2025-09-23,159915.SZ,518880.SH,2.0,0.0002
2025-09-30,518880.SH,513100.SH,2.0,0.0002
2025-10-15,513100.SH,518880.SH,2.0,0.0002
2025-10-28,518880.SH,513100.SH,2.0,0.0002
2025-11-18,513100.SH,159915.SZ,2.0,0.0002
2025-11-25,159915.SZ,518880.SH,2.0,0.0002
2025-12-10,518880.SH,159915.SZ,2.0,0.0002
2025-12-17,159915.SZ,518880.SH,2.0,0.0002
2025-12-31,518880.SH,159915.SZ,2.0,0.0002
2026-01-09,159915.SZ,518880.SH,2.0,0.0002
2026-01-16,518880.SH,159915.SZ,2.0,0.0002
2026-01-23,159915.SZ,518880.SH,2.0,0.0002
2026-03-06,518880.SH,510300.SH,2.0,0.0002
2026-03-13,510300.SH,518880.SH,2.0,0.0002
2026-03-20,518880.SH,159915.SZ,2.0,0.0002
2026-04-08,159915.SZ,513100.SH,2.0,0.0002
2026-04-15,513100.SH,159915.SZ,2.0,0.0002
2026-04-27,159915.SZ,513100.SH,2.0,0.0002
2026-05-08,513100.SH,159915.SZ,2.0,0.0002
2026-05-15,159915.SZ,513100.SH,2.0,0.0002
