tau,from_asset,away_asset,away_entry_date,return_entry_date,away_holding_days,whipsaw_pnl
0.0,513100.SH,159915.SZ,2021-02-10,2021-02-24,5,-0.0681930548272357
0.0,513100.SH,510300.SH,2021-03-04,2021-03-11,5,-0.09774991236007358
0.0,513100.SH,518880.SH,2021-03-19,2021-03-29,6,-0.0280746861465192
0.0,159915.SZ,518880.SH,2021-05-10,2021-05-17,5,0.004183608957996299
0.0,518880.SH,159915.SZ,2021-05-17,2021-05-24,5,0.03403859625747985
0.0,159915.SZ,518880.SH,2021-05-24,2021-05-31,5,-0.010241091936550317
0.0,159915.SZ,513100.SH,2021-06-16,2021-07-22,26,0.061265372030582466
0.0,159915.SZ,518880.SH,2021-07-29,2021-08-05,5,0.0170979158913398
0.0,513100.SH,510300.SH,2021-08-25,2021-09-01,5,-0.01770936432347303
0.0,159915.SZ,513100.SH,2021-11-03,2021-11-26,17,0.024981352880642405
0.0,518880.SH,513100.SH,2022-03-23,2022-04-18,16,-0.05669771570143112
0.0,159915.SZ,510300.SH,2022-05-31,2022-06-08,5,0.03880166239068905
0.0,518880.SH,510300.SH,2022-09-01,2022-09-08,5,-0.008437217887346415
0.0,518880.SH,159915.SZ,2022-11-04,2022-11-11,5,-0.008427830931458824
0.0,518880.SH,510300.SH,2022-11-28,2022-12-05,5,0.04642604427611374
0.0,510300.SH,518880.SH,2022-12-05,2022-12-12,5,-0.000978880738200738
0.0,518880.SH,510300.SH,2022-12-12,2022-12-22,8,-0.035563738758464636
0.0,518880.SH,513100.SH,2023-03-31,2023-04-10,5,0.005294556763454583
0.0,513100.SH,518880.SH,2023-05-05,2023-05-12,5,-0.00843262594494587
0.0,518880.SH,513100.SH,2023-05-12,2023-07-24,49,0.18709627213853075
0.0,518880.SH,510300.SH,2023-07-31,2023-08-14,10,-0.03590376766141434
0.0,510300.SH,518880.SH,2023-08-14,2023-08-21,5,-0.0066997634645985515
0.0,518880.SH,510300.SH,2023-08-21,2023-08-28,5,-0.015329026499637188
0.0,518880.SH,513100.SH,2023-09-18,2023-09-25,5,-0.029304908027305343
0.0,513100.SH,518880.SH,2023-09-25,2023-10-11,6,-0.04825679899644175
0.0,518880.SH,513100.SH,2023-10-11,2023-10-19,6,-0.0010730846099344937
0.0,513100.SH,518880.SH,2023-10-19,2023-11-14,18,-0.011572672100288228
0.0,513100.SH,159915.SZ,2023-11-21,2023-11-28,5,-0.024841793625575037
0.0,513100.SH,518880.SH,2023-12-08,2023-12-15,5,0.016488167217194816
0.0,518880.SH,513100.SH,2023-12-15,2024-01-11,18,0.011445663645442083
0.0,513100.SH,518880.SH,2024-01-11,2024-01-22,7,0.012123395234760359
0.0,518880.SH,510300.SH,2024-07-22,2024-07-29,5,-0.03349617031687491
0.0,518880.SH,513100.SH,2024-09-02,2024-09-09,5,-0.043035851605981446
0.0,518880.SH,159915.SZ,2024-09-26,2024-11-04,22,0.3035316679884277
0.0,159915.SZ,518880.SH,2024-11-04,2024-11-11,5,-0.020407749973215816
0.0,513100.SH,518880.SH,2024-12-13,2024-12-20,5,-0.022576362664889826
0.0,518880.SH,513100.SH,2024-12-20,2025-01-13,15,0.004600927196342308
0.0,518880.SH,159915.SZ,2025-02-18,2025-02-26,6,0.009450262304724788
0.0,159915.SZ,518880.SH,2025-02-26,2025-03-06,6,-0.001578496122846329
0.0,513100.SH,518880.SH,2025-06-13,2025-06-20,5,-0.031877858232109646
0.0,513100.SH,159915.SZ,2025-06-27,2025-07-07,6,0.021213939839886065
0.0,159915.SZ,513100.SH,2025-07-07,2025-07-14,5,-0.0034815181271157236
0.0,518880.SH,513100.SH,2025-09-30,2025-10-15,5,0.012144984654963054
0.0,513100.SH,518880.SH,2025-10-15,2025-10-28,9,-0.01823811189763258
0.0,159915.SZ,518880.SH,2025-11-25,2025-12-10,11,0.020907248496968567
0.0,518880.SH,159915.SZ,2025-12-10,2025-12-17,5,-0.032216083478991075
0.0,159915.SZ,518880.SH,2025-12-17,2025-12-31,10,0.007427924052184842
0.0,518880.SH,159915.SZ,2025-12-31,2026-01-09,5,0.01700596602327553
0.0,159915.SZ,518880.SH,2026-01-09,2026-01-16,5,0.027976070674886167
0.0,518880.SH,159915.SZ,2026-01-16,2026-01-23,5,-0.021598352266301357
0.0,518880.SH,510300.SH,2026-03-06,2026-03-13,5,-0.0005582033181827928
0.0,159915.SZ,513100.SH,2026-04-08,2026-04-15,5,0.04906096741265342
0.0,513100.SH,159915.SZ,2026-04-15,2026-04-27,8,0.04086278824039247
0.0,159915.SZ,513100.SH,2026-04-27,2026-05-08,6,0.06577551827367611
0.0,513100.SH,159915.SZ,2026-05-08,2026-05-15,5,0.036621516042770086
0.0005,518880.SH,510300.SH,2014-03-27,2014-04-29,22,-0.017020840107938362
0.0005,513100.SH,159915.SZ,2014-06-16,2014-06-23,5,-0.030288066372988198
0.0005,513100.SH,518880.SH,2014-06-30,2014-07-08,6,-0.006653149368081479
0.0005,159915.SZ,513100.SH,2014-09-04,2014-09-12,5,-0.010440314693142438
0.0005,159915.SZ,510300.SH,2014-09-22,2014-09-29,5,0.0007735149035270616
0.0005,510300.SH,159915.SZ,2014-09-29,2014-10-17,9,0.006188453377008241
0.0005,510300.SH,518880.SH,2014-10-24,2014-10-31,5,-0.01580944760131875
0.0005,510300.SH,513100.SH,2014-11-07,2014-11-24,11,0.015672120145324042
0.0005,159915.SZ,513100.SH,2015-02-26,2015-03-05,5,0.011512733791386509
0.0005,159915.SZ,510300.SH,2015-03-31,2015-04-08,5,0.021612430896046364
0.0005,510300.SH,159915.SZ,2015-04-08,2015-04-15,5,0.0025697387713996545
0.0005,159915.SZ,510300.SH,2015-04-15,2015-05-07,15,0.0250782916952077
0.0005,510300.SH,159915.SZ,2015-05-07,2015-06-09,23,0.2962417286384209
0.0005,513100.SH,518880.SH,2015-07-07,2015-07-15,6,-0.0025940251222559274
0.0005,513100.SH,159915.SZ,2015-08-05,2015-08-12,5,0.06031303799404286
0.0005,513100.SH,518880.SH,2015-08-19,2015-09-23,23,0.008795607073465161
0.0005,513100.SH,159915.SZ,2015-09-30,2015-11-04,20,0.16555542963860836
0.0005,159915.SZ,513100.SH,2015-11-04,2015-11-11,5,-0.002600862722398456
0.0005,510300.SH,513100.SH,2015-12-10,2015-12-22,8,-0.01068788416337485
0.0005,513100.SH,518880.SH,2016-04-27,2016-05-27,21,-0.008253759129005278
0.0005,513100.SH,159915.SZ,2016-06-07,2016-06-16,5,-0.022538793269012758
0.0005,159915.SZ,513100.SH,2016-06-16,2016-06-24,6,-0.00571703906368759
0.0005,159915.SZ,513100.SH,2016-09-20,2016-10-11,10,0.005847269910087771
0.0005,513100.SH,159915.SZ,2016-10-11,2016-10-18,5,-0.013942344961167086
0.0005,510300.SH,518880.SH,2016-11-08,2016-11-15,5,-0.032407619926065445
0.0005,513100.SH,518880.SH,2017-01-16,2017-02-03,9,-0.008867606161478858
0.0005,518880.SH,513100.SH,2017-02-03,2017-03-23,34,0.07526980137505768
0.0005,513100.SH,518880.SH,2017-03-23,2017-03-30,5,0.009205429413716937
0.0005,518880.SH,513100.SH,2017-03-30,2017-04-10,5,-0.02198402474452732
0.0005,513100.SH,518880.SH,2017-04-10,2017-04-26,12,0.003169115223574215
0.0005,513100.SH,510300.SH,2017-06-02,2017-07-27,39,0.08228898295974219
0.0005,159915.SZ,510300.SH,2017-09-13,2017-09-20,5,-0.00485502773356139
0.0005,513100.SH,510300.SH,2017-10-25,2017-11-01,5,0.011027268847335847
0.0005,510300.SH,513100.SH,2017-11-01,2017-11-14,9,0.008273985236455283
0.0005,513100.SH,510300.SH,2017-11-14,2017-11-24,8,-0.010435578244259558
0.0005,510300.SH,513100.SH,2017-11-24,2018-01-03,27,0.0005472323874984308
0.0005,510300.SH,518880.SH,2018-01-10,2018-01-17,5,0.01751603412430347
0.0005,159915.SZ,513100.SH,2018-02-28,2018-03-08,6,-0.0064761540014621755
0.0005,159915.SZ,518880.SH,2018-04-11,2018-04-25,10,-0.003586220056379763
0.0005,513100.SH,510300.SH,2018-05-21,2018-05-28,5,-0.028397741509058272
0.0005,513100.SH,159915.SZ,2018-07-20,2018-07-27,5,0.01151704476539539
0.0005,513100.SH,510300.SH,2018-09-04,2018-09-11,5,-0.02325187491055103
0.0005,518880.SH,510300.SH,2018-10-08,2018-10-15,5,-0.048203132722483
0.0005,518880.SH,159915.SZ,2018-11-09,2018-12-03,16,0.005429900915574937
0.0005,513100.SH,510300.SH,2019-04-09,2019-04-16,5,-0.01715278540990517
0.0005,510300.SH,513100.SH,2019-04-16,2019-04-23,5,-0.0005239338152681627
0.0005,513100.SH,510300.SH,2019-04-23,2019-04-30,5,-0.023917360083886785
0.0005,518880.SH,510300.SH,2019-07-02,2019-07-10,6,-0.027842242118939264
0.0005,159915.SZ,518880.SH,2019-08-09,2019-09-03,17,0.031019219410137966
0.0005,159915.SZ,513100.SH,2019-09-27,2019-10-11,5,-0.008352930408893733
0.0005,513100.SH,159915.SZ,2019-10-11,2019-10-18,5,-8.370018347747532e-05
0.0005,159915.SZ,513100.SH,2019-10-18,2019-11-06,13,0.03297062714244192
0.0005,513100.SH,159915.SZ,2019-11-06,2019-11-13,5,-0.02697068330473129
0.0005,159915.SZ,513100.SH,2019-11-13,2019-12-11,20,0.023278089278697234
0.0005,513100.SH,159915.SZ,2019-12-11,2019-12-24,9,0.0005642377733905413
0.0005,159915.SZ,513100.SH,2019-12-24,2019-12-31,5,0.015126410882372765
0.0005,513100.SH,159915.SZ,2020-01-23,2020-02-07,5,0.0127511016166999
0.0005,159915.SZ,513100.SH,2020-02-07,2020-02-20,9,0.022089982306748634
0.0005,159915.SZ,518880.SH,2020-02-27,2020-03-05,5,-0.010438292294171814
0.0005,518880.SH,159915.SZ,2020-03-05,2020-03-12,5,-0.04830173944779359
0.0005,159915.SZ,518880.SH,2020-03-12,2020-04-23,29,0.00012044777028363818
0.0005,159915.SZ,510300.SH,2020-07-07,2020-07-14,5,0.016791197494224752
0.0005,510300.SH,159915.SZ,2020-10-14,2020-10-26,8,-0.06457004408053613
0.0005,159915.SZ,510300.SH,2020-10-26,2020-11-02,5,-0.006559595213789793
0.0005,510300.SH,159915.SZ,2020-11-02,2020-11-09,5,0.026299904194702073
0.0005,159915.SZ,510300.SH,2020-11-09,2020-12-16,27,0.012535599991523094
0.0005,159915.SZ,518880.SH,2020-12-29,2021-01-06,5,0.013000083874271207
0.0005,159915.SZ,510300.SH,2021-01-14,2021-01-21,5,-0.036526385203125566
