asset,entry_date,exit_date,next_entry_date,holding_days,pnl
159915.SZ,2019-02-18,2019-03-26,2019-03-27,27,0.1953783302316534
513100.SH,2019-03-27,2019-04-08,2019-04-09,8,0.03746452447703019
510300.SH,2019-04-09,2019-04-15,2019-04-16,5,-0.01715278540990517
513100.SH,2019-04-16,2019-04-22,2019-04-23,5,-0.0005239338152681627
510300.SH,2019-04-23,2019-04-29,2019-04-30,5,-0.023917360083886785
513100.SH,2019-04-30,2019-05-14,2019-05-15,8,-0.06914330207020614
518880.SH,2019-05-15,2019-07-01,2019-07-02,33,0.07067318507331066
510300.SH,2019-07-02,2019-07-09,2019-07-10,6,-0.027842242118939264
518880.SH,2019-07-10,2019-07-16,2019-07-17,5,0.01491155369064412
513100.SH,2019-07-17,2019-07-29,2019-07-30,9,0.008235422788523072
518880.SH,2019-07-30,2019-09-02,2019-09-03,25,0.1093745041391998
159915.SZ,2019-09-03,2019-09-26,2019-09-27,17,-0.015741500392719265
513100.SH,2019-09-27,2019-10-10,2019-10-11,5,-0.008352930408893733
159915.SZ,2019-10-11,2019-10-17,2019-10-18,5,-8.370018347747532e-05
513100.SH,2019-10-18,2019-11-05,2019-11-06,13,0.03297062714244192
159915.SZ,2019-11-06,2019-11-12,2019-11-13,5,-0.02697068330473129
513100.SH,2019-11-13,2019-12-10,2019-12-11,20,0.023278089278697234
159915.SZ,2019-12-11,2019-12-17,2019-12-18,5,0.04068261235796111
513100.SH,2019-12-18,2019-12-24,2019-12-25,5,0.005070179430501476
159915.SZ,2019-12-25,2020-01-03,2020-01-06,7,0.03841907932511246
513100.SH,2020-01-06,2020-01-13,2020-01-14,6,0.03565405621390538
159915.SZ,2020-01-14,2020-01-23,2020-02-03,8,0.006328321412514937
513100.SH,2020-02-03,2020-02-19,2020-02-20,13,0.037289795312291485
159915.SZ,2020-02-20,2020-02-26,2020-02-27,5,0.036103932250974635
518880.SH,2020-02-27,2020-03-04,2020-03-05,5,-0.010438292294171814
159915.SZ,2020-03-05,2020-03-11,2020-03-12,5,-0.04830173944779359
518880.SH,2020-03-12,2020-04-22,2020-04-23,29,0.00012044777028363818
159915.SZ,2020-04-23,2020-04-29,2020-04-30,5,0.007114294997095705
513100.SH,2020-04-30,2020-05-29,2020-06-01,19,-0.02159980063030187
518880.SH,2020-06-01,2020-06-05,2020-06-08,5,-0.00613957232686746
159915.SZ,2020-06-08,2020-07-06,2020-07-07,19,0.15273830175341163
510300.SH,2020-07-07,2020-07-13,2020-07-14,5,0.016791197494224752
159915.SZ,2020-07-14,2020-07-24,2020-07-27,9,-0.09494919374845001
518880.SH,2020-07-27,2020-08-12,2020-08-13,13,-0.039804148931640415
513100.SH,2020-08-13,2020-09-28,2020-09-29,33,0.12432412986933916
510300.SH,2020-09-29,2020-10-13,2020-10-14,5,0.06338685909878827
159915.SZ,2020-10-14,2020-10-23,2020-10-26,8,-0.06457004408053613
510300.SH,2020-10-26,2020-10-30,2020-11-02,5,-0.006559595213789793
159915.SZ,2020-11-02,2020-11-06,2020-11-09,5,0.026299904194702073
510300.SH,2020-11-09,2020-12-14,2020-12-15,26,0.009505870488257129
159915.SZ,2020-12-15,2020-12-28,2020-12-29,10,0.04233118073495645
518880.SH,2020-12-29,2021-01-05,2021-01-06,5,0.013000083874271207
159915.SZ,2021-01-06,2021-01-13,2021-01-14,6,0.010961374934589596
510300.SH,2021-01-14,2021-01-20,2021-01-21,5,-0.036526385203125566
159915.SZ,2021-01-21,2021-02-02,2021-02-03,9,0.007394178209692903
513100.SH,2021-02-03,2021-02-09,2021-02-10,5,0.0063337609928104666
159915.SZ,2021-02-10,2021-02-23,2021-02-24,5,-0.0681930548272357
513100.SH,2021-02-24,2021-03-03,2021-03-04,6,-0.00464693999577015
510300.SH,2021-03-04,2021-03-10,2021-03-11,5,-0.09774991236007358
513100.SH,2021-03-11,2021-03-18,2021-03-19,6,0.041171397502468565
518880.SH,2021-03-19,2021-03-26,2021-03-29,6,-0.0280746861465192
513100.SH,2021-03-29,2021-04-21,2021-04-22,17,0.06389016940724002
159915.SZ,2021-04-22,2021-05-07,2021-05-10,9,0.0025121806584671447
518880.SH,2021-05-10,2021-05-14,2021-05-17,5,0.004183608957996299
159915.SZ,2021-05-17,2021-05-21,2021-05-24,5,0.03403859625747985
518880.SH,2021-05-24,2021-05-28,2021-05-31,5,-0.010241091936550317
159915.SZ,2021-05-31,2021-06-15,2021-06-16,11,0.01733907697441106
513100.SH,2021-06-16,2021-07-21,2021-07-22,26,0.061265372030582466
159915.SZ,2021-07-22,2021-07-28,2021-07-29,5,-0.0740162656582215
518880.SH,2021-07-29,2021-08-04,2021-08-05,5,0.0170979158913398
159915.SZ,2021-08-05,2021-08-11,2021-08-12,5,-0.0333340946965317
513100.SH,2021-08-12,2021-08-24,2021-08-25,9,0.023980264959267084
510300.SH,2021-08-25,2021-08-31,2021-09-01,5,-0.01770936432347303
513100.SH,2021-09-01,2021-09-07,2021-09-08,5,0.0003898022644337473
518880.SH,2021-09-08,2021-09-14,2021-09-15,5,-0.004518997836877925
510300.SH,2021-09-15,2021-10-11,2021-10-12,12,0.007755342932291853
159915.SZ,2021-10-12,2021-11-02,2021-11-03,16,0.04373155867177303
513100.SH,2021-11-03,2021-11-25,2021-11-26,17,0.024981352880642405
159915.SZ,2021-11-26,2021-12-06,2021-12-07,7,-0.026047635965315008
510300.SH,2021-12-07,2021-12-29,2021-12-30,17,-0.001176226324804186
518880.SH,2021-12-30,2022-03-22,2022-03-23,53,0.06833173768797018
513100.SH,2022-03-23,2022-04-15,2022-04-18,16,-0.05669771570143112
518880.SH,2022-04-18,2022-05-18,2022-05-19,20,-0.03972675868029074
159915.SZ,2022-05-19,2022-05-30,2022-05-31,8,0.013325095081618166
510300.SH,2022-05-31,2022-06-07,2022-06-08,5,0.03880166239068905
159915.SZ,2022-06-08,2022-07-15,2022-07-18,28,0.08251521141548945
513100.SH,2022-07-18,2022-08-24,2022-08-25,28,0.07853389451003356
518880.SH,2022-08-25,2022-08-31,2022-09-01,5,-0.0066394304102629365
510300.SH,2022-09-01,2022-09-07,2022-09-08,5,-0.008437217887346415
518880.SH,2022-09-08,2022-11-03,2022-11-04,35,0.00579368060896801
