tau,date,from_asset,to_asset,traded_weight,cost
0.0025,2014-06-23,159915.SZ,513100.SH,2.0,0.0002
0.0025,2014-06-30,513100.SH,518880.SH,2.0,0.0002
0.0025,2014-07-08,518880.SH,513100.SH,2.0,0.0002
0.0025,2014-07-23,513100.SH,510300.SH,2.0,0.0002
0.0025,2014-08-21,510300.SH,159915.SZ,2.0,0.0002
0.0025,2014-09-04,159915.SZ,513100.SH,2.0,0.0002
0.0025,2014-09-12,513100.SH,159915.SZ,2.0,0.0002
0.0025,2014-11-03,159915.SZ,510300.SH,2.0,0.0002
0.0025,2014-11-10,510300.SH,513100.SH,2.0,0.0002
0.0025,2014-11-24,513100.SH,510300.SH,2.0,0.0002
0.0025,2015-01-20,510300.SH,518880.SH,2.0,0.0002
0.0025,2015-01-28,518880.SH,159915.SZ,2.0,0.0002
0.0025,2015-02-26,159915.SZ,513100.SH,2.0,0.0002
0.0025,2015-03-05,513100.SH,159915.SZ,2.0,0.0002
0.0025,2015-03-31,159915.SZ,510300.SH,2.0,0.0002
0.0025,2015-04-08,510300.SH,159915.SZ,2.0,0.0002
0.0025,2015-04-15,159915.SZ,510300.SH,2.0,0.0002
0.0025,2015-05-07,510300.SH,159915.SZ,2.0,0.0002
0.0025,2015-06-09,159915.SZ,510300.SH,2.0,0.0002
0.0025,2015-06-23,510300.SH,513100.SH,2.0,0.0002
0.0025,2015-07-07,513100.SH,518880.SH,2.0,0.0002
0.0025,2015-07-15,518880.SH,513100.SH,2.0,0.0002
0.0025,2015-08-05,513100.SH,159915.SZ,2.0,0.0002
0.0025,2015-08-12,159915.SZ,513100.SH,2.0,0.0002
0.0025,2015-08-20,513100.SH,518880.SH,2.0,0.0002
0.0025,2015-09-23,518880.SH,513100.SH,2.0,0.0002
0.0025,2015-09-30,513100.SH,159915.SZ,2.0,0.0002
0.0025,2015-11-04,159915.SZ,513100.SH,2.0,0.0002
0.0025,2015-11-11,513100.SH,159915.SZ,2.0,0.0002
