switch_date,from_asset,to_asset,next_switch_date,holding_days,holding_period_return,whipsaw_le_5d_loss
2018-12-03,159915.SZ,518880.SH,2019-01-21,33,0.0633164347619779,False
2019-01-21,518880.SH,510300.SH,2019-01-28,5,0.0010776857364569459,False
2019-01-28,510300.SH,513100.SH,2019-02-12,6,0.023278034860951147,False
2019-02-12,513100.SH,510300.SH,2019-02-19,5,0.04512493442606447,False
2019-02-19,510300.SH,159915.SZ,2019-03-27,26,0.14729074392978836,False
2019-03-27,159915.SZ,513100.SH,2019-04-09,8,0.037669881619887935,False
2019-04-09,513100.SH,510300.SH,2019-04-16,5,-0.01695785930153071,True
2019-04-16,510300.SH,513100.SH,2019-04-23,5,-0.00032378439427449557,True
2019-04-23,513100.SH,510300.SH,2019-04-30,5,-0.023723145620046182,True
2019-04-30,510300.SH,513100.SH,2019-05-15,8,-0.06895634090169889,False
2019-05-15,513100.SH,518880.SH,2019-07-02,33,0.07088654653603887,False
2019-07-02,518880.SH,510300.SH,2019-07-10,6,-0.027649211815909402,False
2019-07-10,510300.SH,518880.SH,2019-07-17,5,0.015114216892982979,False
2019-07-17,518880.SH,513100.SH,2019-07-30,9,0.008437681080689652,False
2019-07-30,513100.SH,518880.SH,2019-09-03,25,0.10959633155036763,False
2019-09-03,518880.SH,159915.SZ,2019-09-27,17,-0.015545763715603456,False
2019-09-27,159915.SZ,513100.SH,2019-10-11,5,-0.008155452300312227,True
2019-10-11,513100.SH,159915.SZ,2019-10-18,5,0.0001149299535088133,False
2019-10-18,159915.SZ,513100.SH,2019-11-06,13,0.033177043147961216,False
2019-11-06,513100.SH,159915.SZ,2019-11-13,5,-0.026773980008027887,True
2019-11-13,159915.SZ,513100.SH,2019-12-11,20,0.023483099298736487,False
2019-12-11,513100.SH,159915.SZ,2019-12-18,5,0.040892896689479485,False
2019-12-18,159915.SZ,513100.SH,2019-12-25,5,0.005273563849403029,False
2019-12-25,513100.SH,159915.SZ,2020-01-02,5,0.018605596084587672,False
2020-01-02,159915.SZ,510300.SH,2020-01-09,5,0.006047196812391409,False
2020-01-09,510300.SH,518880.SH,2020-01-16,5,-0.00498482210489426,True
2020-01-16,518880.SH,513100.SH,2020-01-23,5,0.008810589361501364,False
2020-01-23,513100.SH,159915.SZ,2020-02-07,5,0.012959412463974473,False
2020-02-07,159915.SZ,513100.SH,2020-02-20,9,0.022294835366872823,False
2020-02-20,513100.SH,159915.SZ,2020-02-27,5,0.03630364721534507,False
2020-02-27,159915.SZ,518880.SH,2020-03-05,5,-0.010241399407826646,True
2020-03-05,518880.SH,159915.SZ,2020-03-12,5,-0.04811088607674219,True
2020-03-12,159915.SZ,518880.SH,2020-04-23,29,0.0003241063068681882,False
2020-04-23,518880.SH,159915.SZ,2020-04-30,5,0.007314397508628279,False
2020-04-30,159915.SZ,513100.SH,2020-06-01,19,-0.02140017526235949,False
2020-06-01,513100.SH,518880.SH,2020-06-08,5,-0.005943577461655858,True
2020-06-08,518880.SH,159915.SZ,2020-07-07,19,0.1529746741605511,False
2020-07-07,159915.SZ,510300.SH,2020-07-14,5,0.01699748972395443,False
2020-07-14,510300.SH,159915.SZ,2020-07-27,9,-0.09476581825152175,False
2020-07-27,159915.SZ,518880.SH,2020-08-13,13,-0.03961433213411503,False
2020-08-13,518880.SH,513100.SH,2020-09-29,33,0.12454651609320089,False
2020-09-29,513100.SH,510300.SH,2020-10-14,5,0.0635972882833371,False
2020-10-14,510300.SH,159915.SZ,2020-10-26,8,-0.06438143838338484,False
2020-10-26,159915.SZ,510300.SH,2020-11-02,5,-0.006359300476947327,True
2020-11-02,510300.SH,159915.SZ,2020-11-09,5,0.026501432662413116,False
2020-11-09,159915.SZ,510300.SH,2020-12-15,26,0.009703889505690233,False
2020-12-15,510300.SH,159915.SZ,2020-12-29,10,0.042537030003797716,False
2020-12-29,159915.SZ,518880.SH,2021-01-06,5,0.01320441017085705,False
2021-01-06,518880.SH,159915.SZ,2021-01-14,6,0.011162840136054841,False
2021-01-14,159915.SZ,510300.SH,2021-01-21,5,-0.023548310036705655,True
2021-01-21,510300.SH,159915.SZ,2021-02-02,8,-0.012444949680572526,False
2021-02-02,159915.SZ,510300.SH,2021-02-09,5,0.02673513842468256,False
2021-02-09,510300.SH,513100.SH,2021-03-01,9,-0.06307883595843877,False
2021-03-01,513100.SH,510300.SH,2021-03-09,6,-0.04193003715118082,False
2021-03-09,510300.SH,513100.SH,2021-03-16,5,0.04023618240613369,False
2021-03-16,513100.SH,518880.SH,2021-03-24,6,0.016225699289879048,False
2021-03-24,518880.SH,513100.SH,2021-03-31,5,-0.008455040656824786,True
2021-03-31,513100.SH,518880.SH,2021-04-08,5,0.032180138392362334,False
2021-04-08,518880.SH,513100.SH,2021-04-22,10,0.0037368173118703663,False
2021-04-22,513100.SH,159915.SZ,2021-05-10,9,0.002710911712397346,False
2021-05-10,159915.SZ,518880.SH,2021-05-17,5,0.004384091531722811,False
2021-05-17,518880.SH,159915.SZ,2021-05-24,5,0.03423892881484614,False
2021-05-24,159915.SZ,518880.SH,2021-05-31,5,-0.010042554841461548,True
2021-05-31,518880.SH,159915.SZ,2021-06-16,11,0.017536573062048033,False
2021-06-16,159915.SZ,513100.SH,2021-07-22,26,0.06147797250853149,False
2021-07-22,513100.SH,159915.SZ,2021-07-29,5,-0.07383109986415537,True
2021-07-29,159915.SZ,518880.SH,2021-08-05,5,0.017296891080120558,False
2021-08-05,518880.SH,159915.SZ,2021-08-12,5,-0.03313953488372101,True
2021-08-12,159915.SZ,513100.SH,2021-08-25,9,0.02418551335670327,False
2021-08-25,513100.SH,510300.SH,2021-09-01,5,-0.017513065791990412,True
2021-09-01,510300.SH,513100.SH,2021-09-08,5,0.0005898022644337253,False
2021-09-08,513100.SH,518880.SH,2021-09-15,5,-0.004319381083524476,True
2021-09-15,518880.SH,510300.SH,2021-10-12,12,0.007957769625921651,False
2021-10-12,510300.SH,159915.SZ,2021-11-03,16,0.04394378746861727,False
2021-11-03,159915.SZ,513100.SH,2021-11-26,17,0.025187151087775472,False
2021-11-26,513100.SH,159915.SZ,2021-12-07,7,-0.025851797677562405,False
2021-12-07,159915.SZ,510300.SH,2021-12-30,17,-0.0009779056530735408,False
2021-12-30,510300.SH,518880.SH,2022-03-23,53,0.06854615809839659,False
2022-03-23,518880.SH,513100.SH,2022-04-18,16,-0.056508186905618873,False
2022-04-18,513100.SH,518880.SH,2022-05-19,20,-0.03953336316730871,False
2022-05-19,518880.SH,159915.SZ,2022-05-31,8,0.013522493173552252,False
2022-05-31,159915.SZ,510300.SH,2022-06-08,5,0.03900621118012437,False
2022-06-08,510300.SH,159915.SZ,2022-07-18,28,0.08273012721340467,False
2022-07-18,159915.SZ,513100.SH,2022-08-25,28,0.0787474498013534,False
2022-08-25,513100.SH,518880.SH,2022-09-01,5,-0.006441484663620822,True
2022-09-01,518880.SH,510300.SH,2022-09-08,5,-0.00823663351919468,True
2022-09-08,510300.SH,518880.SH,2022-11-04,35,0.005994472165696152,False
2022-11-04,518880.SH,159915.SZ,2022-11-11,5,-0.008235804074555708,True
2022-11-11,159915.SZ,518880.SH,2022-11-28,11,0.04420347065557051,False
2022-11-28,518880.SH,510300.SH,2022-12-05,5,0.04663348098497422,False
2022-12-05,510300.SH,518880.SH,2022-12-12,5,-0.0007796929209419323,True
2022-12-12,518880.SH,510300.SH,2022-12-22,8,-0.03536986425647237,False
2022-12-22,510300.SH,518880.SH,2023-01-13,15,0.013981543277918673,False
2023-01-13,518880.SH,159915.SZ,2023-02-07,12,0.030901299760637713,False
2023-02-07,159915.SZ,513100.SH,2023-03-03,18,-0.02878645976457128,False
2023-03-03,513100.SH,510300.SH,2023-03-10,5,-0.018549038616900937,True
2023-03-10,510300.SH,518880.SH,2023-03-31,15,0.03978763438485511,False
2023-03-31,518880.SH,513100.SH,2023-04-10,5,0.005495878349357053,False
2023-04-10,513100.SH,518880.SH,2023-04-17,5,0.015112764473377949,False
2023-04-17,518880.SH,159915.SZ,2023-04-24,5,-0.05134203007638771,True
2023-04-24,159915.SZ,513100.SH,2023-05-05,6,0.010122062737955906,False
2023-05-05,513100.SH,518880.SH,2023-05-12,5,-0.008233577247324098,True
2023-05-12,518880.SH,513100.SH,2023-07-24,49,0.18733474993979926,False
2023-07-24,513100.SH,518880.SH,2023-07-31,5,-0.013846521635189957,True
2023-07-31,518880.SH,510300.SH,2023-08-14,10,-0.03571032985534206,False
2023-08-14,510300.SH,518880.SH,2023-08-21,5,-0.006499763464598685,True
2023-08-21,518880.SH,510300.SH,2023-08-28,5,-0.015129868604900176,True
2023-08-28,510300.SH,518880.SH,2023-09-18,15,0.08626226315684282,False
2023-09-18,518880.SH,513100.SH,2023-09-25,5,-0.029110601977483164,True
2023-09-25,513100.SH,518880.SH,2023-10-11,6,-0.048066971447871865,False
2023-10-11,518880.SH,513100.SH,2023-10-19,6,-0.0008738001734409639,False
2023-10-19,513100.SH,518880.SH,2023-11-14,18,-0.011373067965693928,False
2023-11-14,518880.SH,513100.SH,2023-11-21,5,0.007041899592525214,False
2023-11-21,513100.SH,159915.SZ,2023-11-28,5,-0.02464728300931429,True
2023-11-28,159915.SZ,513100.SH,2023-12-08,8,-0.013380845633976235,False
2023-12-08,513100.SH,518880.SH,2023-12-15,5,0.01668847216165137,False
2023-12-15,518880.SH,513100.SH,2024-01-11,18,0.011648345958937378,False
2024-01-11,513100.SH,518880.SH,2024-01-22,7,0.012323913481359083,False
2024-01-22,518880.SH,513100.SH,2024-02-23,18,0.02824472710047421,False
2024-02-23,513100.SH,510300.SH,2024-03-05,7,0.02897426843801032,False
2024-03-05,510300.SH,159915.SZ,2024-03-22,13,0.03880254556405083,False
2024-03-22,159915.SZ,518880.SH,2024-05-07,27,0.06118987223579575,False
2024-05-07,518880.SH,510300.SH,2024-05-21,10,0.015316411873532054,False
2024-05-21,510300.SH,513100.SH,2024-07-15,38,0.09155679644278969,False
2024-07-15,513100.SH,518880.SH,2024-07-22,5,0.003717675487166172,False
2024-07-22,518880.SH,510300.SH,2024-07-29,5,-0.03330160296879303,True
