tau,asset,entry_date,exit_date,next_entry_date,holding_days,pnl
0.001,159915.SZ,2020-07-14,2020-07-24,2020-07-27,9,-0.09494919374845001
0.001,518880.SH,2020-07-27,2020-08-12,2020-08-13,13,-0.039804148931640415
0.001,513100.SH,2020-08-13,2020-09-28,2020-09-29,33,0.12432412986933916
0.001,510300.SH,2020-09-29,2020-10-13,2020-10-14,5,0.06338685909878827
0.001,159915.SZ,2020-10-14,2020-10-23,2020-10-26,8,-0.06457004408053613
0.001,510300.SH,2020-10-26,2020-10-30,2020-11-02,5,-0.006559595213789793
0.001,159915.SZ,2020-11-02,2020-11-06,2020-11-09,5,0.026299904194702073
0.001,510300.SH,2020-11-09,2020-12-15,2020-12-16,27,0.012535599991523094
0.001,159915.SZ,2020-12-16,2020-12-29,2020-12-30,10,0.02034911459735067
0.001,518880.SH,2020-12-30,2021-01-06,2021-01-07,5,0.025424347977478945
0.001,159915.SZ,2021-01-07,2021-01-13,2021-01-14,5,-0.001306122189187131
0.001,510300.SH,2021-01-14,2021-01-20,2021-01-21,5,-0.036526385203125566
0.001,159915.SZ,2021-01-21,2021-02-02,2021-02-03,9,0.007394178209692903
0.001,513100.SH,2021-02-03,2021-02-09,2021-02-10,5,0.0063337609928104666
0.001,159915.SZ,2021-02-10,2021-02-23,2021-02-24,5,-0.0681930548272357
0.001,513100.SH,2021-02-24,2021-03-03,2021-03-04,6,-0.00464693999577015
0.001,510300.SH,2021-03-04,2021-03-10,2021-03-11,5,-0.09774991236007358
0.001,513100.SH,2021-03-11,2021-03-18,2021-03-19,6,0.041171397502468565
0.001,518880.SH,2021-03-19,2021-03-26,2021-03-29,6,-0.0280746861465192
0.001,513100.SH,2021-03-29,2021-04-21,2021-04-22,17,0.06389016940724002
0.001,159915.SZ,2021-04-22,2021-05-07,2021-05-10,9,0.0025121806584671447
0.001,518880.SH,2021-05-10,2021-05-14,2021-05-17,5,0.004183608957996299
0.001,159915.SZ,2021-05-17,2021-05-21,2021-05-24,5,0.03403859625747985
0.001,518880.SH,2021-05-24,2021-05-28,2021-05-31,5,-0.010241091936550317
0.001,159915.SZ,2021-05-31,2021-06-15,2021-06-16,11,0.01733907697441106
0.001,513100.SH,2021-06-16,2021-07-21,2021-07-22,26,0.061265372030582466
0.001,159915.SZ,2021-07-22,2021-07-28,2021-07-29,5,-0.0740162656582215
0.001,518880.SH,2021-07-29,2021-08-04,2021-08-05,5,0.0170979158913398
0.001,159915.SZ,2021-08-05,2021-08-11,2021-08-12,5,-0.0333340946965317
0.001,513100.SH,2021-08-12,2021-08-24,2021-08-25,9,0.023980264959267084
0.001,510300.SH,2021-08-25,2021-08-31,2021-09-01,5,-0.01770936432347303
0.001,513100.SH,2021-09-01,2021-09-07,2021-09-08,5,0.0003898022644337473
0.001,518880.SH,2021-09-08,2021-09-14,2021-09-15,5,-0.004518997836877925
0.001,510300.SH,2021-09-15,2021-10-14,2021-10-15,15,0.00312429939833736
0.001,159915.SZ,2021-10-15,2021-11-02,2021-11-03,13,0.03711383229880694
0.001,513100.SH,2021-11-03,2021-11-25,2021-11-26,17,0.024981352880642405
0.001,159915.SZ,2021-11-26,2021-12-06,2021-12-07,7,-0.026047635965315008
0.001,510300.SH,2021-12-07,2021-12-30,2021-12-31,18,0.006073301064773995
0.001,513100.SH,2021-12-31,2022-01-07,2022-01-10,5,-0.028664393769573193
0.001,518880.SH,2022-01-10,2022-03-22,2022-03-23,47,0.05752845904133963
0.001,513100.SH,2022-03-23,2022-04-15,2022-04-18,16,-0.05669771570143112
0.001,518880.SH,2022-04-18,2022-05-20,2022-05-23,22,-0.030714809595955628
0.001,159915.SZ,2022-05-23,2022-05-30,2022-05-31,6,-0.02969522718652229
0.001,510300.SH,2022-05-31,2022-06-07,2022-06-08,5,0.03880166239068905
0.001,159915.SZ,2022-06-08,2022-07-15,2022-07-18,28,0.08251521141548945
0.001,513100.SH,2022-07-18,2022-09-01,2022-09-02,34,0.025688135758985098
0.001,518880.SH,2022-09-02,2022-11-04,2022-11-07,40,0.03315306938037921
0.001,159915.SZ,2022-11-07,2022-11-11,2022-11-14,5,-0.010155663791685643
0.001,518880.SH,2022-11-14,2022-11-25,2022-11-28,10,0.00387501079100816
0.001,510300.SH,2022-11-28,2022-12-02,2022-12-05,5,0.04642604427611374
0.001,518880.SH,2022-12-05,2022-12-09,2022-12-12,5,-0.000978880738200738
0.001,510300.SH,2022-12-12,2023-01-03,2023-01-04,16,-0.021690522567987758
0.001,518880.SH,2023-01-04,2023-01-12,2023-01-13,7,0.004294718923141483
0.001,159915.SZ,2023-01-13,2023-02-06,2023-02-07,12,0.030697079653066783
0.001,513100.SH,2023-02-07,2023-03-02,2023-03-03,18,-0.02898045514563341
0.001,510300.SH,2023-03-03,2023-03-09,2023-03-10,5,-0.018743800983535563
0.001,518880.SH,2023-03-10,2023-03-30,2023-03-31,15,0.03957842483055796
