tau,baseline_entry_date,baseline_next_entry_date,from_asset,target_asset,tau_entry_date,status,delay_trading_days,baseline_window_pnl,tau_window_pnl,missed_pnl,verdict
0.0025,2019-04-30,2019-05-15,510300.SH,513100.SH,,blocked,8,-0.06914330207020614,-0.0675195451314855,-0.001623756938720633,correct_avoided_loss
0.0025,2019-05-15,2019-07-02,513100.SH,518880.SH,2019-05-16,delayed,1,0.07067318507331066,0.08954650347269588,-0.01887331839938522,correct_avoided_loss
0.0025,2019-07-30,2019-09-03,513100.SH,518880.SH,2019-08-09,delayed,8,0.1093745041391998,-0.0061890074214764335,0.11556351156067624,wrong_missed_trend
0.0025,2019-10-11,2019-10-18,513100.SH,159915.SZ,,blocked,5,-8.370018347747532e-05,0.02979780063852444,-0.029881500822001916,correct_avoided_loss
0.0025,2019-10-18,2019-11-06,159915.SZ,513100.SH,,blocked,13,0.03297062714244192,0.030657940062005062,0.0023126870804368593,wrong_missed_trend
0.0025,2019-11-06,2019-11-13,513100.SH,159915.SZ,,blocked,5,-0.02697068330473129,0.00033422459893039935,-0.02730490790366169,correct_avoided_loss
0.0025,2019-11-13,2019-12-11,159915.SZ,513100.SH,,blocked,20,0.023278089278697234,0.025392582692951082,-0.0021144934142538485,correct_avoided_loss
0.0025,2019-12-18,2019-12-25,159915.SZ,513100.SH,,blocked,5,0.005070179430501476,-0.019562715765247374,0.02463289519574885,wrong_missed_trend
0.0025,2019-12-25,2020-01-06,513100.SH,159915.SZ,,blocked,7,0.03841907932511246,0.035211267605633756,0.0032078117194787037,wrong_missed_trend
0.0025,2020-02-20,2020-02-27,513100.SH,159915.SZ,2020-02-21,delayed,1,0.036103932250974635,-0.013209019566903457,0.04931295181787809,wrong_missed_trend
0.0025,2020-02-27,2020-03-05,159915.SZ,518880.SH,2020-02-28,delayed,1,-0.010438292294171814,-0.03985527696278024,0.029416984668608426,wrong_missed_trend
0.0025,2020-03-05,2020-03-12,518880.SH,159915.SZ,,blocked,5,-0.04830173944779359,-0.02030974257218532,-0.02799199687560827,correct_avoided_loss
0.0025,2020-03-12,2020-04-23,159915.SZ,518880.SH,2020-03-13,delayed,1,0.00012044777028363818,0.011013338106439008,-0.01089289033615537,correct_avoided_loss
0.0025,2020-06-08,2020-07-07,518880.SH,159915.SZ,2020-06-16,delayed,6,0.15273830175341163,0.11392116391539076,0.038817137838020876,wrong_missed_trend
0.0025,2020-10-26,2020-11-02,159915.SZ,510300.SH,,blocked,5,-0.006559595213789793,0.01868044515103362,-0.025240040364823413,correct_avoided_loss
0.0025,2020-11-02,2020-11-09,510300.SH,159915.SZ,,blocked,5,0.026299904194702073,0.028872415138509577,-0.0025725109438075044,correct_avoided_loss
0.0025,2020-12-15,2020-12-29,510300.SH,159915.SZ,2020-12-16,delayed,1,0.04233118073495645,0.033958136512098,0.00837304422285845,wrong_missed_trend
0.0025,2020-12-29,2021-01-06,159915.SZ,518880.SH,2020-12-30,delayed,1,0.013000083874271207,0.012124500784512104,0.0008755830897591022,wrong_missed_trend
0.0025,2021-01-06,2021-01-14,518880.SH,159915.SZ,2021-01-07,delayed,1,0.010961374934589596,0.0014963351209962283,0.009465039813593368,wrong_missed_trend
0.0025,2021-02-03,2021-02-10,159915.SZ,513100.SH,2021-02-04,delayed,1,0.0063337609928104666,0.00883530168154123,-0.0025015406887307634,correct_avoided_loss
0.0025,2021-02-10,2021-02-24,513100.SH,159915.SZ,,blocked,5,-0.0681930548272357,-0.026455026455026287,-0.04173802837220941,correct_avoided_loss
0.0025,2021-02-24,2021-03-04,159915.SZ,513100.SH,,blocked,6,-0.00464693999577015,-0.009057971014492905,0.004411031018722755,wrong_missed_trend
0.0025,2021-03-19,2021-03-29,513100.SH,518880.SH,2021-03-22,delayed,1,-0.0280746861465192,-0.03223262953865136,0.004157943392132157,wrong_missed_trend
0.0025,2021-03-29,2021-04-22,518880.SH,513100.SH,2021-04-02,delayed,4,0.06389016940724002,0.02848918520562682,0.035400984201613195,wrong_missed_trend
0.0025,2021-06-16,2021-07-22,159915.SZ,513100.SH,2021-06-17,delayed,1,0.061265372030582466,0.023438561764858923,0.03782681026572354,wrong_missed_trend
0.0025,2021-08-12,2021-08-25,159915.SZ,513100.SH,2021-08-13,delayed,1,0.023980264959267084,0.0020619801887507005,0.021918284770516383,wrong_missed_trend
0.0025,2021-08-25,2021-09-01,513100.SH,510300.SH,,blocked,5,-0.01770936432347303,0.019715010735896987,-0.03742437505937002,correct_avoided_loss
0.0025,2021-09-01,2021-09-08,510300.SH,513100.SH,,blocked,5,0.0003898022644337473,-0.01015109094769362,0.010540893212127367,wrong_missed_trend
0.0025,2021-09-08,2021-09-15,513100.SH,518880.SH,,blocked,5,-0.004518997836877925,-0.018932173681821762,0.014413175844943837,wrong_missed_trend
0.0025,2021-09-15,2021-10-12,518880.SH,510300.SH,2021-09-29,delayed,8,0.007755342932291853,-0.02167892265798821,0.029434265590280062,wrong_missed_trend
0.0025,2021-10-12,2021-11-03,510300.SH,159915.SZ,2021-10-19,delayed,5,0.04373155867177303,0.0017112813613902045,0.042020277310382825,wrong_missed_trend
0.0025,2021-11-26,2021-12-07,513100.SH,159915.SZ,2021-11-30,delayed,2,-0.026047635965315008,-0.03317873026027929,0.00713109429496428,wrong_missed_trend
0.0025,2021-12-07,2021-12-30,159915.SZ,510300.SH,2021-12-08,delayed,1,-0.001176226324804186,-0.018001215473555154,0.01682498914875097,wrong_missed_trend
0.0025,2021-12-30,2022-03-23,510300.SH,518880.SH,2022-01-04,delayed,2,0.06833173768797018,0.08233362498267272,-0.01400188729470253,correct_avoided_loss
0.0025,2022-05-19,2022-05-31,518880.SH,159915.SZ,2022-05-26,delayed,5,0.013325095081618166,0.02324343143590646,-0.009918336354288293,correct_avoided_loss
0.0025,2022-05-31,2022-06-08,159915.SZ,510300.SH,,blocked,5,0.03880166239068905,0.08875219683655544,-0.04995053444586639,correct_avoided_loss
0.0025,2022-06-08,2022-07-18,510300.SH,159915.SZ,2022-06-20,delayed,8,0.08251521141548945,0.05547579453254392,0.027039416882945533,wrong_missed_trend
0.0025,2022-07-18,2022-08-25,159915.SZ,513100.SH,2022-07-19,delayed,1,0.07853389451003356,0.09715987019066286,-0.018625975680629292,correct_avoided_loss
0.0025,2022-08-25,2022-09-01,513100.SH,518880.SH,,blocked,5,-0.0066394304102629365,-0.02561247216035656,0.018973041750093622,wrong_missed_trend
0.0025,2022-09-01,2022-09-08,518880.SH,510300.SH,,blocked,5,-0.008437217887346415,-0.003571122372863833,-0.004866095514482582,correct_avoided_loss
0.0025,2022-09-08,2022-11-04,510300.SH,518880.SH,,blocked,35,0.00579368060896801,0.012237297153498305,-0.006443616544530295,correct_avoided_loss
0.0025,2022-11-04,2022-11-11,518880.SH,159915.SZ,2022-11-07,delayed,1,-0.008427830931458824,-0.028253805181284508,0.019825974249825684,wrong_missed_trend
0.0025,2022-11-11,2022-11-28,159915.SZ,518880.SH,2022-11-14,delayed,1,0.04400311640455801,0.02230278633874594,0.021700330065812068,wrong_missed_trend
0.0025,2022-12-22,2023-01-13,510300.SH,518880.SH,2023-01-04,delayed,8,0.013779634209845293,0.018741290785379894,-0.004961656575534601,correct_avoided_loss
0.0025,2023-03-03,2023-03-10,513100.SH,510300.SH,2023-03-06,delayed,1,-0.018743800983535563,0.0023531768526940944,-0.021096977836229658,correct_avoided_loss
0.0025,2023-03-10,2023-03-31,510300.SH,518880.SH,2023-03-13,delayed,1,0.03957842483055796,0.020209756645766408,0.01936866818479155,wrong_missed_trend
0.0025,2023-08-14,2023-08-21,510300.SH,518880.SH,,blocked,5,-0.0066997634645985515,-0.024810126582278547,0.018110363117679995,wrong_missed_trend
0.0025,2023-08-21,2023-08-28,518880.SH,510300.SH,,blocked,5,-0.015329026499637188,-0.009319586750516029,-0.006009439749121159,correct_avoided_loss
0.0025,2023-08-28,2023-09-18,510300.SH,518880.SH,,blocked,15,0.0860578586624603,0.022482014388489402,0.0635758442739709,wrong_missed_trend
0.0025,2023-09-18,2023-09-25,518880.SH,513100.SH,,blocked,5,-0.029304908027305343,0.0028583992963941984,-0.03216330732369954,correct_avoided_loss
0.0025,2023-09-25,2023-10-11,513100.SH,518880.SH,,blocked,6,-0.04825679899644175,-0.04670028502521406,-0.001556513971227691,correct_avoided_loss
0.0025,2023-11-14,2023-11-21,518880.SH,513100.SH,2023-11-16,delayed,2,0.00684172476735001,-0.006183073164925945,0.013024797932275956,wrong_missed_trend
0.0025,2023-11-21,2023-11-28,513100.SH,159915.SZ,,blocked,5,-0.024841793625575037,0.005240174672489495,-0.030081968298064532,correct_avoided_loss
0.0025,2023-11-28,2023-12-08,159915.SZ,513100.SH,,blocked,8,-0.013578419290821708,-0.009556907037358786,-0.004021512253462922,correct_avoided_loss
0.0025,2023-12-08,2023-12-15,513100.SH,518880.SH,,blocked,5,0.016488167217194816,0.05614035087719316,-0.03965218365999834,correct_avoided_loss
0.0025,2023-12-15,2024-01-11,518880.SH,513100.SH,,blocked,18,0.011445663645442083,0.004152823920266169,0.007292839725175915,wrong_missed_trend
0.0025,2024-01-11,2024-01-22,513100.SH,518880.SH,2024-01-12,delayed,1,0.012123395234760359,0.008545555765180346,0.003577839469580013,wrong_missed_trend
0.0025,2024-02-27,2024-03-05,513100.SH,510300.SH,2024-02-28,delayed,1,0.026580646565626642,0.01204020512224524,0.014540441443381402,wrong_missed_trend
0.0025,2024-03-05,2024-03-22,510300.SH,159915.SZ,2024-03-06,delayed,1,0.03859512983371305,0.048049085122700674,-0.009453955288987625,correct_avoided_loss
0.0025,2024-05-07,2024-05-21,518880.SH,510300.SH,,blocked,10,0.015114548859833876,-0.00047565969055607393,0.01559020855038995,wrong_missed_trend
0.0025,2024-07-29,2024-09-02,510300.SH,518880.SH,2024-07-30,delayed,1,0.02215678799719467,0.018107155788738227,0.004049632208456444,wrong_missed_trend
0.0025,2024-09-02,2024-09-09,518880.SH,513100.SH,2024-09-03,delayed,1,-0.043035851605981446,-0.04767117039750279,0.004635318791521348,wrong_missed_trend
0.0025,2024-09-09,2024-09-26,513100.SH,518880.SH,2024-09-12,delayed,3,0.028737617752725653,0.06992813440344503,-0.04119051665071938,correct_avoided_loss
0.0025,2025-01-13,2025-02-18,513100.SH,518880.SH,2025-01-14,delayed,1,0.052412047334562395,0.055859313014207324,-0.0034472656796449286,correct_avoided_loss
0.0025,2025-03-13,2025-03-20,159915.SZ,510300.SH,,blocked,5,0.019492580758338596,0.03215512036666568,-0.012662539608327084,correct_avoided_loss
0.0025,2025-03-20,2025-05-09,510300.SH,518880.SH,,blocked,32,0.10784247998976393,0.11132352941176471,-0.0034810494220007815,correct_avoided_loss
0.0025,2025-06-20,2025-06-27,518880.SH,513100.SH,2025-06-25,delayed,3,0.02732927427130205,-0.007518036970785236,0.03484731124208729,wrong_missed_trend
0.0025,2025-06-27,2025-07-07,513100.SH,159915.SZ,2025-07-02,delayed,3,0.021213939839886065,0.011399612022041428,0.009814327817844637,wrong_missed_trend
0.0025,2025-07-07,2025-07-14,159915.SZ,513100.SH,,blocked,5,-0.0034815181271157236,0.024378809188935646,-0.02786032731605137,correct_avoided_loss
0.0025,2025-07-14,2025-09-23,513100.SH,159915.SZ,,blocked,51,0.4074181114534643,0.4105263157894743,-0.003108204336010001,correct_avoided_loss
0.0025,2025-11-18,2025-11-25,513100.SH,159915.SZ,2025-11-20,delayed,2,-0.06654862463862765,-0.07864567507217646,0.012097050433548806,wrong_missed_trend
0.0025,2025-11-25,2025-12-10,159915.SZ,518880.SH,2025-11-27,delayed,2,0.020907248496968567,0.04257452186319899,-0.021667273366230422,correct_avoided_loss
0.0025,2025-12-10,2025-12-17,518880.SH,159915.SZ,2025-12-11,delayed,1,-0.032216083478991075,-0.0297857846120948,-0.0024302988668962744,correct_avoided_loss
0.0025,2025-12-17,2025-12-31,159915.SZ,518880.SH,2025-12-18,delayed,1,0.007427924052184842,0.02969505969789532,-0.02226713564571048,correct_avoided_loss
0.0025,2026-03-06,2026-03-13,518880.SH,510300.SH,,blocked,5,-0.0005582033181827928,0.029018480108163436,-0.02957668342634623,correct_avoided_loss
0.0025,2026-03-13,2026-03-20,510300.SH,518880.SH,,blocked,5,-0.07146087890446562,-0.0015114873035065868,-0.06994939160095903,correct_avoided_loss
0.0025,2026-03-20,2026-04-08,518880.SH,159915.SZ,,blocked,12,-0.07700207724552655,-0.0460187708144113,-0.030983306431115243,correct_avoided_loss
0.0025,2026-04-08,2026-04-15,159915.SZ,513100.SH,,blocked,5,0.04906096741265342,0.12662646778800402,-0.0775655003753506,correct_avoided_loss
0.0025,2026-04-15,2026-04-27,513100.SH,159915.SZ,,blocked,8,0.04086278824039247,0.034929577464788863,0.0059332107756036034,wrong_missed_trend
0.0025,2026-04-27,2026-05-08,159915.SZ,513100.SH,2026-04-28,delayed,1,0.06577551827367611,0.04318591353019796,0.022589604743478153,wrong_missed_trend
0.0025,2026-05-08,2026-05-15,513100.SH,159915.SZ,,blocked,5,0.036621516042770086,0.024829600778967897,0.011791915263802188,wrong_missed_trend
0.0025,2026-05-15,,159915.SZ,513100.SH,,blocked,5,-0.002098719506406943,-0.000950118764845187,-0.001148600741561756,correct_avoided_loss
0.005,2016-03-15,2016-03-25,518880.SH,513100.SH,2016-03-21,delayed,4,-0.012827142046835549,-0.014300195506131819,0.0014730534592962696,wrong_missed_trend
0.005,2016-03-25,2016-04-01,513100.SH,510300.SH,2016-03-28,delayed,1,0.012835582308660554,0.008205397754639021,0.0046301845540215325,wrong_missed_trend
0.005,2016-04-01,2016-04-20,510300.SH,159915.SZ,2016-04-05,delayed,1,0.021576368022071746,0.030680534530175052,-0.009104166508103306,correct_avoided_loss
0.005,2016-04-27,2016-05-26,513100.SH,518880.SH,2016-05-03,delayed,3,-0.01208141733383361,-0.06172146262679046,0.04964004529295685,wrong_missed_trend
0.005,2016-05-26,2016-06-07,518880.SH,513100.SH,2016-05-30,delayed,2,0.014201426875891654,-0.009032937014240572,0.023234363890132226,wrong_missed_trend
0.005,2016-06-16,2016-06-24,159915.SZ,513100.SH,,blocked,6,-0.00571703906368759,-0.023477906207121646,0.017760867143434056,wrong_missed_trend
0.005,2016-06-24,2016-07-01,513100.SH,159915.SZ,,blocked,5,0.04806109199058639,0.0511003356956361,-0.00303924370504971,correct_avoided_loss
0.005,2016-07-01,2016-07-12,159915.SZ,518880.SH,,blocked,7,0.03850480325888439,0.04400283889283152,-0.005498035633947129,correct_avoided_loss
0.005,2016-07-12,2016-07-19,518880.SH,159915.SZ,,blocked,5,0.006761733991597518,-0.029688192170399974,0.03644992616199749,wrong_missed_trend
0.005,2016-07-19,2016-07-26,159915.SZ,510300.SH,,blocked,5,-0.010473853942523648,-0.019337518406272625,0.008863664463748977,wrong_missed_trend
0.005,2016-07-26,2016-08-18,510300.SH,513100.SH,2016-07-27,delayed,1,0.027809637572318247,0.04076895248813717,-0.01295931491581892,correct_avoided_loss
