execution_date,signal_date,trading_day_of_month,turnover,orders,target_512890.SH,target_511260.SH,target_511360.SH,target_511880.SH,tilt_forward_20d,whipsaw_20d
2019-04-01,2019-03-29,1,416326.796,3,0.19999999999999998,0.4571428571428572,0.17142857142857143,0.17142857142857146,0.0027079747446234572,0.26666666666666666
2019-05-06,2019-04-30,1,951143.7817600002,3,0.46666666666666656,0.35555555555555557,0.13333333333333333,0.044444444444444446,-0.005646861283389243,0.15042735042735048
2019-06-03,2019-05-31,1,548468.50896,3,0.5384615384615384,0.20512820512820518,0.15384615384615385,0.10256410256410259,0.006447814438159071,0.3384615384615385
2019-07-01,2019-06-28,1,1229539.21664,3,0.19999999999999998,0.4571428571428572,0.17142857142857143,0.17142857142857146,-0.0032671496736572016,0.0
2019-08-01,2019-07-31,1,1222301.98592,3,0.5384615384615384,0.20512820512820518,0.15384615384615385,0.10256410256410259,-0.005577594239922831,0.0
2019-09-03,2019-09-02,2,1251908.77912,3,0.19999999999999998,0.4571428571428572,0.17142857142857143,0.17142857142857146,-0.0007556216085280105,0.12822299651567945
2019-10-08,2019-09-30,1,471429.32752,3,0.17073170731707313,0.5853658536585366,0.1463414634146341,0.09756097560975609,-0.005949582330271687,0.0
2019-11-11,2019-11-08,7,509827.01039999997,3,0.3043478260869565,0.5217391304347826,0.13043478260869562,0.043478260869565216,0.0010411943237910693,0.28644501278772383
2019-12-02,2019-11-29,1,1090092.48208,3,0.4117647058823529,0.23529411764705885,0.17647058823529413,0.17647058823529416,0.0010295358012243003,0.2218487394957983
2020-01-02,2019-12-31,1,869487.7,2,0.19999999999999998,0.4571428571428572,0.17142857142857143,0.17142857142857146,0.014600568043572827,0.3384615384615385
2020-02-03,2020-01-23,1,1360988.59496,3,0.5384615384615384,0.20512820512820518,0.15384615384615385,0.10256410256410259,-0.009483978131150742,0.0
2020-03-03,2020-03-02,2,1426883.60816,3,0.19999999999999998,0.4571428571428572,0.17142857142857143,0.17142857142857146,0.011594816508332903,0.3384615384615385
2020-04-01,2020-03-31,1,1416225.2523999999,3,0.5384615384615384,0.20512820512820518,0.15384615384615385,0.10256410256410259,0.0029972136876147953,0.3384615384615385
2020-05-06,2020-04-30,1,1445678.6166,3,0.19999999999999998,0.4571428571428572,0.17142857142857143,0.17142857142857146,-0.002065222654696061,0.12822299651567945
2020-06-01,2020-05-29,1,553226.42864,3,0.17073170731707313,0.5853658536585366,0.1463414634146341,0.09756097560975609,-0.008261228391538299,0.0
2020-07-24,2020-07-23,18,483965.27040000004,2,0.19999999999999998,0.4571428571428572,0.17142857142857143,0.17142857142857146,-0.007326986190951868,0.12822299651567945
2020-08-03,2020-07-31,1,549762.6616,3,0.17073170731707313,0.5853658536585366,0.1463414634146341,0.09756097560975609,-0.010093690016770634,0.0
2020-09-07,2020-09-04,5,583681.26368,3,0.3043478260869565,0.5217391304347826,0.13043478260869562,0.043478260869565216,-0.0003504867021157687,0.16618357487922703
2020-10-09,2020-09-30,1,1326879.47616,4,0.46666666666666656,0.35555555555555557,0.13333333333333333,0.044444444444444446,0.00563850747409036,0.30491803278688523
2020-11-02,2020-10-30,1,735084.7,2,0.3043478260869565,0.5217391304347826,0.13043478260869562,0.043478260869565216,-0.005054782007042353,0.13499298737727913
2020-12-01,2020-11-30,1,714670.2422,4,0.16935483870967738,0.5806451612903226,0.1693548387096774,0.08064516129032258,0.014308082395050868,0.36111111111111105
2021-01-04,2020-12-31,1,1942175.02752,4,0.543103448275862,0.20689655172413796,0.12931034482758622,0.12068965517241383,-0.006829560727460963,0.13302387267904514
2021-02-01,2021-01-29,1,566060.6728,4,0.48461538461538456,0.30769230769230776,0.16153846153846158,0.046153846153846156,0.010872524721753584,0.31888111888111886
