rank,standard,description,trigger_kind,threshold,max_days,min_days,confirmation_days,max_rebalances_per_month,annualized_return,volatility,sharpe,max_drawdown,sortino,calmar,worst_calendar_return,best_calendar_return,final_nav,total_deposits,trades,traded_notional,estimated_transaction_cost,meets_5pct_return_floor,trigger_signals,rebalance_dates,deposit_trade_count,rebalance_trade_count,average_cash_weight
11,max_asset_drift_25,任一ETF绝对偏离达到25个百分点,max_asset_drift,0.25,,0,1,,0.05866230157077568,0.04520436845618081,1.2838377161345451,-0.051945322244180026,1.3846352883277908,1.1293086467925073,0.01217171078195034,0.15227456345258594,5207272.552312699,3280000.0,781,346055832.17463994,173027.91608732,True,158,158,193,588,0.028650348523624632
12,portfolio_drift_20_min10d,组合偏离20%且距上次成交至少10日,portfolio_drift,0.2,,10,1,,0.06268679870901539,0.04853016774363708,1.2772731782288385,-0.04944081722998339,1.3560756314643154,1.2679159087807104,0.020160575333437736,0.19050188745859065,5460954.764036216,3280000.0,598,214149071.52759,107074.53576379501,True,113,113,196,402,0.02876834872472227
13,target_change_20,目标组合相对上次再平衡单边变化达到20%,target_change,0.2,,0,1,,0.056638411260955035,0.044034677748060705,1.2732796995224627,-0.05194910984904233,1.392360863410033,1.0902672139241507,0.011179316732950584,0.14196946875166905,5105451.079268371,3280000.0,908,384592337.8433,192296.16892165,True,260,193,189,719,0.028587523541091835
14,portfolio_drift_15_min10d,组合偏离15%且距上次成交至少10日,portfolio_drift,0.15,,10,1,,0.06000653755051899,0.04665567217914639,1.2725307175006098,-0.04899236436253984,1.3693346806199622,1.224814077281004,0.019052914062120285,0.18472463059239352,5311935.116006609,3280000.0,723,237922286.02681,118961.143013405,True,146,146,208,515,0.02937709310664561
15,target_change_15_confirm02d,目标变化15%连续满足2日,target_change,0.15,,0,2,,0.05703543798989563,0.04446630754721004,1.2697994143011997,-0.0586999314448009,1.3932089815249087,0.9716440306839116,0.005871315578064307,0.17845008821222175,5155219.7533698855,3280000.0,949,346430734.76027,173215.367380135,True,241,208,198,751,0.029285845648192994
16,target_change_25,目标组合相对上次再平衡单边变化达到25%,target_change,0.25,,0,1,,0.056446765437327295,0.04412127655845903,1.2667679344350005,-0.051944602878770785,1.3662896602561725,1.0866723838290522,0.011175924164162687,0.14224598186771464,5091449.727833256,3280000.0,842,362895033.31352997,181447.516656765,True,240,173,195,647,0.028679207411656443
17,portfolio_drift_25,组合单边偏离达到25%,portfolio_drift,0.25,,0,1,,0.056315193144028663,0.04450250690527347,1.2534979996218363,-0.051949013713855186,1.3430509972412332,1.0840473979780099,0.011177614114784573,0.14113671189777421,5083877.143269876,3280000.0,838,361708184.48028994,180854.09224014496,True,172,172,195,643,0.028734829998782473
18,max_asset_drift_15,任一ETF绝对偏离达到15个百分点,max_asset_drift,0.15,,0,1,,0.057690868938037765,0.045641926128594454,1.2518263629880078,-0.05642666828523524,1.3874768784413825,1.022404311493495,0.004103485421419029,0.15372107276312907,5148112.666640623,3280000.0,1456,555726578.11882,277863.28905941,True,339,339,204,1252,0.029246609007740298
19,portfolio_drift_15_min20d,组合偏离15%且距上次成交至少20日,portfolio_drift,0.15,,20,1,,0.05852721173572739,0.04659164110340429,1.244241670101482,-0.04801558199939282,1.3130106736493,1.2189212188757286,0.022139210063465864,0.17280813791039984,5245057.355146285,3280000.0,498,168186000.02745,84093.000013725,True,91,91,177,321,0.028711720023324686
20,target_change_15_min20d,目标变化15%且距上次成交至少20日,target_change,0.15,,20,1,,0.057861553996938264,0.04635870389148427,1.2366882915661748,-0.04801558199939282,1.3018411633115652,1.2050578497136606,0.022139210063465864,0.17278353005518898,5215707.037555844,3280000.0,493,166214337.56833,83107.168784165,True,138,91,175,318,0.028810447877854313
