date,trigger_value,threshold,time_trigger,days_since_rebalance_trade,confirmation_days,execution_month_rebalance_count_before
2021-04-09,0.19016393442622948,0.15,False,5,1,1
2021-04-19,0.19016393442622948,0.15,False,5,1,2
2021-04-27,0.333103448275862,0.15,False,5,1,3
2021-05-10,0.333103448275862,0.15,False,5,1,0
2021-06-17,0.18064516129032254,0.15,False,26,1,0
2021-06-25,0.2806451612903226,0.15,False,5,1,1
2021-07-05,0.19310344827586212,0.15,False,5,1,0
2021-07-19,0.18596059113300484,0.15,False,9,1,1
2021-07-27,0.18596059113300484,0.15,False,5,1,2
2021-08-11,0.19890054972513746,0.15,False,10,1,0
2021-08-19,0.19890054972513746,0.15,False,5,1,1
2021-08-27,0.38326738270209154,0.15,False,5,1,2
2021-09-06,0.19016393442622948,0.15,False,5,1,0
2021-09-14,0.19016393442622948,0.15,False,5,1,1
2021-09-27,0.19800707168113144,0.15,False,6,1,2
2021-10-12,0.19800707168113144,0.15,False,5,1,0
2021-10-20,0.2778688524590164,0.15,False,5,1,1
2021-11-05,0.19310344827586212,0.15,False,11,1,0
2021-11-25,0.333103448275862,0.15,False,13,1,1
2022-01-25,0.15510204081632656,0.15,False,41,1,0
2022-02-09,0.15510204081632656,0.15,False,5,1,0
2022-02-17,0.333103448275862,0.15,False,5,1,1
2022-02-25,0.3073891625615764,0.15,False,5,1,2
2022-03-07,0.17786885245901637,0.15,False,5,1,0
2022-03-15,0.41678243956654626,0.15,False,5,1,1
2022-03-24,0.19661016949152546,0.15,False,6,1,2
2022-04-01,0.2519607843137254,0.15,False,5,1,0
2022-04-25,0.33722109533468553,0.15,False,13,1,1
2022-05-06,0.19890054972513746,0.15,False,5,1,0
2022-05-20,0.19890054972513746,0.15,False,9,1,1
2022-05-30,0.333103448275862,0.15,False,5,1,2
2022-06-13,0.333103448275862,0.15,False,8,1,0
2022-06-21,0.4137931034482758,0.15,False,5,1,1
2022-06-29,0.17571558382553387,0.15,False,5,1,2
2022-07-14,0.22378716744913926,0.15,False,10,1,0
2022-08-12,0.29,0.15,False,20,1,0
2022-08-23,0.15510204081632656,0.15,False,6,1,1
2022-08-31,0.1976790716286515,0.15,False,5,1,0
2022-09-14,0.19800707168113144,0.15,False,8,1,1
2022-09-26,0.2778688524590164,0.15,False,7,1,2
2022-10-28,0.19661016949152546,0.15,False,18,1,0
2022-11-14,0.19661016949152546,0.15,False,10,1,0
2022-11-22,0.2806451612903226,0.15,False,5,1,1
2022-12-14,0.18064516129032254,0.15,False,15,1,0
2022-12-22,0.23999999999999996,0.15,False,5,1,1
2022-12-30,0.19661016949152546,0.15,False,5,1,0
2023-01-16,0.2024072709408008,0.15,False,9,1,1
2023-01-31,0.2843905915894511,0.15,False,5,1,0
2023-02-20,0.19016393442622948,0.15,False,13,1,1
2023-03-02,0.19016393442622948,0.15,False,7,1,0
2023-03-10,0.19016393442622948,0.15,False,5,1,1
2023-03-29,0.333103448275862,0.15,False,12,1,2
2023-04-07,0.333103448275862,0.15,False,5,1,0
2023-04-18,0.19016393442622948,0.15,False,6,1,1
2023-04-26,0.19016393442622948,0.15,False,5,1,2
2023-05-19,0.15510204081632656,0.15,False,13,1,0
2023-05-29,0.18596059113300484,0.15,False,5,1,1
2023-06-20,0.19890054972513746,0.15,False,15,1,0
2023-06-30,0.19890054972513746,0.15,False,5,1,0
