arm,period,asset,name,holding_days,additive_log_excess_vs_B0
D2_median_core_top3,IS,513500.SH,标普500ETF,15,-0.1074972286446016
D2_median_core_top3,IS,515790.SH,光伏ETF,23,-0.1357005840605805
D2_median_core_top3,IS,518880.SH,黄金ETF,504,0.025014357510114965
D2_median_core_top3,IS,588000.SH,科创50ETF,5,-0.06473926767888787
D2_median_core_top3,OOS,159326.SZ,电网设备ETF,17,0.07892172501378653
D2_median_core_top3,OOS,159819.SZ,人工智能ETF,12,0.027788195503818072
D2_median_core_top3,OOS,159870.SZ,化工ETF,5,0.01546093442418301
D2_median_core_top3,OOS,159915.SZ,创业板ETF,40,-0.02273319052824882
D2_median_core_top3,OOS,510300.SH,沪深300ETF,10,-0.011915126177024313
D2_median_core_top3,OOS,512400.SH,有色金属ETF,16,0.007116140586747317
D2_median_core_top3,OOS,512660.SH,军工ETF,15,-0.11133787341127721
D2_median_core_top3,OOS,512690.SH,酒ETF,12,-0.026505842740900724
D2_median_core_top3,OOS,512880.SH,证券ETF,27,0.0015691871781640526
D2_median_core_top3,OOS,513050.SH,中概互联网ETF,43,0.13016580032570005
D2_median_core_top3,OOS,513100.SH,纳指ETF,167,-0.04162991377447968
D2_median_core_top3,OOS,513120.SH,港股创新药ETF,59,-0.5710209752221047
D2_median_core_top3,OOS,513180.SH,恒生科技ETF,15,0.02422687913491414
D2_median_core_top3,OOS,513500.SH,标普500ETF,88,0.10062557458939436
D2_median_core_top3,OOS,515220.SH,煤炭ETF,16,0.057645454599283504
D2_median_core_top3,OOS,515790.SH,光伏ETF,20,-0.089920206395871
D2_median_core_top3,OOS,515880.SH,通信ETF,43,0.20478381971132725
D2_median_core_top3,OOS,518880.SH,黄金ETF,185,0.1174700146144325
D2_median_core_top3,OOS,562500.SH,机器人ETF,5,-0.03983007165401949
D2_median_core_top3,OOS,588000.SH,科创50ETF,20,0.01823463605391997
D2_median_core_top3,OOS,588200.SH,科创芯片ETF,61,-0.031685877191721064
D3_best_core_top2,IS,159915.SZ,创业板ETF,477,-0.027897732096556025
D3_best_core_top2,IS,510300.SH,沪深300ETF,362,0.011980353476807955
D3_best_core_top2,IS,510500.SH,中证500ETF,36,-0.0041672786960525
D3_best_core_top2,IS,512400.SH,有色金属ETF,23,-0.13614832725330023
D3_best_core_top2,IS,512660.SH,军工ETF,56,-0.23046972403904908
D3_best_core_top2,IS,512690.SH,酒ETF,35,-0.02885960180745914
D3_best_core_top2,IS,512880.SH,证券ETF,15,-0.027303300146826533
D3_best_core_top2,IS,513050.SH,中概互联网ETF,5,0.022991435162062302
D3_best_core_top2,IS,513100.SH,纳指ETF,652,-0.05135996350909703
D3_best_core_top2,IS,513180.SH,恒生科技ETF,11,-0.041835670297655836
D3_best_core_top2,IS,513500.SH,标普500ETF,5,-0.06788119573794138
D3_best_core_top2,IS,515790.SH,光伏ETF,10,-0.09440017857774528
D3_best_core_top2,IS,518880.SH,黄金ETF,505,-0.02175807276838433
D3_best_core_top2,OOS,159326.SZ,电网设备ETF,20,0.08709095558546218
D3_best_core_top2,OOS,159819.SZ,人工智能ETF,17,0.011172435307980807
