arm,window_end,baseline_sharpe,candidate_sharpe,candidate_leads
S0_static_current,2021-08-02,1.011576491916176,0.8111592541948989,False
S0_static_current,2021-08-31,0.886501659689627,0.7886885504982843,False
S0_static_current,2021-10-08,0.9203785994180728,0.7784079162750717,False
S0_static_current,2021-11-08,0.975845920808816,0.6963955204723699,False
S0_static_current,2021-12-07,1.007403781856701,0.6406525440023303,False
S0_static_current,2022-01-06,1.0165219885755568,0.5422157946775883,False
S0_static_current,2022-02-11,0.9344293634676825,0.46221446900125673,False
S0_static_current,2022-03-14,1.0331899427258064,0.4974855316625075,False
S0_static_current,2022-04-14,0.6618407436355519,0.2739320091451685,False
S0_static_current,2022-05-18,0.5825589845254928,0.11152614012468186,False
S0_static_current,2022-06-17,0.8122868162425112,0.14838722832295193,False
S0_static_current,2022-07-18,0.8474993673560827,0.12861050144142477,False
S0_static_current,2022-08-16,0.9962028547142852,0.2606051589050668,False
S0_static_current,2022-09-15,0.8152413444364814,0.14439626454499271,False
S0_static_current,2022-10-21,0.733636947001065,-0.019351854779562,False
S0_static_current,2022-11-21,0.8240861722656203,0.0383459266133672,False
S0_static_current,2022-12-20,0.8464569593147835,0.1440239326913495,False
S0_static_current,2023-01-19,0.887578086191214,0.17565663686466357,False
S0_static_current,2023-02-24,0.781488917435759,0.06893526272120742,False
S0_static_current,2023-03-27,0.6823584564810792,0.12720633222197333,False
S0_static_current,2023-04-26,0.9219581761331443,0.24461003230344608,False
S0_static_current,2023-05-30,0.8628110664601772,0.3408091353466356,False
S0_static_current,2023-06-30,1.0011971751145132,0.3579524672912248,False
S0_static_current,2023-07-31,0.9780798185497888,0.35721482598612214,False
S0_static_current,2023-08-29,0.8959753055161255,0.45193745374022376,False
S0_static_current,2023-09-27,0.9729958912836632,0.390788307161447,False
S0_static_current,2023-11-03,0.8281395226249755,0.29776582348982056,False
S0_static_current,2023-12-04,0.83274121435454,0.30906597899783106,False
S0_static_current,2024-01-03,0.7597546167054126,0.14856626619167113,False
S0_static_current,2024-02-01,0.7277464097861504,0.11733518125930864,False
S0_static_current,2024-03-11,0.8304953824181004,0.1333805135609405,False
S0_static_current,2024-04-11,1.1363951952964817,0.23978591028869342,False
S0_static_current,2024-05-15,1.14099061147014,0.3376943644437497,False
S0_static_current,2024-06-14,1.1092458690601288,0.28380128522798903,False
S0_static_current,2024-07-15,1.2168281299766102,0.28658915703180776,False
S0_static_current,2024-08-13,1.0675746244872975,0.2769804977129826,False
S0_static_current,2024-09-11,1.0836255043188774,0.0913919982740138,False
S0_static_current,2024-10-21,1.2193146578607557,0.20185553101890136,False
S0_static_current,2024-11-19,1.114579362995311,0.0940697429948257,False
S0_static_current,2024-12-18,1.1121493190862655,0.12386633004549184,False
S0_static_current,2025-01-17,1.1152991114648558,0.1285460635368956,False
S0_static_current,2025-02-25,1.201853024702203,0.38641862974317315,False
S0_static_current,2025-03-26,1.1967590168913995,0.4622091290646747,False
S0_static_current,2025-04-25,1.224774186372579,0.4991366341098767,False
S0_static_current,2025-05-29,1.29766094738427,0.6044342797460426,False
S0_static_current,2025-06-30,1.3858234098795634,0.7922950778405874,False
S0_static_current,2025-07-29,1.3788506141583177,0.8207345429450529,False
S0_static_current,2025-08-27,1.4709662214567236,1.0848795823679402,False
S0_static_current,2025-09-25,1.4876642529608353,1.0577296707530754,False
S0_static_current,2025-11-03,1.5519390116282097,1.077593604257561,False
S0_static_current,2025-12-02,1.4449353035149481,1.0704413145586367,False
S0_static_current,2025-12-31,1.3490239587874078,1.1532895983461409,False
S0_static_current,2026-02-02,1.2577503116288447,0.9943447170959586,False
S0_static_current,2026-03-11,1.2939889490545178,1.0990861327325512,False
S0_static_current,2026-04-10,1.1693995275983813,0.973701949148233,False
S0_static_current,2026-05-14,1.3277841292856303,1.1603391361801894,False
S0_static_current,2026-06-12,1.3776785943372152,1.137923742775881,False
S0_static_current,2026-07-14,1.247527229359787,0.8171209547650629,False
S0_static_current,2026-08-12,1.2489434477307266,0.8445582783155877,False
D0_size_only,2017-02-09,1.4540269671948867,1.6446315742975288,True
D0_size_only,2017-03-10,1.3810988746224735,1.5748581448359424,True
D0_size_only,2017-04-12,1.3056827022020154,1.4998733185926445,True
D0_size_only,2017-05-12,1.2908910835518335,1.4855576247913156,True
D0_size_only,2017-06-14,1.4254494847049464,1.622111705972948,True
D0_size_only,2017-07-13,1.3928318345356012,1.5809300682283862,True
D0_size_only,2017-08-11,1.4548039238056452,1.5982739721170003,True
D0_size_only,2017-09-11,1.406542605668259,1.5775359137109863,True
D0_size_only,2017-10-17,1.3728024167490775,1.5618077524864464,True
D0_size_only,2017-11-15,1.3645578903168318,1.538256825087949,True
D0_size_only,2017-12-14,1.4227297622514936,1.5497211215886941,True
D0_size_only,2018-01-15,1.2372958520719182,1.3664286905228338,True
D0_size_only,2018-02-13,1.0413149850879846,1.1679776280078051,True
D0_size_only,2018-03-21,1.2067696362290994,1.3397393898333068,True
D0_size_only,2018-04-23,1.02571034652644,1.1559915632713458,True
D0_size_only,2018-05-24,0.960975963098168,0.9413739555460227,False
D0_size_only,2018-06-25,0.8026415163413967,0.8094654986358197,True
D0_size_only,2018-07-24,0.9767902267868361,0.7439137749317698,False
