selector,factor,satellite_weight,satellite_topn,activation,corr_cap,rebalance_days,sharpe_D,delta_D,sharpe_V,delta_V,min_DV_delta,sharpe_DV,sharpe_T_not_used_for_selection,delta_T_not_used_for_selection,full_sharpe,full_annual_return,full_max_drawdown,satellite_days,config_id
MEDIAN_TOP3,QM20,0.4,2,selector_only,0.85,5,1.3354176177157453,-0.10170746662556907,0.9527186258941559,-0.041292940658459454,-0.10170746662556907,1.1621453424324308,1.1801184932897983,-0.08470961841879698,1.1672714314017418,0.28447648651779134,-0.27381253043695786,1277,MEDIAN_TOP3|QM20|w0.40|n2|selector_only|corr0.85|rd5
MEDIAN_TOP3,QM20,0.25,2,selector_only,0.85,5,1.3303706788728726,-0.10675440546844173,0.9573845036292181,-0.036627062923397236,-0.10675440546844173,1.1621503521031005,1.255458614996378,-0.009369496712217318,1.1894921698357486,0.2898003412811352,-0.26764496871164467,1277,MEDIAN_TOP3|QM20|w0.25|n2|selector_only|corr0.85|rd5
MEDIAN_TOP3,QM20,0.25,1,selector_only,0.85,5,1.3303706788728726,-0.10675440546844173,0.9012303330760365,-0.09278123347657885,-0.10675440546844173,1.1367993226369393,1.105722352376905,-0.15910575933169024,1.1271199740330238,0.2736928834695571,-0.26764496871164467,1271,MEDIAN_TOP3|QM20|w0.25|n1|selector_only|corr0.85|rd5
P60_TOP5,ER_FLOOR20,0.25,2,selector_only,0.85,10,1.327433786226015,-0.10969129811529932,0.9747864084249803,-0.019225158127635034,-0.10969129811529932,1.1756557815882234,0.8842458918001721,-0.3805822199084232,1.09368339656074,0.2609484144674743,-0.3027441970320137,1711,P60_TOP5|ER_FLOOR20|w0.25|n2|selector_only|corr0.85|rd10
ALIGN_TOP3,ER_FLOOR20,0.4,2,selector_only,0.85,10,1.320818410601336,-0.11630667373997827,0.9367651187542462,-0.05724644779836918,-0.11630667373997827,1.151526701565951,1.1511052013051233,-0.11372291040347204,1.1487930971143112,0.2956583730758775,-0.2570380375838327,1387,ALIGN_TOP3|ER_FLOOR20|w0.40|n2|selector_only|corr0.85|rd10
ALIGN_TOP3,ER_FLOOR20,0.4,1,selector_only,0.85,10,1.320818410601336,-0.11630667373997827,0.8871116894187906,-0.10689987713382476,-0.11630667373997827,1.1275712977062484,1.4010684066295456,0.13624029492095024,1.209583743693161,0.31102525926904834,-0.2570380375838327,1393,ALIGN_TOP3|ER_FLOOR20|w0.40|n1|selector_only|corr0.85|rd10
P60_TOP5,ER_FLOOR20,0.25,2,selector_only,,10,1.319253395021954,-0.11787168931936032,1.0528240102803257,0.05881244372771033,-0.11787168931936032,1.2044261700692431,0.9155578722847433,-0.34927023942385205,1.122954877305828,0.27117258815042433,-0.3027441970320137,1839,P60_TOP5|ER_FLOOR20|w0.25|n2|selector_only|corrnone|rd10
P60_TOP5,QM20,0.4,2,beat_best,0.85,5,1.5075328847747627,0.0704078004334483,0.8733375991293845,-0.12067396742323089,-0.12067396742323089,1.218901241629015,1.0015429126076258,-0.2632851991009695,1.1540333218934957,0.2856977459410379,-0.24861099414793175,897,P60_TOP5|QM20|w0.40|n2|beat_best|corr0.85|rd5
MEDIAN_TOP3,ER_FLOOR20,0.25,1,selector_only,0.85,10,1.3666760192660192,-0.07044906507529514,0.8710529517188748,-0.1229586148337406,-0.1229586148337406,1.1473032115323651,1.528030068369849,0.26320195666125357,1.2610699890904449,0.3269952545088963,-0.25294075607437894,1341,MEDIAN_TOP3|ER_FLOOR20|w0.25|n1|selector_only|corr0.85|rd10
ALIGN_TOP3,QM20,0.4,2,beat_best,0.85,5,1.5390361009570699,0.10191101661575552,0.86704304409862,-0.12696852245399537,-0.12696852245399537,1.232638955386027,1.3359775362790656,0.07114942457047024,1.2631443177082835,0.32589256061269767,-0.25140292196667735,768,ALIGN_TOP3|QM20|w0.40|n2|beat_best|corr0.85|rd5
MEDIAN_TOP3,QM20,0.4,2,beat_best,0.85,5,1.5390361009570699,0.10191101661575552,0.8659269707532795,-0.12808459579933584,-0.12808459579933584,1.2321084620090035,1.3359775362790656,0.07114942457047024,1.2627770145252057,0.3257845855803725,-0.25140292196667735,768,MEDIAN_TOP3|QM20|w0.40|n2|beat_best|corr0.85|rd5
