weight_510300.SH,weight_159915.SZ,weight_513100.SH,weight_518880.SH,rebalance_days,selection_cost_rate,train_annual_return,train_sharpe,train_max_drawdown,train_annual_return_delta,train_sharpe_delta,dual_improvement_blocks,median_block_annual_return_delta,median_block_sharpe_delta,robust_score,train_joint_improvement,weight_std,block_1_annual_return_delta,block_1_sharpe_delta,block_2_annual_return_delta,block_2_sharpe_delta,block_3_annual_return_delta,block_3_sharpe_delta,block_4_annual_return_delta,block_4_sharpe_delta,eligible,selected_on_train
0.0,0.0,0.6,0.9,1,0.0005,0.1478938142948245,0.6683608994785475,-0.41756915287887864,-0.09114936576324872,-0.33785727218518935,1,-0.08827430145158283,-0.384987560404617,-1.924937802023085,-0.38130920840789045,0.3897114317029974,-0.06776622081492834,-0.18783937044678956,-0.10878238208823732,-0.5821357503624445,-0.20467482236032586,-0.7483690016672844,0.02308340299011391,0.06118107780182336,False,False
0.0,0.0,0.6,0.9,2,0.0005,0.14785688324720203,0.6726860711924136,-0.3596822782901018,-0.0911862968108712,-0.3335321004713232,1,-0.08677943776982583,-0.33294598381330015,-1.7355887553965166,-0.38146370370708077,0.3897114317029974,-0.09570959850567728,-0.25013789317405943,-0.07784927703397437,-0.41575407445254087,-0.20187505386512838,-0.7405146754461155,0.006942294431187879,0.02572190247427364,False,False
0.0,0.0,0.6,0.9,3,0.0005,0.12764164465979277,0.6024019550889774,-0.35550980185384173,-0.11140153539828046,-0.4038162165747594,0,-0.07139378058468998,-0.332266645914743,-1.6613332295737149,-0.46603101318856505,0.3897114317029974,-0.02138557299266708,-0.06713785573156139,-0.08545804849324068,-0.45450825162799163,-0.2690022833556551,-0.9722524074972356,-0.05732951267613928,-0.21002504020149437,False,False
0.0,0.0,0.6,0.9,5,0.0005,0.1810930149476606,0.7987690373665602,-0.2952169391858893,-0.05795016511041262,-0.2074491342971766,1,-0.039860344553365845,-0.1735962883170881,-0.8679814415854404,-0.24242551114126823,0.3897114317029974,-0.02748760376465964,-0.06771512942085134,-0.05223308534207205,-0.27947744721332485,-0.1624510824526788,-0.6046077240856176,0.011371694876412874,0.072521086016467,False,False
0.0,0.0,0.9,0.0,1,0.0005,0.12809339696867572,0.6122189896269872,-0.3703166502449866,-0.11094978308939751,-0.39399918203674966,0,-0.06693600407230405,-0.2810546068515297,-1.4052730342576485,-0.46414117759997725,0.3897114317029974,-0.009592479500603046,-0.14036676369394696,-0.01591374741348317,-0.07847172033374322,-0.2890110159343522,-1.047630322642342,-0.11795826073112492,-0.4217424500091124,False,False
0.0,0.0,0.9,0.0,2,0.0005,0.1039474631989652,0.5232041967008985,-0.3894182266014945,-0.13509571685910804,-0.4830139749628384,0,-0.09613574683611575,-0.4153978494958176,-2.0769892474790876,-0.5651519396047519,0.3897114317029974,-0.05619021270734703,-0.2373691980983028,-0.08210864715337152,-0.44187387283823854,-0.28442978036526845,-1.0279735128537988,-0.11016284651885999,-0.3889218261533966,False,False
0.0,0.0,0.9,0.0,3,0.0005,0.08289892263703402,0.44698125089790064,-0.38625914662103766,-0.1561442574210392,-0.5592369207658362,0,-0.10243231825625149,-0.4685052531533105,-2.342526265766552,-0.6532052384138526,0.3897114317029974,-0.04959836156890729,-0.21802017558043518,-0.12246445358242364,-0.6645743161914581,-0.3501430446026923,-1.3232172216291573,-0.08240018293007934,-0.27243619011516285,False,False
0.0,0.0,0.9,0.0,5,0.0005,-0.002815149909660475,0.11421950528022481,-0.6647827493373704,-0.2418583299677337,-0.891998666383512,0,-0.19475486784529134,-0.896057225286916,-4.48028612643458,-1.0117767422144257,0.3897114317029974,-0.15367756074155214,-0.4551770413074434,-0.18185944102592022,-0.9695653501448847,-0.4106137276700378,-1.586731237137118,-0.20765029466466245,-0.8225491004289474,False,False
0.0,0.0,0.9,0.3,1,0.0005,0.12809339696867572,0.6122189896269872,-0.3703166502449866,-0.11094978308939751,-0.39399918203674966,0,-0.06693600407230405,-0.2810546068515297,-1.4052730342576485,-0.46414117759997725,0.3674234614174767,-0.009592479500603046,-0.14036676369394696,-0.01591374741348317,-0.07847172033374322,-0.2890110159343522,-1.047630322642342,-0.11795826073112492,-0.4217424500091124,False,False
0.0,0.0,0.9,0.3,2,0.0005,0.1039474631989652,0.5232041967008985,-0.3894182266014945,-0.13509571685910804,-0.4830139749628384,0,-0.09613574683611575,-0.4153978494958176,-2.0769892474790876,-0.5651519396047519,0.3674234614174767,-0.05619021270734703,-0.2373691980983028,-0.08210864715337152,-0.44187387283823854,-0.28442978036526845,-1.0279735128537988,-0.11016284651885999,-0.3889218261533966,False,False
