sample,annual_return_delta,sharpe_delta
1039,-0.020791096107711127,-0.07503986577792776
1040,-0.02399311919122682,-0.06263488812890894
1041,0.02305730600048661,0.08764411791420068
1042,-0.012457191652874622,-0.024301684894252107
1043,-0.02958565690755166,-0.12663339205500967
1044,-0.001850209615759768,-0.010059086226165914
1045,0.07296372288823783,0.21899646006322127
1046,0.04560107999963803,0.11535021931860678
1047,0.025742153485971198,0.07141521020277963
1048,-0.029052207370395378,-0.08448256333219306
1049,-0.027602908030497808,-0.10701817655457435
1050,-0.011465947855410663,-0.021223564471069878
1051,-0.0026404030343591955,-0.0016265071881937931
1052,0.09648847079561085,0.27458149728266257
1053,-0.027780328499718454,-0.06942848643311406
1054,-0.024578382788835285,-0.09125811614133883
1055,-0.058416920619876134,-0.1843188325164944
1056,-0.017182717687007854,-0.039262554201905164
1057,-0.02054653865030298,-0.08132972826804341
1058,0.02513551213606169,0.0762089215489713
1059,0.04319911605696869,0.14989240831741368
1060,0.043354195160551834,0.14422748797182094
1061,0.056899424510042707,0.1591321570551958
1062,0.03451527669694254,0.12638900517540164
1063,0.02276390520035476,0.061724061187261814
1064,-0.0222571340471327,-0.06839964299496104
1065,0.018437349321270613,0.06803853487460343
1066,0.05676633121328867,0.14548789362105174
1067,0.03634492666133249,0.12040938894762865
1068,0.019236709239788707,0.06975649751206325
1069,-0.008921939924422695,-0.024386135291390998
1070,0.04976986772110292,0.17063554267408454
1071,0.018419320313258325,0.06834009978890976
1072,0.01964322778682881,0.06742084073136223
1073,0.04648957467007664,0.13249716045307447
1074,-0.05642758407516446,-0.17034851819641483
1075,-0.06800528509028703,-0.1866835446735563
1076,-0.053171388345202075,-0.16918591876561062
1077,0.02990170449814955,0.07365999576795135
1078,0.05547954792468479,0.13749737227612346
1079,-0.016521116885408693,-0.05109101398228899
1080,0.09096621847768716,0.27415609664479734
1081,0.08052481294226621,0.25677630544519103
1082,0.04488089904706927,0.1070963742540374
1083,0.03028646562357351,0.10079915463773914
1084,0.029478931124382157,0.06228418987654449
1085,0.09746559046356196,0.24151893964016002
1086,-0.00403306029299455,-0.020636477177065626
1087,-0.0581890780793779,-0.17866162443019284
1088,0.0014500412373041893,0.00680656625284326
1089,-0.030030918003320917,-0.08973647611039848
1090,0.07398934969413884,0.17779721272579918
