label,weight_510300.SH,weight_159915.SZ,weight_513100.SH,weight_518880.SH,train_days,train_annual_return,train_sharpe,train_max_drawdown,train_total_return,test_days,test_annual_return,test_sharpe,test_max_drawdown,test_total_return,full_days,full_annual_return,full_sharpe,full_max_drawdown,full_total_return,full_annual_turnover,is_selected,dual_improvement_train_and_test
neighbor,0.9,0.0,0.3,0.0,2215,0.2444727860725806,1.0255188394512056,-0.2571917461108689,5.837408802948323,958,0.3884741202646591,1.2493941197389868,-0.28615663312435136,2.4823294045882096,3173,0.28630079382986384,1.0980211648284317,-0.28615663312435113,22.810109725697203,71.39867633154743,False,True
neighbor,0.9,0.0,0.3,0.3,2215,0.2444727860725806,1.0255188394512056,-0.2571917461108689,5.837408802948323,958,0.3884741202646591,1.2493941197389868,-0.28615663312435136,2.4823294045882096,3173,0.28630079382986384,1.0980211648284317,-0.28615663312435113,22.810109725697203,71.39867633154743,False,True
neighbor,0.9,0.0,0.3,0.6,2215,0.18126592635174865,0.7847764663399591,-0.3349740374046084,3.32427308441288,958,0.35260225859030925,1.1603766433079417,-0.30540329141193223,2.152496535610683,3173,0.23057330807735754,0.9087585889811832,-0.3349740374046084,12.632255917646098,95.3835486920895,False,False
neighbor,0.9,0.0,0.6,0.0,2215,0.21047042665267846,0.9062164563916258,-0.2793200792281275,4.359705641503098,958,0.32288495615185475,1.088460168413907,-0.31752892323569637,1.8971887317301643,3173,0.2433651699597228,0.964966769036066,-0.3175289232356959,14.528078789953405,86.6473369051371,False,False
neighbor,0.9,0.0,0.6,0.3,2215,0.21433868132118916,0.9197445225332803,-0.26072479668967885,4.512141071567497,958,0.3458747979619332,1.1474172962779141,-0.3296485537682631,2.093303126944478,3173,0.2526367401502567,0.9940257688517709,-0.3296485537682631,16.050723212838825,94.58934762054837,False,False
neighbor,0.9,0.0,0.6,0.6,2215,0.16928190076865812,0.7458231386470745,-0.2700074501217743,2.9535610228885782,958,0.2861146397725709,0.9933736998965256,-0.31327257220646065,1.6027727469512496,3173,0.20339132917638048,0.826915402242516,-0.3132725722064601,9.29022088378309,109.67916797982981,False,False
neighbor,0.9,0.3,0.0,0.0,2215,0.2439963358767574,1.0219490613257407,-0.2571917461108687,5.814434130850862,958,0.3884741202646591,1.2493941197389868,-0.28615663312435136,2.4823294045882096,3173,0.28595699578241396,1.0957045207383764,-0.286156633124351,22.730104349491526,71.08099590293098,False,True
neighbor,0.9,0.3,0.0,0.3,2215,0.2439963358767574,1.0219490613257407,-0.2571917461108687,5.814434130850862,958,0.3884741202646591,1.2493941197389868,-0.28615663312435136,2.4823294045882096,3173,0.28595699578241396,1.0957045207383764,-0.286156633124351,22.730104349491526,71.08099590293098,False,True
neighbor,0.9,0.3,0.0,0.6,2215,0.1532801190627382,0.696853863713765,-0.3002766705107619,2.502573666447279,958,0.36100458220352416,1.190850883316473,-0.26452204801302925,2.227594060378864,3173,0.21241280158527842,0.8611278045104701,-0.3002766705107619,10.304885961864656,91.25370312007563,False,False
neighbor,0.9,0.3,0.3,0.0,2215,0.247167173437695,1.0322545240418828,-0.2571917461108687,5.968630036992513,958,0.3884741202646591,1.2493941197389868,-0.28615663312435136,2.4823294045882096,3173,0.2882442689669673,1.1024117290341655,-0.28615663312435136,23.26706528751566,71.39867633154743,False,True
neighbor,0.9,0.3,0.3,0.3,2215,0.247167173437695,1.0322545240418828,-0.2571917461108687,5.968630036992513,958,0.3884741202646591,1.2493941197389868,-0.28615663312435136,2.4823294045882096,3173,0.2882442689669673,1.1024117290341655,-0.28615663312435136,23.26706528751566,71.39867633154743,True,True
neighbor,0.9,0.3,0.3,0.6,2215,0.15378942260340955,0.6934999617282644,-0.3349740374046085,2.5161927992258426,958,0.478756267093154,1.469490854261439,-0.25504107542942467,3.424627867995289,3173,0.24355429409937668,0.9513827176831541,-0.3349740374046085,14.557844648699072,103.16671919319256,False,False
neighbor,0.9,0.3,0.6,0.0,2214,0.18633553096172117,0.820342829789178,-0.28498125349509196,3.4871049234841927,958,0.3168284719930041,1.065292913899714,-0.31752892323569615,1.8470868785132932,3172,0.22432151767677078,0.9010704390966311,-0.31752892323569637,11.775177550164218,92.55359394703657,False,False
neighbor,0.9,0.3,0.6,0.3,2214,0.1876583651840249,0.8252854779638101,-0.2784140233019564,3.5312545483002395,958,0.3397130608012311,1.1236293200920568,-0.3296485537682635,2.0398098154718274,3172,0.23166662695445117,0.9243612827216501,-0.32964855376826296,12.774152052324448,100.02143757881463,False,False
neighbor,0.9,0.3,0.6,0.6,2214,0.11352408044021911,0.5534620044295722,-0.2642235652201016,1.5721095358623,958,0.39975089080571635,1.2768133293824744,-0.2550410754294249,2.5910767429314054,3172,0.19317847847572334,0.7954106122040976,-0.2642235652201016,8.236642734507182,121.94829760403532,False,False
neighbor,0.9,0.6,0.0,0.0,2215,0.24234494143363938,1.0235901459948218,-0.2571917461108687,5.735331635061075,958,0.4048200414104297,1.2931269654421522,-0.25504107542942467,2.6407675947685436,3173,0.28931300729118226,1.111870729987051,-0.2571917461108687,23.521777156949767,75.5285219035613,False,True
neighbor,0.9,0.6,0.0,0.3,2215,0.22261629553094298,0.9540276773240761,-0.2571917461108685,4.851308155576746,958,0.3717005141685157,1.2082441697332666,-0.2550410754294248,2.3250885645462365,3173,0.2658346529755471,1.0373643621426982,-0.2571917461108685,18.456117835744358,78.86416640403404,False,False
neighbor,0.9,0.6,0.0,0.6,2215,0.1544055494154113,0.704223797596503,-0.30027667051076234,2.5327311746950363,958,0.3555392459875335,1.1804240200642804,-0.2550410754294249,2.1785984425206415,3173,0.21176558002958967,0.8627819271288377,-0.30027667051076234,10.229133809729777,96.97195083517175,False,False
neighbor,0.9,0.6,0.3,0.0,2215,0.21722276506880478,0.9423102502331584,-0.2571917461108687,4.6282810996179204,958,0.36947780940673325,1.2026761809183475,-0.25504107542942467,2.3046521491072505,3173,0.2613161243603037,1.0278970553104556,-0.2571917461108687,17.599511231632054,81.56445004727387,False,False
neighbor,0.9,0.6,0.3,0.3,2215,0.19789306353757619,0.8727031629995082,-0.2571917461108688,3.8895598441863672,958,0.3371914977946735,1.1186692046013056,-0.25504107542942467,2.018116587993366,3173,0.2383475925109484,0.9536666304787673,-0.2571917461108688,13.757261673725091,84.9000945477466,False,False
neighbor,0.9,0.6,0.3,0.6,2215,0.12009493831437901,0.5797969007504474,-0.398978352620189,1.7097820416906906,958,0.430971050005698,1.3571183501357458,-0.2550410754294248,2.90520875333655,3173,0.20606896821327925,0.8402327648975929,-0.398978352620189,9.582264548844659,114.44437440907657,False,False
neighbor,0.9,0.6,0.6,0.0,2214,0.1628961951864094,0.7462386440424119,-0.2745076643020714,2.7655121825238407,958,0.3286276801545249,1.0993886070712329,-0.2876748066270489,1.9452923105962063,3172,0.21064384885260856,0.864900768987675,-0.28767480662704936,10.090534076643804,97.95586380832283,False,False
neighbor,0.9,0.6,0.6,0.3,2214,0.13343112857042194,0.6390301094947117,-0.2721302660688235,2.0053850581468424,958,0.31984972544968304,1.0743715400070966,-0.30032460008591655,1.8719994809929563,3172,0.1867722076405649,0.7867719757063368,-0.3003246000859169,7.63146432718173,109.39596469104666,False,False
