sample,annual_return_delta,sharpe_delta
667,-0.015239032765664406,-0.04192309153261409
668,0.03852964774256429,0.15533494474856735
669,-0.024852848616141898,-0.09391846590812203
670,0.07962762590168615,0.2208602345197137
671,0.07919682994628552,0.24201571473456562
672,0.1004359226527618,0.30629301090393546
673,0.06459785011471908,0.18424191952647528
674,0.06548139225494176,0.18724397964524675
675,-0.028642247932257225,-0.08289253263374174
676,0.06772037779236717,0.21893217620246097
677,0.23985607958029642,0.6185743610907743
678,-0.021324525875825007,-0.08247180509093832
679,0.007134903637771917,0.02497630186730171
680,-0.012605236792404328,-0.07850514763303318
681,0.1352407522747887,0.38160292356231595
682,0.06241022429440868,0.19176928117652126
683,0.014210195803310066,0.031383910750787614
684,-0.020341782508330075,-0.07887253661460836
685,0.031202212893141734,0.08361139944634643
686,0.09665941627376928,0.2894334123308525
687,0.043025039337409865,0.10305101643404058
688,0.09382606313224318,0.22745257096625182
689,0.018646443341270524,0.027493854015566255
690,0.009876320301304808,0.013540037088503043
691,0.004413032537726513,0.008017388237412826
692,0.07523333893700679,0.21613658181740703
693,0.07065244615848276,0.18938186941918
694,0.07367519931415045,0.17522133949413
695,-0.00842024478641723,-0.031319429585487724
696,0.1377555342872958,0.43097233300656534
697,0.1684876225918832,0.392269595252388
698,0.14015225468304893,0.3409181551973892
699,0.04980835267697237,0.08142201354853618
700,0.10481543640046498,0.29051456672063813
701,-0.04664722464807092,-0.18366873300486863
702,0.02265574874726939,0.07464273008134026
703,-0.03725458986297281,-0.13614423479920834
704,0.08246497860410429,0.21912352387729928
705,0.163379884719125,0.4992204299344356
706,0.06602016285118362,0.13806087695091462
707,0.1396998236391629,0.3405610791107969
708,0.06697471998065163,0.18615133919320093
709,0.07282861733656532,0.21079495036591234
710,0.005376057757128905,0.005433922949140468
711,0.04800873333960709,0.16984022981266844
712,0.1188404670812424,0.26246628736690525
713,0.0586858351995152,0.1662240595258735
714,0.13235321233626762,0.33803779951331014
715,-0.027334632863177832,-0.1035675789583056
716,0.11809243320609353,0.33832476417225366
717,0.12843150809994364,0.31691778753236743
718,0.002545286331280483,-0.006460713137196539
719,0.06496016926645898,0.16325823341457735
720,0.09787271469424996,0.25146656457897465
721,0.011121762190365647,0.028734193055673263
722,0.06355384253076335,0.17465391738213265
723,0.10681287412429641,0.3159666376774337
724,0.15841119183513697,0.5130246447088549
725,-0.01094128121105542,-0.041114243604724376
726,0.1271024520351587,0.39419167432654545
727,0.07600066461057886,0.19428426007424893
728,0.022654593141300694,0.04762890959521049
729,0.03165121298606288,0.07400181691495145
730,0.08002833741000392,0.17320346588420588
731,0.09727836770546605,0.26990027757002255
732,0.02588997894355205,0.06869035826396841
733,0.10273392999233644,0.23576433623797488
734,0.06515452064612881,0.22878394600412733
735,0.09750265926341539,0.23031163515334852
736,0.12844021741530565,0.3883529982556707
737,0.1675028011919346,0.504696529062483
738,0.09566272311615687,0.2496717830170161
739,0.19720590631091373,0.569964991137347
740,-0.022663687560549928,-0.08688208960169963
741,0.13463328791753848,0.36118836976303514
742,0.08798604269630972,0.2176697414428863
743,0.05567574237054407,0.14343925743335628
744,0.05697001576855687,0.12033613695686829
745,0.1629308149199582,0.4354177448859835
