window,history,mechanism,drawdown_direction,rebound_direction,volume_direction,rsi_direction,alpha,rebalance_days,selection_cost_rate,train_annual_return,train_sharpe,train_max_drawdown,current_annual_return_delta,current_sharpe_delta,matched_annual_return_delta,matched_sharpe_delta,current_dual_blocks,matched_dual_blocks,median_current_annual_return_delta,median_current_sharpe_delta,robust_score,current_joint_improvement,block_1_current_annual_delta,block_1_current_sharpe_delta,block_1_matched_annual_delta,block_1_matched_sharpe_delta,block_2_current_annual_delta,block_2_current_sharpe_delta,block_2_matched_annual_delta,block_2_matched_sharpe_delta,block_3_current_annual_delta,block_3_current_sharpe_delta,block_3_matched_annual_delta,block_3_matched_sharpe_delta,block_4_current_annual_delta,block_4_current_sharpe_delta,block_4_matched_annual_delta,block_4_matched_sharpe_delta,current_gate,matched_gate,selected_on_train
10,126,near_high_high_volume_low_rsi,-1,1,1,-1,0.5,1,0.0005,0.1865662768749652,0.8909189328102244,-0.26077643000923145,-0.028986890239097063,-0.11011991272099719,-0.022085694019712943,-0.0838461677642377,1,2,-0.029614780997815338,-0.08242995771278672,-0.5922956199563068,-0.13447675405185924,-0.02756219954373007,-0.07201070901048756,-0.02523680847486376,-0.15001932798200168,-0.10962001511128716,-0.3967163613356137,-0.10167699259593266,-0.38301984368381814,-0.031667362451900605,-0.09284920641508587,0.023865481911272246,0.06773767004651976,0.046164210902567504,0.15922395026759906,0.010460148353734322,0.03865493164151135,False,False,False
10,126,near_high_high_volume_low_rsi,-1,1,1,-1,0.5,2,0.0005,0.1581315451890024,0.7775578173973717,-0.23166749721119229,-0.05742162192505984,-0.22348102813384985,-0.040948235701224744,-0.1539453028165929,2,2,-0.052007194785842925,-0.24262965518521734,-1.2131482759260865,-0.266391919422249,-0.12555137593922594,-0.7024287224475925,-0.08298747669688589,-0.44470929769655354,-0.14641048821908642,-0.5415123664310815,-0.15810883782241136,-0.6224408533101402,0.02153698636754009,0.05625305606064679,0.03714929505988995,0.1051599007913927,0.022014338221650886,0.07602814390727197,0.0379966429042613,0.16134149765656225,False,False,False
10,126,near_high_high_volume_low_rsi,-1,1,1,-1,0.5,3,0.0005,0.10944456564994498,0.5837053590071866,-0.20648298532333675,-0.10610860146411727,-0.417333486524035,-0.06249443161143087,-0.24016115055042897,0,1,-0.10343681561872131,-0.44792782619722893,-2.2396391309861445,-0.4922618530024603,-0.10868867608949562,-0.6123936419255703,-0.0755519348416589,-0.39987543765041234,-0.21824408501412362,-0.8544190766034064,-0.13347773206614688,-0.5610223034490466,-0.098184955147947,-0.2834620104688875,-0.08800276502283877,-0.24821421192186577,-0.0056232682541428325,-0.04750696793530107,0.04179283708414472,0.18316941451247837,False,False,False
10,126,near_high_high_volume_low_rsi,-1,1,1,-1,0.5,5,0.0005,0.17225111203612942,0.8424346196283246,-0.21988831808861642,-0.04330205507793283,-0.15860422590289702,-0.04330205507793283,-0.15860422590289702,0,0,-0.04190603908489765,-0.15364706847935072,-0.838120781697953,-0.2008880484461594,-0.0693763585345617,-0.35944970194211545,-0.0693763585345617,-0.35944970194211545,-0.046927873098356665,-0.14139402099748444,-0.046927873098356665,-0.14139402099748444,-0.01878728743665814,-0.05178244315139602,-0.01878728743665814,-0.05178244315139602,-0.036884205071438636,-0.165900115961217,-0.036884205071438636,-0.165900115961217,False,False,False
10,126,near_high_high_volume_low_rsi,-1,1,1,-1,0.5,10,0.0005,0.22897479045821822,1.0342173721207009,-0.1967281670081953,0.013421623344155975,0.033178526589479285,-0.051935440760709994,-0.17062158413510953,2,0,0.02101546419273692,0.0982112064115141,0.4203092838547384,0.03314409499450786,-0.19113294835425054,-1.0718187559040635,-0.0654558836481769,-0.3248902104456478,-0.007054856783976549,0.0033334838691672086,-0.03777748571427009,-0.1650822738044717,0.24816429252154681,0.6606463673470463,-0.05100062655251647,-0.07642691223868159,0.04908578516945039,0.19308892895386098,-0.047728530708683214,-0.1911948689052525,False,False,False
10,126,near_high_high_volume_low_rsi,-1,1,1,-1,1.0,1,0.0005,0.10735813761344004,0.5818730082790067,-0.26512496816465003,-0.10819502950062221,-0.4191658372522149,-0.10129383328123809,-0.3928920922954554,1,1,-0.12808370135293656,-0.5314760761455167,-2.6573803807275835,-0.5019412655782026,-0.2163331489000212,-1.2688836811372484,-0.2140077578311549,-1.3468923001087625,-0.13702849320289867,-0.506459049717051,-0.12908547068754417,-0.49276253206525544,0.06353972485848347,0.19608095660576919,0.11907256922165632,0.3566678330673748,-0.11913890950297445,-0.5564931025739824,-0.15484297205180764,-0.6770621212000701,False,False,False
10,126,near_high_high_volume_low_rsi,-1,1,1,-1,1.0,2,0.0005,0.13491218467089738,0.6960280055029318,-0.3119588985635613,-0.08064098244316487,-0.3050108400282898,-0.06416759621932977,-0.23547511471103288,1,1,-0.09413070765917453,-0.37007402770088144,-1.8826141531834906,-0.37411179581737636,-0.13038768666995937,-0.6906478259544351,-0.08782378742761932,-0.4329284012033961,-0.08535408041106618,-0.2602591820081146,-0.09705243001439112,-0.34118766888717333,0.005591109328144439,0.013542896682598116,0.021203418020494302,0.06244974141334403,-0.10290733490728288,-0.4798888733936483,-0.08692503022467246,-0.394575519644358,False,False,False
10,126,near_high_high_volume_low_rsi,-1,1,1,-1,1.0,3,0.0005,0.15125468704932077,0.7588134210408201,-0.24930328641216903,-0.06429848006474148,-0.24222542449040152,-0.02068431021205508,-0.06505308851679548,1,3,-0.03324986348449843,-0.10288516950291166,-0.6649972696899686,-0.29829522305611617,-0.19245589563420262,-1.0991115568900807,-0.1593191543863659,-0.8865933526149227,-0.06784269258187225,-0.17711659477437403,0.016923660366104487,0.11628017837998583,0.014293237814900772,0.059386056988198654,0.02447542794000901,0.09463385553522041,0.0013429656128753908,-0.028653744231449285,0.04875907095116294,0.20202263821633015,False,False,False
10,126,near_high_high_volume_low_rsi,-1,1,1,-1,1.0,5,0.0005,0.0839966558863372,0.4951371450313361,-0.35716401421324784,-0.13155651122772505,-0.5059017004998855,-0.13155651122772505,-0.5059017004998855,1,1,-0.1698644692293279,-0.8679412846877832,-4.3397064234389156,-0.6103204744753786,-0.15091391835587853,-0.8299025971820291,-0.15091391835587853,-0.8299025971820291,-0.2815017245426843,-1.157066790307611,-0.2815017245426843,-1.157066790307611,0.13296664447805817,0.4767478366147694,0.13296664447805817,0.4767478366147694,-0.1888150201027773,-0.9059799721935374,-0.1888150201027773,-0.9059799721935374,False,False,False
10,126,near_high_high_volume_low_rsi,-1,1,1,-1,1.0,10,0.0005,0.07987797382020445,0.45234286130018625,-0.30225713207429705,-0.1356751932938578,-0.5486959842310353,-0.20103225739872377,-0.7524960949556241,0,0,-0.09453714577422567,-0.3292061399193258,-1.8907429154845135,-0.6294279741297599,-0.3060365771983812,-1.7238415366331203,-0.18035951249230753,-0.9769129911747048,-0.1255830241412339,-0.4657842197691753,-0.15630565307152744,-0.6341999774428142,-0.06349126740721744,-0.1926280600694763,-0.36265618648128073,-0.9297013396552042,-0.02459313869060975,-0.12091622089915854,-0.12140745456874336,-0.505200018758272,False,False,False
