window,history,alpha,rebalance_days,is_selected,train_annual_return,train_sharpe,train_max_drawdown,train_dual_vs_current,train_dual_vs_matched,test_annual_return,test_sharpe,test_max_drawdown,test_dual_vs_current,test_dual_vs_matched,full_annual_return,full_sharpe,full_max_drawdown,full_dual_vs_current,full_dual_vs_matched
40,252,0.5,10,False,0.1307999838015783,0.6305265362252372,-0.3229559385017896,False,False,0.25415528009630606,1.0497419790434257,-0.30952483860416646,False,False,0.17515524950550754,0.7876371197771308,-0.3229559385017896,False,False
40,252,0.5,15,False,0.12708298106305715,0.6446897322458421,-0.2723550883055347,False,False,0.4322233774232642,1.3522617901881804,-0.26645355896640655,True,False,0.2319506727914713,0.9457672928122796,-0.2723550883055347,False,False
40,504,0.15,5,False,0.21555316711406225,1.0010388455312216,-0.21988831808861653,False,False,0.36230279310713476,1.1876335638834286,-0.2622193265943892,False,False,0.26810167401475793,1.071866708540985,-0.26221932659438696,False,False
40,504,0.15,10,False,0.2809102312189282,1.2048389562558104,-0.19672816700819518,True,False,0.3357798531105145,1.3413876244597558,-0.20416629306278034,False,False,0.3010161639924296,1.256858337911097,-0.2041662930627801,True,False
40,504,0.15,15,False,0.2283876537953038,1.042069370530231,-0.20124021340058307,True,False,0.39378905743882253,1.5486934956266976,-0.1889252634323254,True,False,0.287379342022299,1.2356371396859953,-0.20124021340058307,True,False
40,504,0.25,5,False,0.21826656131207955,1.0035255491610562,-0.21988831808861653,True,True,0.36926579191354714,1.2019701848218818,-0.26221932659438774,True,True,0.2722867623391987,1.0797437663823672,-0.2622193265943885,True,True
40,504,0.25,10,False,0.3104462122179177,1.2825539731009152,-0.19672816700819562,True,True,0.3277728283114989,1.3181818743013447,-0.20416629306277934,False,False,0.3168533443638317,1.2961379788446339,-0.20416629306277978,True,True
40,504,0.25,15,False,0.2538292812028593,1.1181994424004065,-0.20208218817937407,True,True,0.39378905743882253,1.5486934956266976,-0.1889252634323254,True,False,0.30407830921119827,1.2810358212164057,-0.20208218817937407,True,False
40,504,0.35,5,False,0.18573026690831163,0.8730955928446817,-0.21988831808861653,False,False,0.35043160214313485,1.1524094778736889,-0.2622193265943886,False,False,0.24444782110788554,0.986221941412314,-0.26221932659438796,False,False
40,504,0.35,10,False,0.2512395098756759,1.0740750690261287,-0.21053045426593586,True,False,0.33015931885644645,1.3252937436164691,-0.2041662930627799,False,False,0.2800044975663778,1.168108036240699,-0.21053045426593586,True,False
40,504,0.35,15,False,0.1800539898494038,0.8576746121435195,-0.22693670029304003,False,False,0.34892299140658434,1.38441213119475,-0.18892526343232519,False,False,0.24013789210932557,1.0606852805409808,-0.22693670029304003,False,False
40,504,0.5,5,False,0.16433155440608482,0.7777355340569957,-0.25194315880841855,False,False,0.28773091028045994,0.9933704541286588,-0.3033333017484723,False,False,0.2087426617224406,0.8642458016193427,-0.30333330174847273,False,False
40,504,0.5,10,False,0.13154278871552605,0.6436031229072849,-0.3229559385017896,False,False,0.3314012235168715,1.3399678844731775,-0.24670300321464367,False,False,0.2020442837982288,0.9015351503668105,-0.3229559385017896,False,False
40,504,0.5,15,False,0.0966978850481175,0.515727722142148,-0.2620177930492168,False,False,0.3587452601515875,1.4246515826816692,-0.18892526343232496,False,False,0.1875866847052119,0.8565445359087918,-0.2620177930492168,False,False
60,252,0.15,5,False,0.21555316711406225,1.0010388455312216,-0.21988831808861653,False,False,0.36230279310713476,1.1876335638834286,-0.2622193265943892,False,False,0.26810167401475793,1.071866708540985,-0.26221932659438696,False,False
60,252,0.15,10,False,0.2809102312189282,1.2048389562558104,-0.19672816700819518,True,False,0.3357798531105145,1.3413876244597558,-0.20416629306278034,False,False,0.3010161639924296,1.256858337911097,-0.2041662930627801,True,False
60,252,0.15,15,False,0.24885287553169166,1.1173835963977314,-0.20124021340058318,True,False,0.39378905743882253,1.5486934956266976,-0.1889252634323254,True,False,0.30082194728964384,1.2822172295986412,-0.20124021340058318,True,False
60,252,0.25,5,False,0.20781640757516295,0.9623302759716809,-0.25310553752177767,False,False,0.36230279310713476,1.1876335638834286,-0.2622193265943892,False,False,0.2630214279048637,1.0508814192594422,-0.2622193265943883,False,False
60,252,0.25,10,False,0.2985774699495911,1.2434025363280272,-0.22102605493188354,True,True,0.3357798531105145,1.3413876244597558,-0.20416629306278034,False,False,0.31226887717515917,1.280443077218122,-0.22102605493188354,True,True
60,252,0.25,15,False,0.264023400773963,1.166321025745401,-0.20124021340058285,True,True,0.39378905743882253,1.5486934956266976,-0.1889252634323254,True,False,0.3107339903147801,1.3119863920009947,-0.20124021340058285,True,True
60,252,0.35,5,False,0.1758439838569561,0.8296874388110023,-0.21988831808861686,False,False,0.4133230249885733,1.305833039440711,-0.2622193265943886,True,True,0.25903539764183003,1.0285567807630829,-0.2622193265943882,False,False
60,252,0.35,10,False,0.21899721708138742,0.9445588764419062,-0.2621859161057005,False,False,0.34090279304589255,1.3359150459858713,-0.2467030032146439,False,False,0.2629124953296422,1.090385792552422,-0.2621859161057005,False,False
60,252,0.35,15,False,0.1903926910459841,0.8786606578195272,-0.27235508830553434,False,False,0.3569641091361364,1.4585365315241006,-0.18892526343232474,False,False,0.2497124826584538,1.0933866248403212,-0.27235508830553434,False,False
60,252,0.5,5,False,0.15101529943462566,0.7162018564007103,-0.21988831808861653,False,False,0.29764603690770275,1.0139944595586934,-0.3286857280561061,False,False,0.20346240678199057,0.8382714516689204,-0.3286857280561054,False,False
60,252,0.5,10,False,0.17852170827218705,0.8108517070512156,-0.3022571320742976,False,False,0.2786004621295417,1.1213730228405923,-0.3095248386041658,False,False,0.2147626239921614,0.9289777904481533,-0.3095248386041656,False,False
60,252,0.5,15,False,0.14315199604398643,0.6883659840547856,-0.2453968092730784,False,False,0.3582019609269753,1.4031835408963431,-0.18142574773202247,False,False,0.21877218860248138,0.9567727404898588,-0.2453968092730784,False,False
60,504,0.15,5,False,0.21555316711406225,1.0010388455312216,-0.21988831808861653,False,False,0.36230279310713476,1.1876335638834286,-0.2622193265943892,False,False,0.26810167401475793,1.071866708540985,-0.26221932659438696,False,False
60,504,0.15,10,False,0.30284413279919,1.3079568218504902,-0.19672816700819518,True,True,0.3357798531105145,1.3413876244597558,-0.20416629306278034,False,False,0.31497788231144797,1.3204245042539469,-0.20416629306277967,True,True
60,504,0.15,15,False,0.24885287553169166,1.1173835963977314,-0.20124021340058318,True,False,0.39378905743882253,1.5486934956266976,-0.1889252634323254,True,False,0.30082194728964384,1.2822172295986412,-0.20124021340058318,True,False
60,504,0.25,5,False,0.22969232447175947,1.0448486943618813,-0.21988831808861686,True,True,0.38005592184084924,1.2277375686355243,-0.2622193265943884,True,True,0.28351092074654494,1.11382874569949,-0.2622193265943883,True,True
60,504,0.25,10,True,0.33206065166464493,1.386720150053196,-0.1967281670081953,True,True,0.3357798531105145,1.3413876244597558,-0.20416629306278034,False,False,0.33344044725162525,1.3692084766266097,-0.20416629306278034,True,True
60,504,0.25,15,False,0.2531163279541484,1.1231842855753953,-0.20124021340058296,True,True,0.39378905743882253,1.5486934956266976,-0.1889252634323254,True,False,0.30361207588081474,1.2848834336243322,-0.20124021340058296,True,True
60,504,0.35,5,False,0.19099617571235994,0.8956169738612461,-0.2198883180886162,False,False,0.3734333394165801,1.2087763764276203,-0.26221932659438785,True,True,0.25577472659959444,1.02327168360936,-0.2622193265943882,False,False
60,504,0.35,10,False,0.3050947172148868,1.2777994752616566,-0.1967281670081955,True,True,0.3129235411633611,1.2504064295424222,-0.24670300321464367,False,False,0.3079962354300143,1.2671567397595342,-0.246703003214644,True,True
60,504,0.35,15,False,0.22109515444805017,0.9746805232124057,-0.2436567270994623,False,False,0.3880454398287867,1.547855994388851,-0.1889252634323253,True,False,0.2806041226892606,1.1851577412994858,-0.2436567270994623,True,False
60,504,0.5,5,False,0.11105999477368678,0.565544276979548,-0.27545053695559374,False,False,0.29428115728475657,1.0150217144893934,-0.28606085248648194,False,False,0.1759034940955071,0.7524855215817433,-0.2860608524864816,False,False
60,504,0.5,10,False,0.1424221896109059,0.6942710867619523,-0.2706675384156272,False,False,0.25025716321050506,1.0238041297884073,-0.30952483860416624,False,False,0.181363216229679,0.8223145059194412,-0.30952483860416613,False,False
