start,end,baseline_annual_return,selected_annual_return,annual_return_delta,baseline_sharpe,selected_sharpe,sharpe_delta,dual_improvement,benchmark
2018-01-24,2021-03-09,0.21211381130688345,0.42871443952166044,0.216600628214777,0.8596799738117044,1.4567635619044474,0.5970835880927431,True,current_qmom_rd5
2018-03-01,2021-04-08,0.2611745564303187,0.4924200483349912,0.23124549190467247,1.020580903755385,1.6438403169599274,0.6232594132045424,True,current_qmom_rd5
2018-03-30,2021-05-12,0.24895110243998797,0.4625383273583532,0.21358722491836524,0.9928444265679289,1.5840246322680929,0.5911802057001639,True,current_qmom_rd5
2018-05-04,2021-06-10,0.26531069897420534,0.48714921079210916,0.22183851181790382,1.0411868327294018,1.648935348381051,0.6077485156516491,True,current_qmom_rd5
2018-06-04,2021-07-12,0.2853297876462215,0.5035627736111625,0.218232985964941,1.1021443197708505,1.6911635950300201,0.5890192752591696,True,current_qmom_rd5
2018-07-04,2021-08-10,0.21876270437152212,0.46460678342278916,0.24584407905126704,0.894483617144848,1.5769061064046594,0.6824224892598114,True,current_qmom_rd5
2018-08-02,2021-09-08,0.20031853984711723,0.4771484387561775,0.2768298989090603,0.8385179384865149,1.614753120483737,0.7762351819972222,True,current_qmom_rd5
2018-08-31,2021-10-18,0.19260021069000643,0.47513615022953437,0.28253593953952794,0.8150030876079559,1.6136157647487595,0.7986126771408035,True,current_qmom_rd5
2018-10-09,2021-11-16,0.22007833155540824,0.5038831725699238,0.28380484101451553,0.9044606629356058,1.690161766742044,0.7857011038064383,True,current_qmom_rd5
2018-11-07,2021-12-15,0.23504484621555854,0.4645033158233538,0.22945846960779526,0.9544093504538141,1.589789509956048,0.6353801595022338,True,current_qmom_rd5
2018-12-06,2022-01-14,0.2161678090468333,0.4660647058896954,0.2498968968428621,0.9008324175668925,1.6038737292367842,0.7030413116698917,True,current_qmom_rd5
2019-01-08,2022-02-21,0.21066985647531622,0.44575266475823416,0.23508280828291794,0.8814068653650854,1.5496471271678969,0.6682402618028115,True,current_qmom_rd5
2019-02-13,2022-03-22,0.21410749013494756,0.46195649532596894,0.24784900519102138,0.8883543814160426,1.568628600211339,0.6802742187952964,True,current_qmom_rd5
2019-03-14,2022-04-22,0.10585701292891048,0.33582817133821563,0.22997115840930515,0.5306861912184798,1.2538354578243218,0.723149266605842,True,current_qmom_rd5
2019-04-15,2022-05-26,0.10065959507460565,0.331684200481257,0.23102460540665137,0.5117122948549393,1.2414285985769142,0.7297163037219749,True,current_qmom_rd5
2019-05-17,2022-06-27,0.19534015376011782,0.40791501598826496,0.21257486222814714,0.8414446401488034,1.455904943202258,0.6144603030534546,True,current_qmom_rd5
2019-06-18,2022-07-26,0.17691048893713623,0.40024122172275667,0.22333073278562043,0.7722909247715591,1.4271654053886078,0.6548744806170487,True,current_qmom_rd5
2019-07-17,2022-08-24,0.1983617150377055,0.39674984029461946,0.19838812525691396,0.8413511312694646,1.4127069369889171,0.5713558057194525,True,current_qmom_rd5
2019-08-15,2022-09-23,0.16043876542404178,0.3930929909354506,0.2326542255114088,0.7189235834288497,1.4087436901561607,0.6898201067273111,True,current_qmom_rd5
2019-09-16,2022-10-31,0.13688423182843068,0.38488562141483906,0.24800138958640838,0.6396750972115469,1.395303633025379,0.755628535813832,True,current_qmom_rd5
2019-10-22,2022-11-29,0.1910551272874812,0.40414303758661063,0.21308791029912943,0.8234968821437774,1.4477916199209648,0.6242947377771875,True,current_qmom_rd5
2019-11-20,2022-12-28,0.1689734964698959,0.379205606006052,0.21023210953615612,0.7492741681733861,1.3807959901094669,0.6315218219360808,True,current_qmom_rd5
