family,q_window,rsi_weight,threshold,rebalance_days,train_days,train_annual_return,train_sharpe,train_max_drawdown,train_total_return,test_days,test_annual_return,test_sharpe,test_max_drawdown,test_total_return,full_days,full_annual_return,full_sharpe,full_max_drawdown,full_total_return,full_annual_turnover,same_path_as_selected
top1_lo,20,0.4,,3,2215,0.18330780613418196,0.8127561408635797,-0.3134165524381215,3.3904176618350066,958,0.4182668807070038,1.325990363445447,-0.271527176877728,2.7750363596927996,3173,0.24981870780050142,0.9852195148429684,-0.3134165524381215,15.573986307664573,74.41664040340372,False
top1_lo,20,0.4,,5,2215,0.1465356331982015,0.6986073701045533,-0.35718601300264485,2.3265784546099146,958,0.38432797861182677,1.2414434672326515,-0.2550410754294248,2.4429631586923883,3173,0.21366924171634083,0.8846169040494081,-0.35718601300264485,10.453287063721831,59.00913961550583,False
top1_lo,20,0.4,,10,2215,0.19819588004025124,0.8700156099620842,-0.4219964365917833,3.9004349145833066,958,0.2395424798276089,1.0431731306084149,-0.2327479575288921,1.2622542382978263,3173,0.2105318616767331,0.9207510676305146,-0.4219964365917833,10.086029655018741,38.201071541128265,False
top1_lo,20,0.45,,1,2215,0.2230714081274645,0.9489272318241602,-0.30232526019074013,4.870480912468751,958,0.5401783096113304,1.595156146314429,-0.25504107542942456,4.164966901864041,3173,0.3112335315654411,1.167017448998618,-0.30232526019074013,29.32083961092571,110.7910494799874,False
top1_lo,20,0.45,,2,2215,0.20539577177040536,0.8880166417165115,-0.3048785976046462,4.165400363942279,958,0.4360949264481637,1.3547375303366187,-0.3061234592947827,2.9586349902414986,3173,0.27084305408191134,1.0448883552317214,-0.30612345929478246,19.44793461930807,87.60037819098645,False
top1_lo,20,0.45,,3,2215,0.18330780613418196,0.8127561408635797,-0.3134165524381215,3.3904176618350066,958,0.4182668807070038,1.325990363445447,-0.271527176877728,2.7750363596927996,3173,0.24981870780050142,0.9852195148429684,-0.3134165524381215,15.573986307664573,74.41664040340372,False
top1_lo,20,0.45,,5,2215,0.1465356331982015,0.6986073701045533,-0.35718601300264485,2.3265784546099146,958,0.38432797861182677,1.2414434672326515,-0.2550410754294248,2.4429631586923883,3173,0.21366924171634083,0.8846169040494081,-0.35718601300264485,10.453287063721831,59.00913961550583,False
top1_lo,20,0.45,,10,2215,0.19819588004025124,0.8700156099620842,-0.4219964365917833,3.9004349145833066,958,0.2395424798276089,1.0431731306084149,-0.2327479575288921,1.2622542382978263,3173,0.2105318616767331,0.9207510676305146,-0.4219964365917833,10.086029655018741,38.201071541128265,False
top1_lo,20,0.49,,1,2215,0.2230714081274645,0.9489272318241602,-0.30232526019074013,4.870480912468751,958,0.5401783096113304,1.595156146314429,-0.25504107542942456,4.164966901864041,3173,0.3112335315654411,1.167017448998618,-0.30232526019074013,29.32083961092571,110.7910494799874,False
top1_lo,20,0.49,,2,2215,0.20539577177040536,0.8880166417165115,-0.3048785976046462,4.165400363942279,958,0.4360949264481637,1.3547375303366187,-0.3061234592947827,2.9586349902414986,3173,0.27084305408191134,1.0448883552317214,-0.30612345929478246,19.44793461930807,87.60037819098645,False
top1_lo,20,0.49,,3,2215,0.18330780613418196,0.8127561408635797,-0.3134165524381215,3.3904176618350066,958,0.4182668807070038,1.325990363445447,-0.271527176877728,2.7750363596927996,3173,0.24981870780050142,0.9852195148429684,-0.3134165524381215,15.573986307664573,74.41664040340372,False
top1_lo,20,0.49,,5,2215,0.1465356331982015,0.6986073701045533,-0.35718601300264485,2.3265784546099146,958,0.38432797861182677,1.2414434672326515,-0.2550410754294248,2.4429631586923883,3173,0.21366924171634083,0.8846169040494081,-0.35718601300264485,10.453287063721831,59.00913961550583,False
top1_lo,20,0.49,,10,2215,0.19819588004025124,0.8700156099620842,-0.4219964365917833,3.9004349145833066,958,0.2395424798276089,1.0431731306084149,-0.2327479575288921,1.2622542382978263,3173,0.2105318616767331,0.9207510676305146,-0.4219964365917833,10.086029655018741,38.201071541128265,False
top1_lo,20,0.5,,1,2215,0.2859450833213375,1.1408246585980188,-0.2691957449972293,8.120747194486727,958,0.5478336582943273,1.5812333187667247,-0.25504107542942467,4.263243196701716,3173,0.3599650390589084,1.287557263792779,-0.2691957449972293,47.004710620218425,146.53009769933817,False
top1_lo,20,0.5,,2,2214,0.2054538806359636,0.8786023917120263,-0.282071799318946,4.163759183817189,958,0.6069374665597629,1.7452365855214351,-0.2550410754294249,5.0690832368238015,3172,0.31479188059395513,1.1695975492916988,-0.282071799318946,30.33928430149983,113.05044136191677,False
top1_lo,20,0.5,,3,2215,0.17312126766087466,0.7656373242167351,-0.3330239280087246,3.0691354807174145,958,0.5178252570296162,1.5653437861434905,-0.25504107542942467,3.8857405407778174,3173,0.2680070033971462,1.0321575445733726,-0.3330239280087246,18.880740184058435,92.68326504884966,False
top1_lo,20,0.5,,5,2215,0.15182869378047537,0.7074119863607972,-0.38389049705920353,2.4640176285555095,958,0.3704780648264423,1.199370828499532,-0.2632772025725285,2.313837398246277,3173,0.21388702147270466,0.8746756706626369,-0.38389049705920353,10.479191165691644,69.49259375984872,False
top1_lo,20,0.5,,10,2215,0.21126148264865963,0.9016229977658226,-0.41414331141954697,4.390571106134221,958,0.5157688114357029,1.5905394039203598,-0.25504107542942456,3.860623615990283,3173,0.29611538031771056,1.1292935485324889,-0.41414331141954697,25.201537222150836,41.85439647021746,False
top1_lo,20,0.51,,1,2215,0.3071915690758855,1.2224530074611022,-0.26644603031324443,9.533797620371537,958,0.5222615901739278,1.5282290057436108,-0.2550410754294249,3.940250435563134,3173,0.3687099520091386,1.3222689705983648,-0.26644603031324443,51.039598282174346,160.66687677277025,True
top1_lo,20,0.51,,2,2214,0.23602867348386125,0.9975991869672619,-0.25017112990708446,5.434821561217959,958,0.5909417985851089,1.7164976141462855,-0.25504107542942467,4.842603255102947,3172,0.3339435655081948,1.2402630791871652,-0.2550410754294248,36.59610939957879,122.74274905422446,False
top1_lo,20,0.51,,3,2215,0.2241722331502929,0.9490820784799459,-0.2924587185102242,4.917086310641805,958,0.5041103447359243,1.5318932083677057,-0.25504107542942467,3.7200244626590893,3173,0.3027036110563701,1.143921942655047,-0.2924587185102242,26.928792133894493,99.19571383548691,False
top1_lo,20,0.51,,5,2215,0.13658493338852584,0.6480178300926697,-0.3744978004351729,2.0812220932924497,958,0.30364563351718177,1.0289543174186748,-0.2591970957001041,1.7402431414535697,3173,0.1846326289627489,0.7767806099753202,-0.3744978004351729,7.4432977084398395,71.8751969744721,False
top1_lo,20,0.51,,10,2215,0.2465270902473038,1.0068088714408712,-0.3386890569526404,5.937256436804755,958,0.48124466940745303,1.4969096799382684,-0.2550410754294249,3.4529998233523704,3173,0.3131770567207113,1.167676550537709,-0.3386890569526404,29.89160168764168,43.442798613299715,False
top1_lo,20,0.55,,1,2215,0.3071915690758855,1.2224530074611022,-0.26644603031324443,9.533797620371537,958,0.5222615901739278,1.5282290057436108,-0.2550410754294249,3.940250435563134,3173,0.3687099520091386,1.3222689705983648,-0.26644603031324443,51.039598282174346,160.66687677277025,True
top1_lo,20,0.55,,2,2214,0.23602867348386125,0.9975991869672619,-0.25017112990708446,5.434821561217959,958,0.5909417985851089,1.7164976141462855,-0.25504107542942467,4.842603255102947,3172,0.3339435655081948,1.2402630791871652,-0.2550410754294248,36.59610939957879,122.74274905422446,False
top1_lo,20,0.55,,3,2215,0.2241722331502929,0.9490820784799459,-0.2924587185102242,4.917086310641805,958,0.5041103447359243,1.5318932083677057,-0.25504107542942467,3.7200244626590893,3173,0.3027036110563701,1.143921942655047,-0.2924587185102242,26.928792133894493,99.19571383548691,False
