window_end,sharpe_a0,sharpe_P-B1p,b_leads
2022-11-21,0.824205697190854,0.980088399048354,True
2022-12-20,0.8465762853192594,0.9549283851173545,True
2023-01-19,0.8876972498586805,0.9654999457457913,True
2023-02-24,0.7766828665382625,0.9054005300169012,True
2023-03-27,0.6773612492591764,0.8682015907873386,True
2023-04-26,0.9164627939534293,1.1168833346716793,True
2023-05-30,0.8573388620824314,1.0582665886265263,True
2023-06-30,0.9955433624973028,1.189918579352811,True
2023-07-31,0.9723937919386555,1.1826269244521217,True
2023-08-29,0.8903161682599139,0.936525686088652,True
2023-09-27,0.9670171896293241,1.0103737001619453,True
2023-11-03,0.8212891754590194,0.8573132917481434,True
2023-12-04,0.8256523718667913,0.929343357452512,True
2024-01-03,0.752764151027683,0.780211030471651,True
2024-02-01,0.7207694528920091,0.754577146179009,True
2024-03-11,0.8232192235865111,0.720672797886562,False
2024-04-11,1.1283598118336773,1.087903241673982,False
2024-05-15,1.1328679397185097,0.969985251523194,False
2024-06-14,1.1011518482102536,0.886979713618368,False
2024-07-15,1.2084696837413085,0.9773484709845672,False
2024-08-13,1.0595437665481635,0.8827559072453796,False
2024-09-11,1.075531979198214,0.897117876046455,False
2024-10-21,1.2144697275367227,1.0234045485057355,False
2024-11-19,1.1099088656849156,0.9018835351766177,False
2024-12-18,1.1074683637282134,0.9348557654546364,False
2025-01-17,1.1106305629738218,0.91285729843746,False
2025-02-25,1.1971397407717772,0.9297387121525216,False
2025-03-26,1.192055158640904,0.9267386282601441,False
2025-04-25,1.2201004288604074,0.959225812265037,False
2025-05-29,1.2929185968246553,1.0463585650965013,False
2025-06-30,1.3810037217108264,1.1429137853458722,False
2025-07-29,1.3739903340177713,1.2281979293709084,False
2025-08-27,1.4660316472009303,1.319490429951088,False
2025-09-25,1.4828309505330413,1.339071752744499,False
2025-11-03,1.547121523193586,1.3383428829374362,False
2025-12-02,1.4402538960898879,1.2823681324526204,False
2025-12-31,1.3444055165315958,1.1864190865695063,False
2026-02-02,1.2534144940282212,1.126244456328187,False
2026-03-11,1.2897258230855184,1.169764847961518,False
2026-04-10,1.169399527598383,1.1094224535788446,False
2026-05-14,1.3277841292856316,1.2694838378256423,False
2026-06-12,1.3776785943372163,1.3078585201704886,False
2026-07-14,1.2475092424956264,1.1646711965438357,False
