date,asset,side,shares,notional
2025-02-06,511090.SH,buy,200,26435.667240000002
2025-03-04,511090.SH,sell,24700,3215750.2595400005
2025-03-04,511880.SH,buy,23500,3233195.5179999997
2025-04-02,511880.SH,sell,23500,3236838.8640000005
2025-04-02,510880.SH,buy,657300,3254423.881273063
2025-05-07,510880.SH,sell,657300,3197679.0024907747
2025-05-07,511090.SH,buy,24500,3214724.184
2025-06-04,511090.SH,sell,24500,3175068.6996000004
2025-06-04,512890.SH,buy,1335500,3191793.716799999
2025-07-02,512890.SH,buy,8200,20067.49264
2025-08-04,512890.SH,sell,1343700,3233387.233439999
2025-08-04,511360.SH,buy,28900,3241106.1
2025-09-02,511360.SH,sell,28900,3245094.3000000003
2025-09-02,511880.SH,buy,23600,3266575.5920000006
2025-10-10,511880.SH,sell,23600,3269036.4112000004
2025-10-10,511360.SH,buy,29200,3283131.2
2025-11-04,511360.SH,sell,29200,3286985.6
2025-11-04,510880.SH,buy,630700,3310266.768726937
2025-12-02,510880.SH,sell,630700,3270942.8564575645
2025-12-02,511360.SH,buy,29100,3279104.4
2026-01-06,511360.SH,buy,200,22566.0
2026-02-03,511360.SH,sell,29300,3310108.9
2026-02-03,511260.SH,buy,24300,3329335.7974799997
2026-03-03,511260.SH,sell,24300,3338523.6469199997
2026-03-03,510880.SH,buy,607200,3358511.479261993
2026-04-02,510880.SH,sell,607200,3291463.1557195573
2026-04-02,512890.SH,buy,1351900,3308444.3048799997
2026-05-07,512890.SH,sell,1351900,3269716.6959599997
2026-05-07,510880.SH,buy,590400,3286331.5377121773
2026-06-02,510880.SH,sell,590400,3266576.0129889296
2026-06-02,511260.SH,buy,23600,3280076.9514000006
2026-07-02,511260.SH,sell,23600,3277346.40072
2026-07-02,511880.SH,buy,23600,3293778.4293599995
2026-08-04,511880.SH,sell,23600,3297577.67064
2026-08-04,512890.SH,buy,1351300,3318036.0719999997
