date,arm,510300.SH,159915.SZ,513100.SH,518880.SH
2020-07-07,B_prime,1.0,0.0,0.0,0.0
2020-07-14,B_prime,0.0,1.0,0.0,0.0
2020-07-28,B_prime,0.0,0.0,0.0,1.0
2020-08-04,B_prime,0.0,1.0,0.0,0.0
2020-08-11,B_prime,0.0,0.0,0.0,1.0
2020-08-20,B_prime,0.0,0.0,1.0,0.0
2020-10-13,B_prime,0.0,1.0,0.0,0.0
2020-10-20,B_prime,1.0,0.0,0.0,0.0
2020-10-27,B_prime,0.0,1.0,0.0,0.0
2020-11-09,B_prime,1.0,0.0,0.0,0.0
2020-12-17,B_prime,0.0,1.0,0.0,0.0
2021-02-19,B_prime,0.0,0.0,1.0,0.0
2021-03-08,B_prime,1.0,0.0,0.0,0.0
2021-03-15,B_prime,0.0,0.0,1.0,0.0
2021-03-22,B_prime,0.0,0.0,0.0,1.0
2021-03-31,B_prime,0.0,0.0,1.0,0.0
2021-04-21,B_prime,0.0,1.0,0.0,0.0
2021-05-11,B_prime,0.0,0.0,0.0,1.0
2021-05-18,B_prime,0.0,1.0,0.0,0.0
2021-06-09,B_prime,0.0,0.0,0.0,1.0
2021-06-17,B_prime,0.0,1.0,0.0,0.0
2021-06-24,B_prime,0.0,0.0,1.0,0.0
2021-07-22,B_prime,0.0,1.0,0.0,0.0
2021-07-29,B_prime,0.0,0.0,1.0,0.0
2021-08-11,B_prime,0.0,1.0,0.0,0.0
2021-08-18,B_prime,0.0,0.0,1.0,0.0
2021-09-14,B_prime,0.0,0.0,0.0,1.0
2021-09-24,B_prime,1.0,0.0,0.0,0.0
2021-10-18,B_prime,0.0,1.0,0.0,0.0
2021-11-04,B_prime,0.0,0.0,1.0,0.0
2021-12-01,B_prime,0.0,1.0,0.0,0.0
2021-12-08,B_prime,1.0,0.0,0.0,0.0
2021-12-30,B_prime,0.0,0.0,1.0,0.0
2022-01-07,B_prime,0.0,0.0,0.0,1.0
2022-03-30,B_prime,0.0,0.0,1.0,0.0
2022-04-12,B_prime,0.0,0.0,0.0,1.0
2022-04-19,B_prime,0.0,0.0,1.0,0.0
2022-04-26,B_prime,0.0,0.0,0.0,1.0
2022-06-01,B_prime,0.0,1.0,0.0,0.0
