date,asset,target_weight
2023-03-23,512890.SH,0.20999999999999996
2023-03-23,511260.SH,0.4
2023-03-23,511360.SH,0.21000000000000002
2023-03-23,511880.SH,0.18000000000000002
2023-03-24,512890.SH,0.20999999999999996
2023-03-24,511260.SH,0.4
2023-03-24,511360.SH,0.21000000000000002
2023-03-24,511880.SH,0.18000000000000002
2023-03-27,512890.SH,0.20999999999999996
2023-03-27,511260.SH,0.4
2023-03-27,511360.SH,0.21000000000000002
2023-03-27,511880.SH,0.18000000000000002
2023-03-28,512890.SH,0.20999999999999996
2023-03-28,511260.SH,0.4
2023-03-28,511360.SH,0.21000000000000002
2023-03-28,511880.SH,0.18000000000000002
2023-03-29,512890.SH,0.543103448275862
2023-03-29,511260.SH,0.20689655172413796
2023-03-29,511360.SH,0.12931034482758622
2023-03-29,511880.SH,0.12068965517241383
2023-03-30,512890.SH,0.543103448275862
2023-03-30,511260.SH,0.20689655172413796
2023-03-30,511360.SH,0.12931034482758622
2023-03-30,511880.SH,0.12068965517241383
2023-03-31,512890.SH,0.543103448275862
2023-03-31,511260.SH,0.20689655172413796
2023-03-31,511360.SH,0.12931034482758622
2023-03-31,511880.SH,0.12068965517241383
2023-04-03,512890.SH,0.543103448275862
2023-04-03,511260.SH,0.20689655172413796
2023-04-03,511360.SH,0.12931034482758622
2023-04-03,511880.SH,0.12068965517241383
2023-04-04,512890.SH,0.20999999999999996
2023-04-04,511260.SH,0.4
2023-04-04,511360.SH,0.21000000000000002
2023-04-04,511880.SH,0.18000000000000002
2023-04-06,512890.SH,0.1909090909090909
2023-04-06,511260.SH,0.5090909090909091
2023-04-06,511360.SH,0.13636363636363635
2023-04-06,511880.SH,0.16363636363636364
2023-04-07,512890.SH,0.20999999999999996
2023-04-07,511260.SH,0.4
2023-04-07,511360.SH,0.21000000000000002
2023-04-07,511880.SH,0.18000000000000002
2023-04-10,512890.SH,0.20999999999999996
2023-04-10,511260.SH,0.4
2023-04-10,511360.SH,0.21000000000000002
2023-04-10,511880.SH,0.18000000000000002
2023-04-11,512890.SH,0.20999999999999996
2023-04-11,511260.SH,0.4
2023-04-11,511360.SH,0.21000000000000002
2023-04-11,511880.SH,0.18000000000000002
2023-04-12,512890.SH,0.20999999999999996
2023-04-12,511260.SH,0.4
2023-04-12,511360.SH,0.21000000000000002
2023-04-12,511880.SH,0.18000000000000002
2023-04-13,512890.SH,0.20999999999999996
2023-04-13,511260.SH,0.4
2023-04-13,511360.SH,0.21000000000000002
2023-04-13,511880.SH,0.18000000000000002
2023-04-14,512890.SH,0.20999999999999996
2023-04-14,511260.SH,0.4
2023-04-14,511360.SH,0.21000000000000002
2023-04-14,511880.SH,0.18000000000000002
2023-04-17,512890.SH,0.1909090909090909
2023-04-17,511260.SH,0.5090909090909091
2023-04-17,511360.SH,0.13636363636363635
2023-04-17,511880.SH,0.16363636363636364
2023-04-18,512890.SH,0.17213114754098358
2023-04-18,511260.SH,0.5901639344262295
2023-04-18,511360.SH,0.12295081967213113
2023-04-18,511880.SH,0.11475409836065574
2023-04-19,512890.SH,0.20999999999999996
2023-04-19,511260.SH,0.4
2023-04-19,511360.SH,0.21000000000000002
2023-04-19,511880.SH,0.18000000000000002
2023-04-20,512890.SH,0.20999999999999996
2023-04-20,511260.SH,0.4
2023-04-20,511360.SH,0.21000000000000002
2023-04-20,511880.SH,0.18000000000000002
2023-04-21,512890.SH,0.20999999999999996
2023-04-21,511260.SH,0.4
2023-04-21,511360.SH,0.21000000000000002
2023-04-21,511880.SH,0.18000000000000002
2023-04-24,512890.SH,0.20999999999999996
2023-04-24,511260.SH,0.4
2023-04-24,511360.SH,0.21000000000000002
2023-04-24,511880.SH,0.18000000000000002
2023-04-25,512890.SH,0.20999999999999996
2023-04-25,511260.SH,0.4
2023-04-25,511360.SH,0.21000000000000002
2023-04-25,511880.SH,0.18000000000000002
2023-04-26,512890.SH,0.20999999999999996
2023-04-26,511260.SH,0.4
2023-04-26,511360.SH,0.21000000000000002
2023-04-26,511880.SH,0.18000000000000002
2023-04-27,512890.SH,0.20999999999999996
2023-04-27,511260.SH,0.4
2023-04-27,511360.SH,0.21000000000000002
2023-04-27,511880.SH,0.18000000000000002
