date,strategy_nav,strategy_return,strategy_cash_weight,calendar_nav,calendar_return,calendar_cash_weight,static_nav,static_return,static_cash_weight,deposit
2019-06-12,1765861.3733427462,-0.0029090277748631266,0.007958038085483718,1775760.2367300952,-0.0028985692950342923,0.012418768589335874,1783141.1188498652,-0.0019389246025992568,0.011686350468607885,0.0
2019-06-13,1762062.555422746,-0.002151254893134058,0.007975194762239684,1771952.9188100954,-0.0021440495407255566,0.01244545225552846,1781252.3236498653,-0.0010592516655204554,0.011698742380959411,0.0
2019-06-14,1755000.7061427461,-0.004007717693260693,0.008007285702825892,1764875.7695300952,-0.003993982687052866,0.012495358501050173,1777370.1868498651,-0.0021794423779588623,0.011724294805911098,0.0
2019-06-17,1755264.692702746,0.00015041963178474838,0.008006081431005002,1765139.7560900953,0.00014957798421710855,0.012493489750037525,1777871.0404498652,0.00028179475705503165,0.011720991891848491,0.0
2019-06-18,1756666.279262746,0.0007985043884417564,0.007999693640526852,1766544.7426500951,0.0007959633536962496,0.012483553299087537,1778349.0940498651,0.00026889104390770413,0.011717841069331013,0.0
2019-06-19,1764984.406142746,0.004735177636295829,0.00796199219315347,1774879.8695300953,0.004718321975528461,0.012424928485967827,1783549.586849865,0.002924337419126566,0.011683674064072566,0.0
2019-06-20,1780556.703902746,0.008822909542884894,0.00789235862690825,1790482.7672900953,0.008790959899799278,0.012316653280875915,1794007.6624498651,0.005863630412693777,0.011615564685720763,0.0
2019-06-21,1783239.843422746,0.0015069104590259563,0.007880483443984329,1793171.0068100952,0.0015014048552215442,0.012298188720620346,1795804.903649865,0.0010018024101110523,0.011603939830831455,0.0
2019-06-24,1782334.4165427461,-0.0005077426255023498,0.007884486733979379,1792263.8799300953,-0.0005058786231513235,0.01230441326025913,1795088.8108498652,-0.0003987586839441226,0.011608568848467943,0.0
2019-06-25,1774945.880702746,-0.0041454262294569055,0.007917307347524478,1784860.0440900952,-0.004130996513911134,0.012355453595991963,1790580.420449865,-0.0025115138441901275,0.011637797337597197,0.0
2019-06-26,1772232.967262746,-0.0015284485400343106,0.00792942706875102,1782142.0306500953,-0.0015228160039771899,0.012374297374071173,1788574.474049865,-0.001120277188944141,0.011650849518544644,0.0
2019-06-27,1777212.176222746,0.0028095679586022104,0.007907211221461301,1787131.4396100955,0.002799669652693293,0.012339750150054249,1791656.9716498652,0.0017234382155866257,0.01163080454551289,0.0
2019-06-28,1774169.126942746,-0.0017122599770094116,0.007920773645160861,1784081.5903300953,-0.0017065612592354062,0.012360844688731464,1790067.4348498653,-0.0008871881309602259,0.011641132420026873,0.0
2019-07-01,1801246.6685344263,0.00398921471701863,0.0024976067370531367,1823153.2403300954,0.010689897874273546,0.005547747729787133,1822950.6032992252,0.007197029675276134,0.0012683049200788493,20000.0
2019-07-02,1804710.486214426,0.0019230112901851282,0.002492813029453178,1825704.0464052954,0.001399117758602797,0.0033617531918056125,1828165.6092692253,0.002860750017340985,0.007096634792518144,0.0
2019-07-03,1805727.317174426,0.000563431623945787,0.0024914092906706217,1826749.6984052954,0.0005727390493868167,0.0033598288866029968,1828500.366709225,0.00018311111329438745,0.0070953355577249725,0.0
2019-07-04,1807586.6472544263,0.001029684860120339,0.002488846563045491,1828641.0944052953,0.0010353887024867614,0.0033563537558426483,1829858.539829225,0.0007427797908754474,0.007090069197609079,0.0
2019-07-05,1807925.878214426,0.00018767064943481238,0.0024883795672360678,1828948.6464052955,0.00016818609236168847,0.0033557893587436117,1831507.0972692252,0.0009009207018559895,0.0070836873570236615,0.0
2019-07-08,1799977.3790944263,-0.004396474001384432,0.0024993679735516804,1821067.1024052955,-0.004309330398910238,0.0033703131516619154,1818198.4815892251,-0.007266483269348645,0.007135537621770061,0.0
2019-07-09,1800376.321574426,0.0002216374964669754,0.002498814142640969,1821478.4784052954,0.00022589832052677394,0.0033695519755297157,1818280.2883092253,4.499328364238053e-05,0.007135216584946405,0.0
2019-07-10,1797456.5366144262,-0.0016217636974066307,0.00250287321155468,1818580.1264052955,-0.0015912084794641457,0.0033749221803205734,1813511.0748692253,-0.002622925338114368,0.00715398094282974,0.0
2019-07-11,1797873.1799744263,0.0002317960693418719,0.002502293189828937,1819002.3584052953,0.00023217673715292264,0.0033741387837870527,1813875.4659092252,0.00020093124605047308,0.00715254377329694,0.0
2019-07-12,1800891.910054426,0.0016790561835082762,0.0024980987416896886,1821994.3544052953,0.0016448554814536553,0.003368597927021977,1818989.2390292252,0.002819252598158295,0.007132435635600079,0.0
2019-07-15,1802101.1675744262,0.0006714770127229652,0.0024964224513995283,1823204.6784052954,0.0006642852636034036,0.003366361702551014,1820600.832309225,0.0008859828554346194,0.007126122013670232,0.0
2019-07-16,1801621.4118144263,-0.0002662202148426829,0.0024970872264974474,1822726.5664052954,-0.00026223715069562115,0.0033672447192118747,1819894.2076692253,-0.00038812716519720514,0.007128888929121297,0.0
2019-07-17,1803116.770214426,0.0008300070093494316,0.002495016345442289,1824212.2464052956,0.0008150866001421786,0.003364502358423377,1822298.585269225,0.0013211633895351405,0.007119482928923183,0.0
2019-07-18,1800853.4286144262,-0.0012552385055631943,0.0024981521221788022,1821986.4264052955,-0.001220154071647217,0.003368612584784504,1817832.3628692252,-0.0024508729996846057,0.007136974747631585,0.0
2019-07-19,1804632.2586944262,0.0020983551575917136,0.002492921088355582,1825733.6224052953,0.0020566541801263494,0.0033616987330328863,1824163.7359892253,0.003482924635584528,0.007112203478921559,0.0
2019-07-22,1803450.2445344261,-0.0006549889343412385,0.0024945549942729365,1824573.2304052955,-0.0006355757410387852,0.0033638367060400617,1821753.1337492252,-0.001321483478944896,0.007121614574925736,0.0
2019-07-23,1804523.4321344262,0.0005950746926635109,0.0024930714305576094,1825646.2504052953,0.000588093687947655,0.0033618596176191733,1823233.900149225,0.0008128249500811702,0.007115830650232675,0.0
2019-07-24,1805866.2754944263,0.00074415401656025,0.002491217580988591,1826969.7824052954,0.0007249662960204795,0.003359424148337591,1825782.0911892252,0.0013976215776767553,0.007105899292053304,0.0
2019-07-25,1806363.2188544262,0.00027518281211813544,0.0024905322293260544,1827443.8144052955,0.0002594635141561774,0.0033585527264447085,1827310.0822292252,0.0008368967180549802,0.007099957361039519,0.0
2019-07-26,1808626.3498144262,0.0012528659443338253,0.00248741583074232,1829692.8664052952,0.0012307092465830838,0.003354424405312127,1830930.839669225,0.00198146853958292,0.0070859168397474585,0.0
2019-07-29,1807566.793174426,-0.0005858350123610911,0.0024888739002144177,1828634.4984052954,-0.000578440250510015,0.0033563658624223896,1829445.2307092252,-0.0008113954540567292,0.007091670989349883,0.0
2019-07-30,1809333.7506944262,0.0009775337357780245,0.0024864433179889833,1830380.2224052954,0.0009546598850247445,0.003353164730566238,1832642.023989225,0.0017474113060824692,0.007079300539547921,0.0
2019-07-31,1807750.566614426,-0.0008750094223316518,0.0024886208847117175,1828843.5264052954,-0.0008395501553117857,0.0033559822459820763,1828773.794869225,-0.002110739069259071,0.007094274702330186,0.0
2019-08-01,1818800.2302614662,-0.004951090331959951,0.01157028704490596,1845721.4846052954,-0.001707112585042525,3.518223406784002e-05,1843404.962913145,-0.0029357550786994757,0.008532565393709538,20000.0
2019-08-02,1807802.3091414664,-0.0060467999382312065,0.01164067588311696,1839114.3009501756,-0.003579729504277096,0.010004336185450602,1837435.7344262651,-0.003238153637954211,0.015314069874150637,0.0
2019-08-05,1793782.0685014662,-0.007755405869936394,0.011731659665349708,1827857.9102301756,-0.0061205498288955384,0.010065945305266423,1830054.516506265,-0.004017129841172307,0.01537583660621445,0.0
2019-08-06,1781007.8278614664,-0.0071214005671667024,0.01181580474395484,1817297.7195101755,-0.0057773586562154255,0.010124437813708767,1822865.698586265,-0.003928198780506209,0.015436474145126654,0.0
2019-08-07,1779008.0270614664,-0.0011228478441901446,0.01182908700880141,1815223.2811101757,-0.0011414961773896781,0.010136008028126866,1821119.276186265,-0.0009580642179807253,0.015451277461184307,0.0
2019-08-08,1789704.9067414664,0.006012833847449661,0.011758385788739504,1825065.1857501757,0.005421869993855966,0.01008134826845253,1828696.8672262654,0.004160952629016723,0.015387251835207259,0.0
2019-08-09,1784308.1051414663,-0.0030154700809453816,0.011793950092379237,1821455.9089501756,-0.001977615280912004,0.010101324802739885,1827008.822426265,-0.0009230861769674581,0.01540146871808592,0.0
2019-08-12,1792632.3844214662,0.0046652701156340015,0.01173918362980915,1828589.4943901754,0.003916419499888635,0.010061918110445852,1832117.602266265,0.0027962535140992895,0.01535852239586511,0.0
