experiment,direction,change,annualized_return,volatility,sharpe,max_drawdown,sortino,calmar,worst_calendar_return,best_calendar_return,final_nav,total_deposits,trades,rebalance_dates,traded_notional,estimated_transaction_cost,average_cash_weight,meets_5pct_return_floor
score_tilt_150,score,tilt strength 0.50 -> 1.50,0.08246010829101635,0.05466419944488347,1.4769668942515866,-0.08897931930591219,1.6688730222310728,0.926733413272328,0.006244020733894073,0.17994318816572208,6501058.4530447,3280000.0,480,94,401623845.75066006,200811.92287533003,0.03062366545008782,True
score_tilt_200,score,tilt strength 0.50 -> 2.00,0.0840881863250651,0.05705276418368984,1.4438095991609865,-0.09446319084831545,1.6189007112487117,0.890168811469538,0.006289626121071867,0.18550491093720112,6610914.63537059,3280000.0,473,91,439537146.25887,219768.573129435,0.030550912919650265,True
score_zscore_exp075,score,z-score normalization + exponential tilt exp(0.75 * z),0.07657197017603679,0.05366911077643749,1.401704510400496,-0.08110930180685905,1.6218482884433518,0.9440590471161157,0.015578522523617355,0.1499062518044647,6164205.52764846,3280000.0,529,98,280711867.60311,140355.93380155502,0.031356667161587276,True
score_zscore_exp100,score,z-score normalization + exponential tilt exp(1.0 * z),0.0815170293547407,0.059196880489815265,1.3534959787815288,-0.09100439579267738,1.5296469092898293,0.8957482618801137,0.01364852665050953,0.1664283991323201,6477167.45019209,3280000.0,530,98,345130470.15585995,172565.23507792997,0.030983868635359797,True
score_zscore_sigmoid075,score,z-score normalization + sigmoid tilt (1 + 0.75 * tanh(z)),0.07019813033701205,0.04532268165974019,1.5197074191577553,-0.06550932852613556,1.8044094620244708,1.0715745668039607,0.017736049357435668,0.13114855086920962,5777410.20558053,3280000.0,531,98,209164900.11896998,104582.450059485,0.030891532108779998,True
score_zscore_sigmoid100,score,z-score normalization + sigmoid tilt (1 + 1.0 * tanh(z)),0.07599702833875277,0.050032973332088976,1.489140182514016,-0.07455507403556627,1.6901779005434783,1.0193407936594445,0.01660389831910325,0.15412752685409292,6117604.3651462775,3280000.0,529,99,287079865.34748,143539.93267374,0.03094692184634718,True
score_zscore_additive_010,score,z-score normalization + additive tilt bi + 0.10 * z,0.06338191551997197,0.04224031923192119,1.4761259267979299,-0.05765649882832935,1.8004969085889726,1.0993021915654277,0.0188901017333869,0.12088085984966246,5411101.460948334,3280000.0,538,99,137480292.48334998,68740.14624167499,0.03112364272469198,True
score_reversal_15,score,reversal window 20 -> 15,0.06189435859734038,0.045173141180288486,1.352123258993065,-0.05853732053293059,1.597468811458791,1.0573486800189507,-0.001431721994063384,0.13351140706728937,5296921.027568052,3280000.0,512,97,148943494.68391,74471.74734195501,0.031247230854850903,True
score_reversal_25,score,reversal window 20 -> 25,0.06194690289004723,0.04400088822730794,1.388076853540354,-0.0697240339166556,1.6900186047209682,0.8884583896005681,0.01821738791997185,0.14536644155024003,5323699.666663447,3280000.0,494,91,134455142.25311998,67227.57112655998,0.031015943572047247,True
score_reversal_30,score,reversal window 20 -> 30,0.06241581648576977,0.045211533661625614,1.361879418825768,-0.06972185458293234,1.6019943377225503,0.8952116500505272,0.019143083685466245,0.15478420664829562,5351493.796726733,3280000.0,501,98,134063401.08655001,67031.700543275,0.031171403881823948,True
